DATE,CHFR,CHFR_peak,FRCH,CHFR_peak
2020-03-15 02:25:00,3.2326610904e+10,3.2326610904e+10,3.8439124576e+10,3.8439124576e+10
2020-03-15 02:30:00,3.5294048306e+10,3.5294048306e+10,3.3997711074e+10,3.3997711074e+10
2020-03-15 02:35:00,4.6878102881e+10,4.6878102881e+10,3.0198660857e+10,3.0198660857e+10
2020-03-15 02:40:00,3.3694862202e+10,3.3694862202e+10,3.2600496182e+10,3.2600496182e+10
2020-03-15 02:45:00,4.1355709307e+10,4.1355709307e+10,2.8532531718e+10,2.8532531718e+10
2020-03-15 02:50:00,4.5088347284e+10,4.5088347284e+10,3.1517870428e+10,3.1517870428e+10
2020-03-15 02:55:00,3.4573819220e+10,3.4573819220e+10,3.1314502440e+10,3.1314502440e+10
2020-03-15 03:00:00,3.3976621881e+10,3.3976621881e+10,2.6180814444e+10,2.6180814444e+10
2020-03-15 03:05:00,3.0232601952e+10,3.0232601952e+10,2.6223318761e+10,2.6223318761e+10
2020-03-15 03:10:00,3.7197276645e+10,3.7197276645e+10,2.7367724523e+10,2.7367724523e+10
2020-03-15 03:15:00,3.1411475558e+10,3.1411475558e+10,2.4298538892e+10,2.4298538892e+10
2020-03-15 03:20:00,3.1740106323e+10,3.1740106323e+10,3.0099493714e+10,3.0099493714e+10
2020-03-15 03:25:00,3.7232044545e+10,3.7232044545e+10,2.6724224489e+10,2.6724224489e+10
2020-03-15 03:30:00,2.9906187456e+10,2.9906187456e+10,3.0969099186e+10,3.0969099186e+10
2020-03-15 03:35:00,4.5426765640e+10,4.5426765640e+10,6.3715238055e+10,6.3715238055e+10
2020-03-15 03:40:00,3.3297990031e+10,3.3297990031e+10,3.0032440294e+10,3.0032440294e+10
2020-03-15 03:45:00,4.7531681444e+10,4.7531681444e+10,2.6359634116e+10,2.6359634116e+10
2020-03-15 03:50:00,3.6458376631e+10,3.6458376631e+10,2.6335487211e+10,2.6335487211e+10
2020-03-15 03:55:00,3.0713247965e+10,3.0713247965e+10,2.4395548219e+10,2.4395548219e+10
2020-03-15 04:00:00,2.3713426245e+10,2.3713426245e+10,2.5466657089e+10,2.5466657089e+10
2020-03-15 04:05:00,1.8705334392e+10,1.8705334392e+10,2.6549788614e+10,2.6549788614e+10
2020-03-15 04:10:00,3.0447558471e+10,3.0447558471e+10,2.6214490403e+10,2.6214490403e+10
2020-03-15 04:15:00,2.9087729408e+10,2.9087729408e+10,2.6799152280e+10,2.6799152280e+10
2020-03-15 04:20:00,2.9528780680e+10,2.9528780680e+10,2.3957650302e+10,2.3957650302e+10
2020-03-15 04:25:00,3.2541691408e+10,3.2541691408e+10,2.3810345012e+10,2.3810345012e+10
2020-03-15 04:30:00,4.3425076111e+10,4.3425076111e+10,2.6811171940e+10,2.6811171940e+10
2020-03-15 04:35:00,4.1694261724e+10,4.1694261724e+10,2.8082194649e+10,2.8082194649e+10
2020-03-15 04:40:00,3.6452551384e+10,3.6452551384e+10,2.7146895924e+10,2.7146895924e+10
2020-03-15 04:45:00,2.6826696741e+10,2.6826696741e+10,2.6148158917e+10,2.6148158917e+10
2020-03-15 04:50:00,2.8291625138e+10,2.8291625138e+10,3.0106162663e+10,3.0106162663e+10
2020-03-15 04:55:00,3.2062105674e+10,3.2062105674e+10,3.4155820199e+10,3.4155820199e+10
2020-03-15 05:00:00,3.7240538784e+10,3.7240538784e+10,6.3624607546e+10,6.3624607546e+10
