DATE,DECZ,DECZ_peak,CZDE,CZDE_peak
2020-03-22 02:25:00,1.4248212079e+10,1.4248212079e+10,2.3187866366e+10,2.3187866366e+10
2020-03-22 02:30:00,1.2329699228e+10,1.2329699228e+10,1.9754706341e+10,1.9754706341e+10
2020-03-22 02:35:00,1.6924409515e+10,1.6924409515e+10,1.0706230335e+10,1.0706230335e+10
2020-03-22 02:40:00,1.6661106456e+10,1.6661106456e+10,1.0130163425e+10,1.0130163425e+10
2020-03-22 02:45:00,1.5512078525e+10,1.5512078525e+10,1.0072580333e+10,1.0072580333e+10
2020-03-22 02:50:00,1.3510969540e+10,1.3510969540e+10,1.2648681491e+10,1.2648681491e+10
2020-03-22 02:55:00,1.2667735536e+10,1.2667735536e+10,1.0353611266e+10,1.0353611266e+10
2020-03-22 03:00:00,1.4693679420e+10,1.4693679420e+10,1.1859701565e+10,1.1859701565e+10
2020-03-22 03:05:00,1.5864252569e+10,1.5864252569e+10,1.0497224115e+10,1.0497224115e+10
2020-03-22 03:10:00,1.3329249542e+10,1.3329249542e+10,1.1856428058e+10,1.1856428058e+10
2020-03-22 03:15:00,1.4593830989e+10,1.4593830989e+10,1.0953394731e+10,1.0953394731e+10
2020-03-22 03:20:00,1.5499508519e+10,1.5499508519e+10,1.0653936606e+10,1.0653936606e+10
2020-03-22 03:25:00,1.1545935657e+10,1.1545935657e+10,1.2475784929e+10,1.2475784929e+10
2020-03-22 03:30:00,1.0714948842e+10,1.0714948842e+10,5.4001425567e+09,5.4001425567e+09
2020-03-22 03:35:00,1.5675361069e+10,1.5675361069e+10,7.3664202671e+09,7.3664202671e+09
2020-03-22 03:40:00,1.3331295918e+10,1.3331295918e+10,7.9125485265e+09,7.9125485265e+09
2020-03-22 03:45:00,1.9900966525e+10,1.9900966525e+10,1.0523454583e+10,1.0523454583e+10
2020-03-22 03:50:00,1.0935069841e+10,1.0935069841e+10,6.5005028180e+09,6.5005028180e+09
2020-03-22 03:55:00,1.3274260887e+10,1.3274260887e+10,7.1042760030e+09,7.1042760030e+09
2020-03-22 04:00:00,1.7215676248e+10,1.7215676248e+10,6.8160336545e+09,6.8160336545e+09
2020-03-22 04:05:00,2.9123392541e+10,2.9123392541e+10,7.6881540023e+09,7.6881540023e+09
2020-03-22 04:10:00,1.7829663934e+10,1.7829663934e+10,5.0911496436e+09,5.0911496436e+09
2020-03-22 04:15:00,1.7106327338e+10,1.7106327338e+10,1.8789361953e+10,1.8789361953e+10
2020-03-22 04:20:00,1.6325903670e+10,1.6325903670e+10,1.9033654147e+10,1.9033654147e+10
2020-03-22 04:25:00,1.7335494122e+10,1.7335494122e+10,1.5547946869e+10,1.5547946869e+10
2020-03-22 04:30:00,1.8223957409e+10,1.8223957409e+10,8.0776753523e+09,8.0776753523e+09
2020-03-22 04:35:00,1.8041836652e+10,1.8041836652e+10,8.4923884728e+09,8.4923884728e+09
2020-03-22 04:40:00,1.4973142826e+10,1.4973142826e+10,6.6589796222e+09,6.6589796222e+09
2020-03-22 04:45:00,1.7509759843e+10,1.7509759843e+10,5.9596044358e+09,5.9596044358e+09
