DATE,NLDE,NLDE_peak,DENL,DENL_peak
2020-03-15 02:25:00,3.0103886082e+10,3.0103886082e+10,3.8003302118e+10,3.8003302118e+10
2020-03-15 02:30:00,3.4941985521e+10,3.4941985521e+10,4.0971224400e+10,4.0971224400e+10
2020-03-15 02:35:00,3.9039509285e+10,3.9039509285e+10,4.0511432891e+10,4.0511432891e+10
2020-03-15 02:40:00,3.3626152405e+10,3.3626152405e+10,3.6953486450e+10,3.6953486450e+10
2020-03-15 02:45:00,2.8728800051e+10,2.8728800051e+10,5.0403288980e+10,5.0403288980e+10
2020-03-15 02:50:00,2.8210928854e+10,2.8210928854e+10,6.3164256155e+10,6.3164256155e+10
2020-03-15 02:55:00,2.3433066201e+10,2.3433066201e+10,4.8928154475e+10,4.8928154475e+10
2020-03-15 03:00:00,2.6195046181e+10,2.6195046181e+10,4.6458038904e+10,4.6458038904e+10
2020-03-15 03:05:00,3.5823143741e+10,3.5823143741e+10,4.3195095963e+10,4.3195095963e+10
2020-03-15 03:10:00,2.8977793749e+10,2.8977793749e+10,4.4479024048e+10,4.4479024048e+10
2020-03-15 03:15:00,2.6044475647e+10,2.6044475647e+10,4.0956405113e+10,4.0956405113e+10
2020-03-15 03:20:00,4.2478177032e+10,4.2478177032e+10,3.2006878989e+10,3.2006878989e+10
2020-03-15 03:25:00,3.6549321764e+10,3.6549321764e+10,3.6679495667e+10,3.6679495667e+10
2020-03-15 03:30:00,3.1906900138e+10,3.1906900138e+10,3.6024670019e+10,3.6024670019e+10
2020-03-15 03:35:00,3.4384037047e+10,3.4384037047e+10,4.4327128561e+10,4.4327128561e+10
2020-03-15 03:40:00,4.5177436158e+10,4.5177436158e+10,3.8714929978e+10,3.8714929978e+10
2020-03-15 03:45:00,6.4573317199e+10,6.4573317199e+10,3.7332272262e+10,3.7332272262e+10
2020-03-15 03:50:00,6.3846245240e+10,6.3846245240e+10,4.3454237109e+10,4.3454237109e+10
2020-03-15 03:55:00,6.0254624051e+10,6.0254624051e+10,4.2125486384e+10,4.2125486384e+10
2020-03-15 04:00:00,4.9561982897e+10,4.9561982897e+10,4.6118839345e+10,4.6118839345e+10
2020-03-15 04:05:00,3.6262757130e+10,3.6262757130e+10,3.2080822663e+10,3.2080822663e+10
2020-03-15 04:10:00,3.2539189066e+10,3.2539189066e+10,3.6081067058e+10,3.6081067058e+10
2020-03-15 04:15:00,3.0063435964e+10,3.0063435964e+10,3.5005242676e+10,3.5005242676e+10
2020-03-15 04:20:00,4.0098977083e+10,4.0098977083e+10,3.9148054304e+10,3.9148054304e+10
2020-03-15 04:25:00,3.4025823191e+10,3.4025823191e+10,3.7769177312e+10,3.7769177312e+10
2020-03-15 04:30:00,4.8444861863e+10,4.8444861863e+10,3.6326722904e+10,3.6326722904e+10
2020-03-15 04:35:00,4.3770511939e+10,4.3770511939e+10,4.6875485516e+10,4.6875485516e+10
2020-03-15 04:40:00,3.1346300504e+10,3.1346300504e+10,4.0613074325e+10,4.0613074325e+10
2020-03-15 04:45:00,5.7146858039e+10,5.7146858039e+10,7.1109256146e+10,7.1109256146e+10
2020-03-15 04:50:00,5.5346517355e+10,5.5346517355e+10,6.2676852960e+10,6.2676852960e+10
2020-03-15 04:55:00,4.6018879926e+10,4.6018879926e+10,3.8492785339e+10,3.8492785339e+10
2020-03-15 05:00:00,5.5528324597e+10,5.5528324597e+10,4.1858715382e+10,4.1858715382e+10
2020-03-15 05:05:00,3.0103642236e+10,3.0103642236e+10,3.6324303959e+10,3.6324303959e+10
2020-03-15 05:10:00,3.0238371189e+10,3.0238371189e+10,3.4416022633e+10,3.4416022633e+10
2020-03-15 05:15:00,2.6423297297e+10,2.6423297297e+10,4.1971190122e+10,4.1971190122e+10
2020-03-15 05:20:00,3.1421150501e+10,3.1421150501e+10,4.2095374219e+10,4.2095374219e+10
2020-03-15 05:25:00,2.7349284665e+10,2.7349284665e+10,3.9153258318e+10,3.9153258318e+10
2020-03-15 05:30:00,2.8674741385e+10,2.8674741385e+10,4.4958510526e+10,4.4958510526e+10
2020-03-15 05:35:00,3.5544571686e+10,3.5544571686e+10,4.1319979569e+10,4.1319979569e+10
2020-03-15 05:40:00,3.0320546930e+10,3.0320546930e+10,2.9475525378e+10,2.9475525378e+10
2020-03-15 05:45:00,3.4369820022e+10,3.4369820022e+10,4.3889855459e+10,4.3889855459e+10
2020-03-15 05:50:00,3.3056550043e+10,3.3056550043e+10,4.2245487822e+10,4.2245487822e+10
2020-03-15 05:55:00,3.0510281147e+10,3.0510281147e+10,3.8813030156e+10,3.8813030156e+10
2020-03-15 06:00:00,2.6005361582e+10,2.6005361582e+10,4.1849928139e+10,4.1849928139e+10
2020-03-15 06:05:00,2.9811559300e+10,2.9811559300e+10,5.0642833241e+10,5.0642833241e+10
2020-03-15 06:10:00,2.2473069633e+10,2.2473069633e+10,3.4921535510e+10,3.4921535510e+10
2020-03-15 06:15:00,3.1396495358e+10,3.1396495358e+10,4.0639851650e+10,4.0639851650e+10
2020-03-15 06:20:00,3.4606697769e+10,3.4606697769e+10,5.1638700099e+10,5.1638700099e+10
2020-03-15 06:25:00,2.7905205093e+10,2.7905205093e+10,4.6968257927e+10,4.6968257927e+10
2020-03-15 06:30:00,3.5895111497e+10,3.5895111497e+10,3.6812262184e+10,3.6812262184e+10
2020-03-15 06:35:00,2.5900697801e+10,2.5900697801e+10,3.8459157594e+10,3.8459157594e+10
2020-03-15 06:40:00,2.5105612366e+10,2.5105612366e+10,3.5283173826e+10,3.5283173826e+10
2020-03-15 06:45:00,4.6452724072e+10,4.6452724072e+10,3.4243213179e+10,3.4243213179e+10
2020-03-15 06:50:00,5.4694607385e+10,5.4694607385e+10,4.6439520606e+10,4.6439520606e+10
2020-03-15 06:55:00,4.3305212445e+10,4.3305212445e+10,3.9039552591e+10,3.9039552591e+10
2020-03-15 07:00:00,3.5952987377e+10,3.5952987377e+10,4.3938489723e+10,4.3938489723e+10
2020-03-15 07:05:00,2.9558646337e+10,2.9558646337e+10,3.6730302610e+10,3.6730302610e+10
2020-03-15 07:10:00,2.6987078766e+10,2.6987078766e+10,4.3755849153e+10,4.3755849153e+10
2020-03-15 07:15:00,2.8444766103e+10,2.8444766103e+10,3.5835628341e+10,3.5835628341e+10
2020-03-15 07:20:00,4.6197812755e+10,4.6197812755e+10,4.7661433472e+10,4.7661433472e+10
2020-03-15 07:25:00,3.8943342054e+10,3.8943342054e+10,4.7010565669e+10,4.7010565669e+10
2020-03-15 07:30:00,3.4255637598e+10,3.4255637598e+10,4.2374397365e+10,4.2374397365e+10
2020-03-15 07:35:00,2.9422068199e+10,2.9422068199e+10,3.9058210494e+10,3.9058210494e+10
2020-03-15 07:40:00,2.4580365656e+10,2.4580365656e+10,3.7396777790e+10,3.7396777790e+10
2020-03-15 07:45:00,2.9266454642e+10,2.9266454642e+10,3.8256580814e+10,3.8256580814e+10
2020-03-15 07:50:00,4.0371880517e+10,4.0371880517e+10,3.9403404304e+10,3.9403404304e+10
2020-03-15 07:55:00,3.6020858605e+10,3.6020858605e+10,3.5206456758e+10,3.5206456758e+10
2020-03-15 08:00:00,3.6643383109e+10,3.6643383109e+10,3.5113445429e+10,3.5113445429e+10
2020-03-15 08:05:00,3.2369358972e+10,3.2369358972e+10,4.7450624096e+10,4.7450624096e+10
2020-03-15 08:10:00,3.4735940037e+10,3.4735940037e+10,4.5300531966e+10,4.5300531966e+10
2020-03-15 08:15:00,2.6906755226e+10,2.6906755226e+10,4.5394408073e+10,4.5394408073e+10
2020-03-15 08:20:00,4.1216134783e+10,4.1216134783e+10,3.6405550646e+10,3.6405550646e+10
2020-03-15 08:25:00,4.3545923545e+10,4.3545923545e+10,4.2979350612e+10,4.2979350612e+10
2020-03-15 08:30:00,4.3594499281e+10,4.3594499281e+10,4.0437511054e+10,4.0437511054e+10
2020-03-15 08:35:00,3.2975718786e+10,3.2975718786e+10,4.1502171015e+10,4.1502171015e+10
2020-03-15 08:40:00,3.0648299985e+10,3.0648299985e+10,4.1940358318e+10,4.1940358318e+10
2020-03-15 08:45:00,2.7678966504e+10,2.7678966504e+10,4.4684543304e+10,4.4684543304e+10
2020-03-15 08:50:00,4.3038994060e+10,4.3038994060e+10,6.6841839337e+10,6.6841839337e+10
2020-03-15 08:55:00,4.8433986690e+10,4.8433986690e+10,5.1266491339e+10,5.1266491339e+10
2020-03-15 09:00:00,2.9282634930e+10,2.9282634930e+10,3.7884374090e+10,3.7884374090e+10
2020-03-15 09:05:00,2.4390640698e+10,2.4390640698e+10,3.5284819405e+10,3.5284819405e+10
2020-03-15 09:10:00,3.4766786667e+10,3.4766786667e+10,3.8491436106e+10,3.8491436106e+10
2020-03-15 09:15:00,3.7184497824e+10,3.7184497824e+10,5.6606526574e+10,5.6606526574e+10
2020-03-15 09:20:00,3.1691292113e+10,3.1691292113e+10,5.4593389340e+10,5.4593389340e+10
2020-03-15 09:25:00,2.4341286607e+10,2.4341286607e+10,7.8807560666e+10,7.8807560666e+10
2020-03-15 09:30:00,3.0854455967e+10,3.0854455967e+10,6.6050146738e+10,6.6050146738e+10
2020-03-15 09:35:00,2.5476875560e+10,2.5476875560e+10,5.5769148494e+10,5.5769148494e+10
2020-03-15 09:40:00,4.2162356659e+10,4.2162356659e+10,3.8990146251e+10,3.8990146251e+10
2020-03-15 09:45:00,5.0807135857e+10,5.0807135857e+10,4.6966867349e+10,4.6966867349e+10
2020-03-15 09:50:00,3.1844156142e+10,3.1844156142e+10,4.9548115940e+10,4.9548115940e+10
2020-03-15 09:55:00,3.0797703130e+10,3.0797703130e+10,5.2777122879e+10,5.2777122879e+10
2020-03-15 10:00:00,3.2507372534e+10,3.2507372534e+10,4.2980468491e+10,4.2980468491e+10
2020-03-15 10:05:00,2.9664778705e+10,2.9664778705e+10,3.9806919512e+10,3.9806919512e+10
2020-03-15 10:10:00,3.0645000587e+10,3.0645000587e+10,4.4445118212e+10,4.4445118212e+10
2020-03-15 10:15:00,2.1167352524e+10,2.1167352524e+10,3.6651189314e+10,3.6651189314e+10
2020-03-15 10:20:00,3.0873664412e+10,3.0873664412e+10,4.4143398408e+10,4.4143398408e+10
2020-03-15 10:25:00,3.7047394833e+10,3.7047394833e+10,5.5383308699e+10,5.5383308699e+10
2020-03-15 10:30:00,4.0347822159e+10,4.0347822159e+10,7.1438118693e+10,7.1438118693e+10
2020-03-15 10:35:00,4.6689477610e+10,4.6689477610e+10,6.3479427089e+10,6.3479427089e+10
2020-03-15 10:40:00,2.8107951418e+10,2.8107951418e+10,5.6202511652e+10,5.6202511652e+10
2020-03-15 10:45:00,2.6777676270e+10,2.6777676270e+10,6.9079236371e+10,6.9079236371e+10
2020-03-15 10:50:00,3.0174459304e+10,3.0174459304e+10,6.7928519800e+10,6.7928519800e+10
2020-03-15 10:55:00,5.2401287873e+10,5.2401287873e+10,7.1383796014e+10,7.1383796014e+10
2020-03-15 11:00:00,6.5622830573e+10,6.5622830573e+10,7.1396524252e+10,7.1396524252e+10
2020-03-15 11:05:00,5.7791408712e+10,5.7791408712e+10,6.5028560261e+10,6.5028560261e+10
2020-03-15 11:10:00,5.8708080548e+10,5.8708080548e+10,4.8604327025e+10,4.8604327025e+10
2020-03-15 11:15:00,5.6929076174e+10,5.6929076174e+10,4.5658568045e+10,4.5658568045e+10
2020-03-15 11:20:00,4.7428124573e+10,4.7428124573e+10,4.0184569451e+10,4.0184569451e+10
2020-03-15 11:25:00,2.8187147914e+10,2.8187147914e+10,3.9884715789e+10,3.9884715789e+10
2020-03-15 11:30:00,3.7332809251e+10,3.7332809251e+10,4.7130142421e+10,4.7130142421e+10
2020-03-15 11:35:00,2.5086692764e+10,2.5086692764e+10,4.7584492028e+10,4.7584492028e+10
2020-03-15 11:40:00,2.3583329833e+10,2.3583329833e+10,4.3077974829e+10,4.3077974829e+10
2020-03-15 11:45:00,2.2732076519e+10,2.2732076519e+10,3.7786352446e+10,3.7786352446e+10
2020-03-15 11:50:00,2.5166473013e+10,2.5166473013e+10,3.8439749445e+10,3.8439749445e+10
2020-03-15 11:55:00,2.8628657918e+10,2.8628657918e+10,5.3750536123e+10,5.3750536123e+10
2020-03-15 12:00:00,2.7142205564e+10,2.7142205564e+10,4.6284102344e+10,4.6284102344e+10
2020-03-15 12:05:00,3.3962367193e+10,3.3962367193e+10,4.1278260907e+10,4.1278260907e+10
2020-03-15 12:10:00,2.9016672157e+10,2.9016672157e+10,5.2264462820e+10,5.2264462820e+10
2020-03-15 12:15:00,2.5199289022e+10,2.5199289022e+10,4.1705494148e+10,4.1705494148e+10
2020-03-15 12:20:00,4.1635025023e+10,4.1635025023e+10,4.3104059630e+10,4.3104059630e+10
2020-03-15 12:25:00,2.1996621077e+10,2.1996621077e+10,3.8418393228e+10,3.8418393228e+10
2020-03-15 12:30:00,2.5296214776e+10,2.5296214776e+10,4.9353930166e+10,4.9353930166e+10
2020-03-15 12:35:00,3.7854098758e+10,3.7854098758e+10,3.6057690066e+10,3.6057690066e+10
2020-03-15 12:40:00,2.7953855602e+10,2.7953855602e+10,3.5903814097e+10,3.5903814097e+10
2020-03-15 12:45:00,3.1795456739e+10,3.1795456739e+10,3.6133177426e+10,3.6133177426e+10
2020-03-15 12:50:00,2.7275145650e+10,2.7275145650e+10,3.8522376838e+10,3.8522376838e+10
2020-03-15 12:55:00,3.0929979978e+10,3.0929979978e+10,3.8911490474e+10,3.8911490474e+10
2020-03-15 13:00:00,3.7628156842e+10,3.7628156842e+10,3.8587672767e+10,3.8587672767e+10
2020-03-15 13:05:00,3.2796190469e+10,3.2796190469e+10,3.7212176729e+10,3.7212176729e+10
2020-03-15 13:10:00,4.0945326411e+10,4.0945326411e+10,4.2863530519e+10,4.2863530519e+10
2020-03-15 13:15:00,4.4128383857e+10,4.4128383857e+10,4.3346653344e+10,4.3346653344e+10
2020-03-15 13:20:00,3.7977430547e+10,3.7977430547e+10,5.3084187340e+10,5.3084187340e+10
2020-03-15 13:25:00,3.8528811037e+10,3.8528811037e+10,5.4605818212e+10,5.4605818212e+10
2020-03-15 13:30:00,4.9823639766e+10,4.9823639766e+10,6.9240454778e+10,6.9240454778e+10
2020-03-15 13:35:00,4.3246473816e+10,4.3246473816e+10,6.9304404138e+10,6.9304404138e+10
2020-03-15 13:40:00,4.2865681868e+10,4.2865681868e+10,5.2400239910e+10,5.2400239910e+10
2020-03-15 13:45:00,5.1302487512e+10,5.1302487512e+10,4.6561506286e+10,4.6561506286e+10
2020-03-15 13:50:00,4.6540375879e+10,4.6540375879e+10,4.6805241655e+10,4.6805241655e+10
2020-03-15 13:55:00,4.8107744731e+10,4.8107744731e+10,5.1757573768e+10,5.1757573768e+10
2020-03-15 14:00:00,5.2034274593e+10,5.2034274593e+10,4.5784395674e+10,4.5784395674e+10
2020-03-15 14:05:00,5.1069431304e+10,5.1069431304e+10,4.6139421465e+10,4.6139421465e+10
2020-03-15 14:10:00,4.0835154602e+10,4.0835154602e+10,5.8116338784e+10,5.8116338784e+10
2020-03-15 14:15:00,3.8156530459e+10,3.8156530459e+10,5.5375256429e+10,5.5375256429e+10
2020-03-15 14:20:00,4.7274689103e+10,4.7274689103e+10,4.9688121149e+10,4.9688121149e+10
2020-03-15 14:25:00,4.1039756371e+10,4.1039756371e+10,5.0819591477e+10,5.0819591477e+10
2020-03-15 14:30:00,4.3842470883e+10,4.3842470883e+10,6.6620595302e+10,6.6620595302e+10
2020-03-15 14:35:00,4.4431236510e+10,4.4431236510e+10,6.0787299621e+10,6.0787299621e+10
2020-03-15 14:40:00,4.6402774351e+10,4.6402774351e+10,5.6458924707e+10,5.6458924707e+10
2020-03-15 14:45:00,4.4239159917e+10,4.4239159917e+10,5.1985874918e+10,5.1985874918e+10
2020-03-15 14:50:00,4.0630579722e+10,4.0630579722e+10,5.7996737581e+10,5.7996737581e+10
2020-03-15 14:55:00,3.5791655906e+10,3.5791655906e+10,5.6941476219e+10,5.6941476219e+10
2020-03-15 15:00:00,3.7846191106e+10,3.7846191106e+10,6.3011312241e+10,6.3011312241e+10
2020-03-15 15:05:00,4.3037736913e+10,4.3037736913e+10,5.7442696089e+10,5.7442696089e+10
2020-03-15 15:10:00,3.9192741158e+10,3.9192741158e+10,6.2064383301e+10,6.2064383301e+10
2020-03-15 15:15:00,3.7094864437e+10,3.7094864437e+10,5.3571443723e+10,5.3571443723e+10
2020-03-15 15:20:00,3.1570605621e+10,3.1570605621e+10,5.0068416078e+10,5.0068416078e+10
2020-03-15 15:25:00,3.8283522083e+10,3.8283522083e+10,5.7187901229e+10,5.7187901229e+10
2020-03-15 15:30:00,4.3400165815e+10,4.3400165815e+10,7.6140297042e+10,7.6140297042e+10
2020-03-15 15:35:00,6.5051516076e+10,6.5051516076e+10,9.1129405570e+10,9.1129405570e+10
2020-03-15 15:40:00,7.0887335836e+10,7.0887335836e+10,7.8412574346e+10,7.8412574346e+10
2020-03-15 15:45:00,7.1275493908e+10,7.1275493908e+10,7.5256141853e+10,7.5256141853e+10
2020-03-15 15:50:00,6.5661156233e+10,6.5661156233e+10,7.7799989686e+10,7.7799989686e+10
2020-03-15 15:55:00,5.2813050528e+10,5.2813050528e+10,7.4468511130e+10,7.4468511130e+10
2020-03-15 16:00:00,3.9960286216e+10,3.9960286216e+10,5.9212748192e+10,5.9212748192e+10
2020-03-15 16:05:00,4.5074088862e+10,4.5074088862e+10,5.4641722838e+10,5.4641722838e+10
2020-03-15 16:10:00,3.0181578548e+10,3.0181578548e+10,5.4442603171e+10,5.4442603171e+10
2020-03-15 16:15:00,3.0675010204e+10,3.0675010204e+10,5.3703588651e+10,5.3703588651e+10
2020-03-15 16:20:00,3.1561442336e+10,3.1561442336e+10,6.3427291572e+10,6.3427291572e+10
2020-03-15 16:25:00,4.2463707506e+10,4.2463707506e+10,8.8830281800e+10,8.8830281800e+10
2020-03-15 16:30:00,3.5099248434e+10,3.5099248434e+10,7.9304538020e+10,7.9304538020e+10
2020-03-15 16:35:00,5.2662631095e+10,5.2662631095e+10,6.9190570180e+10,6.9190570180e+10
2020-03-15 16:40:00,3.9431314197e+10,3.9431314197e+10,7.4991772899e+10,7.4991772899e+10
2020-03-15 16:45:00,4.1079775176e+10,4.1079775176e+10,6.8963735038e+10,6.8963735038e+10
2020-03-15 16:50:00,5.0933908731e+10,5.0933908731e+10,5.7051946473e+10,5.7051946473e+10
2020-03-15 16:55:00,4.5758228977e+10,4.5758228977e+10,5.3642719375e+10,5.3642719375e+10
2020-03-15 17:00:00,4.4282391987e+10,4.4282391987e+10,6.0164085635e+10,6.0164085635e+10
2020-03-15 17:05:00,3.4997410906e+10,3.4997410906e+10,5.6675223189e+10,5.6675223189e+10
2020-03-15 17:10:00,3.8926787607e+10,3.8926787607e+10,6.6835087130e+10,6.6835087130e+10
2020-03-15 17:15:00,3.2024720102e+10,3.2024720102e+10,5.5279071773e+10,5.5279071773e+10
2020-03-15 17:20:00,4.1656429668e+10,4.1656429668e+10,4.9778184434e+10,4.9778184434e+10
2020-03-15 17:25:00,3.3467489131e+10,3.3467489131e+10,4.5464649847e+10,4.5464649847e+10
2020-03-15 17:30:00,2.8553430659e+10,2.8553430659e+10,4.3302554701e+10,4.3302554701e+10
2020-03-15 17:35:00,3.7954645017e+10,3.7954645017e+10,5.2703044162e+10,5.2703044162e+10
2020-03-15 17:40:00,4.6862261060e+10,4.6862261060e+10,6.3792553693e+10,6.3792553693e+10
2020-03-15 17:45:00,3.3984956733e+10,3.3984956733e+10,5.6180386439e+10,5.6180386439e+10
2020-03-15 17:50:00,3.0799280254e+10,3.0799280254e+10,5.5231395968e+10,5.5231395968e+10
2020-03-15 17:55:00,3.5397546455e+10,3.5397546455e+10,4.9341370394e+10,4.9341370394e+10
2020-03-15 18:00:00,3.1389734624e+10,3.1389734624e+10,4.7066269265e+10,4.7066269265e+10
2020-03-15 18:05:00,3.6237824873e+10,3.6237824873e+10,5.2125627095e+10,5.2125627095e+10
2020-03-15 18:10:00,5.1056434670e+10,5.1056434670e+10,5.9014597272e+10,5.9014597272e+10
2020-03-15 18:15:00,4.1584618592e+10,4.1584618592e+10,6.7814377855e+10,6.7814377855e+10
2020-03-15 18:20:00,3.6808039140e+10,3.6808039140e+10,5.6028547609e+10,5.6028547609e+10
2020-03-15 18:25:00,3.2166600775e+10,3.2166600775e+10,4.4663024685e+10,4.4663024685e+10
2020-03-15 18:30:00,2.6795506534e+10,2.6795506534e+10,4.2540022316e+10,4.2540022316e+10
2020-03-15 18:35:00,3.2291035445e+10,3.2291035445e+10,4.2044765748e+10,4.2044765748e+10
2020-03-15 18:40:00,2.9708009321e+10,2.9708009321e+10,4.6458486862e+10,4.6458486862e+10
2020-03-15 18:45:00,2.7909637430e+10,2.7909637430e+10,5.7711485028e+10,5.7711485028e+10
2020-03-15 18:50:00,2.5376250082e+10,2.5376250082e+10,6.0361229354e+10,6.0361229354e+10
2020-03-15 18:55:00,2.7945823126e+10,2.7945823126e+10,4.6130723483e+10,4.6130723483e+10
2020-03-15 19:00:00,2.7132524062e+10,2.7132524062e+10,4.9978825565e+10,4.9978825565e+10
2020-03-15 19:05:00,2.4848160783e+10,2.4848160783e+10,4.4295340105e+10,4.4295340105e+10
2020-03-15 19:10:00,2.5702845639e+10,2.5702845639e+10,6.0893353347e+10,6.0893353347e+10
2020-03-15 19:15:00,5.0872714510e+10,5.0872714510e+10,5.4546093959e+10,5.4546093959e+10
2020-03-15 19:20:00,5.9840823127e+10,5.9840823127e+10,7.2181804879e+10,7.2181804879e+10
2020-03-15 19:25:00,5.6776884427e+10,5.6776884427e+10,5.6752360313e+10,5.6752360313e+10
2020-03-15 19:30:00,4.7618468533e+10,4.7618468533e+10,4.7276287988e+10,4.7276287988e+10
2020-03-15 19:35:00,5.0107567846e+10,5.0107567846e+10,5.5569073281e+10,5.5569073281e+10
2020-03-15 19:40:00,3.9546761535e+10,3.9546761535e+10,5.7031781015e+10,5.7031781015e+10
2020-03-15 19:45:00,3.5750459579e+10,3.5750459579e+10,6.4822804557e+10,6.4822804557e+10
2020-03-15 19:50:00,2.6889535367e+10,2.6889535367e+10,6.7939626623e+10,6.7939626623e+10
2020-03-15 19:55:00,2.8009352435e+10,2.8009352435e+10,4.2766988038e+10,4.2766988038e+10
