DATE,SKHU,SKHU_peak,HUSK,HUSK_peak
2020-03-22 22:55:00,2.9486353496e+06,2.9486353496e+06,1.4840332628e+08,1.4840332628e+08
2020-03-22 23:00:00,4.6568037531e+06,4.6568037531e+06,1.2745961792e+08,1.2745961792e+08
2020-03-22 23:05:00,3.3741693198e+07,3.3741693198e+07,1.1726100047e+08,1.1726100047e+08
2020-03-22 23:10:00,1.4926895685e+07,1.4926895685e+07,1.2225232640e+08,1.2225232640e+08
2020-03-22 23:15:00,4.5491256274e+06,4.5491256274e+06,1.3777102635e+08,1.3777102635e+08
2020-03-22 23:20:00,6.3040853820e+06,6.3040853820e+06,9.6967817647e+07,9.6967817647e+07
2020-03-22 23:25:00,5.4241466501e+06,5.4241466501e+06,9.8239618910e+07,9.8239618910e+07
2020-03-22 23:30:00,4.2642488267e+06,4.2642488267e+06,6.0646880921e+07,6.0646880921e+07
2020-03-22 23:35:00,6.2312383203e+06,6.2312383203e+06,6.1335397653e+07,6.1335397653e+07
2020-03-22 23:40:00,5.6598300000e+06,5.6598300000e+06,4.6832078200e+07,4.6832078200e+07
2020-03-22 23:45:00,6.4149777976e+06,6.4149777976e+06,3.4345457719e+07,3.4345457719e+07
2020-03-22 23:50:00,8.3459807109e+06,8.3459807109e+06,2.6503083749e+07,2.6503083749e+07
2020-03-22 23:55:00,1.5218386063e+08,1.5218386063e+08,2.7517357395e+07,2.7517357395e+07
2020-03-23 00:00:00,8.1886737059e+06,8.1886737059e+06,4.6980557539e+07,4.6980557539e+07
2020-03-23 00:05:00,7.2784798229e+06,7.2784798229e+06,4.9426435699e+07,4.9426435699e+07
2020-03-23 00:10:00,1.0430144463e+07,1.0430144463e+07,5.5118090814e+07,5.5118090814e+07
2020-03-23 00:15:00,9.2848221947e+06,9.2848221947e+06,6.8266132040e+07,6.8266132040e+07
2020-03-23 00:20:00,1.0527454142e+07,1.0527454142e+07,8.5089803634e+07,8.5089803634e+07
2020-03-23 00:25:00,8.5076667456e+06,8.5076667456e+06,9.5690333773e+07,9.5690333773e+07
2020-03-23 00:30:00,9.2632940021e+06,9.2632940021e+06,1.0211242807e+08,1.0211242807e+08
2020-03-23 00:35:00,8.9944376589e+06,8.9944376589e+06,1.0026320617e+08,1.0026320617e+08
2020-03-23 00:40:00,8.6862283782e+06,8.6862283782e+06,1.1071003442e+08,1.1071003442e+08
2020-03-23 00:45:00,8.7767804141e+06,8.7767804141e+06,1.0253822529e+08,1.0253822529e+08
2020-03-23 00:50:00,8.2249904637e+06,8.2249904637e+06,9.4629559219e+07,9.4629559219e+07
2020-03-23 00:55:00,8.6720655136e+06,8.6720655136e+06,2.2973264931e+08,2.2973264931e+08
2020-03-23 01:00:00,8.7738026699e+06,8.7738026699e+06,8.2728472802e+07,8.2728472802e+07
2020-03-23 01:05:00,7.7871802765e+06,7.7871802765e+06,9.4219850251e+07,9.4219850251e+07
2020-03-23 01:10:00,7.3419425056e+06,7.3419425056e+06,1.0146513971e+08,1.0146513971e+08
2020-03-23 01:15:00,6.3604255151e+06,6.3604255151e+06,7.8232693110e+07,7.8232693110e+07
2020-03-23 01:20:00,7.2906160787e+06,7.2906160787e+06,5.6305986990e+07,5.6305986990e+07
2020-03-23 01:25:00,9.1076587225e+06,9.1076587225e+06,5.3850963585e+07,5.3850963585e+07
2020-03-23 01:30:00,1.4475972505e+07,1.4475972505e+07,2.0978362197e+08,2.0978362197e+08
2020-03-23 01:35:00,1.0991857347e+07,1.0991857347e+07,3.5430093874e+08,3.5430093874e+08
2020-03-23 01:40:00,8.7879460022e+06,8.7879460022e+06,3.4809554094e+08,3.4809554094e+08
2020-03-23 01:45:00,3.7304129608e+06,3.7304129608e+06,7.9936978671e+07,7.9936978671e+07
2020-03-23 01:50:00,4.2657242133e+06,4.2657242133e+06,8.1965916204e+07,8.1965916204e+07
2020-03-23 01:55:00,4.4623054901e+06,4.4623054901e+06,7.9441309874e+07,7.9441309874e+07
2020-03-23 02:00:00,2.2507461077e+06,2.2507461077e+06,5.7734512488e+07,5.7734512488e+07
