DATE,PTPR,PTPR_peak,PRPT,PRPT_peak
2020-03-15 02:25:00,2.8651043691e+08,2.8651043691e+08,3.3827910440e+09,3.3827910440e+09
2020-03-15 02:30:00,2.5373303193e+08,2.5373303193e+08,1.8340940030e+09,1.8340940030e+09
2020-03-15 02:35:00,1.7502689261e+08,1.7502689261e+08,6.7151097895e+08,6.7151097895e+08
2020-03-15 02:40:00,1.3621892072e+08,1.3621892072e+08,1.5655677760e+09,1.5655677760e+09
2020-03-15 02:45:00,2.5293630330e+09,2.5293630330e+09,7.5768676656e+08,7.5768676656e+08
2020-03-15 02:50:00,7.6939269631e+08,7.6939269631e+08,6.7439021874e+08,6.7439021874e+08
2020-03-15 02:55:00,7.9522148166e+08,7.9522148166e+08,5.8589515719e+08,5.8589515719e+08
2020-03-15 03:00:00,3.9452688917e+08,3.9452688917e+08,5.7006110431e+08,5.7006110431e+08
2020-03-15 03:05:00,2.2676520043e+08,2.2676520043e+08,8.8190463670e+08,8.8190463670e+08
2020-03-15 03:10:00,6.9003136842e+08,6.9003136842e+08,9.7351041713e+08,9.7351041713e+08
2020-03-15 03:15:00,2.1081583821e+09,2.1081583821e+09,4.3643509365e+08,4.3643509365e+08
2020-03-15 03:20:00,1.3551346360e+09,1.3551346360e+09,1.0139693730e+09,1.0139693730e+09
2020-03-15 03:25:00,2.4651758593e+09,2.4651758593e+09,3.9935960394e+08,3.9935960394e+08
2020-03-15 03:30:00,1.2764981534e+09,1.2764981534e+09,8.7662352390e+08,8.7662352390e+08
2020-03-15 03:35:00,6.7480920379e+08,6.7480920379e+08,1.2311525580e+09,1.2311525580e+09
2020-03-15 03:40:00,5.7104431502e+08,5.7104431502e+08,4.8360565379e+08,4.8360565379e+08
2020-03-15 03:45:00,3.8712500735e+08,3.8712500735e+08,5.4140852521e+08,5.4140852521e+08
2020-03-15 03:50:00,1.7472415966e+08,1.7472415966e+08,1.7395393162e+09,1.7395393162e+09
2020-03-15 03:55:00,2.2578428848e+08,2.2578428848e+08,7.1203311351e+08,7.1203311351e+08
2020-03-15 04:00:00,2.0974423578e+08,2.0974423578e+08,4.4735130863e+08,4.4735130863e+08
