DATE,ROHU,ROHU_peak,HURO,HURO_peak
2020-03-15 02:25:00,5.9246178371e+08,5.9246178371e+08,7.5205562783e+07,7.5205562783e+07
2020-03-15 02:30:00,4.1284848065e+08,4.1284848065e+08,7.6032042321e+07,7.6032042321e+07
2020-03-15 02:35:00,4.2692940424e+08,4.2692940424e+08,5.0027643921e+07,5.0027643921e+07
2020-03-15 02:40:00,4.4751337411e+08,4.4751337411e+08,5.1126736276e+08,5.1126736276e+08
2020-03-15 02:45:00,5.4787119067e+08,5.4787119067e+08,7.2772103955e+08,7.2772103955e+08
2020-03-15 02:50:00,4.3629302215e+08,4.3629302215e+08,5.3631334342e+08,5.3631334342e+08
2020-03-15 02:55:00,5.4039155562e+08,5.4039155562e+08,1.7617955831e+08,1.7617955831e+08
2020-03-15 03:00:00,6.8114857544e+08,6.8114857544e+08,3.3557432051e+08,3.3557432051e+08
2020-03-15 03:05:00,5.3560869948e+08,5.3560869948e+08,1.7507115866e+08,1.7507115866e+08
2020-03-15 03:10:00,5.8662116515e+08,5.8662116515e+08,1.7190345929e+08,1.7190345929e+08
2020-03-15 03:15:00,5.1773576962e+08,5.1773576962e+08,2.3605696566e+08,2.3605696566e+08
2020-03-15 03:20:00,5.0004107216e+08,5.0004107216e+08,3.2994423589e+08,3.2994423589e+08
2020-03-15 03:25:00,5.7678882389e+08,5.7678882389e+08,2.1751371965e+08,2.1751371965e+08
2020-03-15 03:30:00,5.9641182390e+08,5.9641182390e+08,2.3418311681e+08,2.3418311681e+08
2020-03-15 03:35:00,6.5586118927e+08,6.5586118927e+08,1.0248289226e+08,1.0248289226e+08
2020-03-15 03:40:00,5.5725727411e+08,5.5725727411e+08,1.4835958691e+08,1.4835958691e+08
2020-03-15 03:45:00,5.5481639947e+08,5.5481639947e+08,1.0846106282e+08,1.0846106282e+08
2020-03-15 03:50:00,4.0595233441e+08,4.0595233441e+08,7.9311903635e+07,7.9311903635e+07
2020-03-15 03:55:00,4.9700219249e+08,4.9700219249e+08,6.5923923579e+07,6.5923923579e+07
2020-03-15 04:00:00,3.9275335573e+08,3.9275335573e+08,3.6824573007e+07,3.6824573007e+07
2020-03-15 04:05:00,2.9367623377e+08,2.9367623377e+08,4.1303661245e+07,4.1303661245e+07
2020-03-15 04:10:00,2.9949511199e+08,2.9949511199e+08,4.9536949071e+07,4.9536949071e+07
2020-03-15 04:15:00,3.5918711981e+08,3.5918711981e+08,4.1838074615e+08,4.1838074615e+08
2020-03-15 04:20:00,3.2827681460e+08,3.2827681460e+08,1.6085893212e+08,1.6085893212e+08
