DATE,HUAT,HUAT_peak,ATHU,ATHU_peak
2020-03-15 02:25:00,5.7990828214e+09,5.7990828214e+09,1.1537902946e+09,1.1537902946e+09
2020-03-15 02:30:00,5.7580229756e+09,5.7580229756e+09,1.3766306983e+09,1.3766306983e+09
2020-03-15 02:35:00,5.2997861622e+09,5.2997861622e+09,1.3638150952e+09,1.3638150952e+09
2020-03-15 02:40:00,4.8344468889e+09,4.8344468889e+09,1.3164806053e+09,1.3164806053e+09
2020-03-15 02:45:00,5.2286607633e+09,5.2286607633e+09,1.5338925009e+09,1.5338925009e+09
2020-03-15 02:50:00,5.3209122976e+09,5.3209122976e+09,1.4909584319e+09,1.4909584319e+09
2020-03-15 02:55:00,5.9748467296e+09,5.9748467296e+09,1.7352536572e+09,1.7352536572e+09
2020-03-15 03:00:00,8.7706580338e+09,8.7706580338e+09,1.7493364410e+09,1.7493364410e+09
2020-03-15 03:05:00,5.8949705185e+09,5.8949705185e+09,2.1502772286e+09,2.1502772286e+09
2020-03-15 03:10:00,8.3714271932e+09,8.3714271932e+09,1.9157280732e+09,1.9157280732e+09
2020-03-15 03:15:00,6.3219360940e+09,6.3219360940e+09,1.4191374149e+09,1.4191374149e+09
2020-03-15 03:20:00,7.0435154820e+09,7.0435154820e+09,9.8566827301e+08,9.8566827301e+08
2020-03-15 03:25:00,6.7519125582e+09,6.7519125582e+09,9.4997653616e+08,9.4997653616e+08
2020-03-15 03:30:00,6.6583298364e+09,6.6583298364e+09,1.0315064820e+09,1.0315064820e+09
2020-03-15 03:35:00,5.4874218257e+09,5.4874218257e+09,1.2340670943e+09,1.2340670943e+09
2020-03-15 03:40:00,4.5891314505e+09,4.5891314505e+09,1.3554670449e+09,1.3554670449e+09
2020-03-15 03:45:00,4.8572779994e+09,4.8572779994e+09,1.6882816452e+09,1.6882816452e+09
2020-03-15 03:50:00,4.4582806012e+09,4.4582806012e+09,1.5178688356e+09,1.5178688356e+09
2020-03-15 03:55:00,4.3150370907e+09,4.3150370907e+09,1.5696128144e+09,1.5696128144e+09
2020-03-15 04:00:00,4.9872789092e+09,4.9872789092e+09,1.5942285234e+09,1.5942285234e+09
2020-03-15 04:05:00,6.1652997838e+09,6.1652997838e+09,1.6536415877e+09,1.6536415877e+09
2020-03-15 04:10:00,6.1388486400e+09,6.1388486400e+09,1.6719991018e+09,1.6719991018e+09
2020-03-15 04:15:00,7.9877996935e+09,7.9877996935e+09,1.8016251397e+09,1.8016251397e+09
2020-03-15 04:20:00,4.8988492748e+09,4.8988492748e+09,1.8111032701e+09,1.8111032701e+09
2020-03-15 04:25:00,5.4446441559e+09,5.4446441559e+09,1.2407023713e+09,1.2407023713e+09
2020-03-15 04:30:00,6.1341850981e+09,6.1341850981e+09,1.3522267504e+09,1.3522267504e+09
2020-03-15 04:35:00,4.5168909206e+09,4.5168909206e+09,1.6265324880e+09,1.6265324880e+09
2020-03-15 04:40:00,4.2599896390e+09,4.2599896390e+09,1.6304823065e+09,1.6304823065e+09
2020-03-15 04:45:00,3.8012429048e+09,3.8012429048e+09,1.5364107396e+09,1.5364107396e+09
2020-03-15 04:50:00,3.6786702168e+09,3.6786702168e+09,1.5404168248e+09,1.5404168248e+09
2020-03-15 04:55:00,3.9469114844e+09,3.9469114844e+09,1.8572337354e+09,1.8572337354e+09
2020-03-15 05:00:00,4.5742777347e+09,4.5742777347e+09,1.8534087364e+09,1.8534087364e+09
2020-03-15 05:05:00,6.8096568577e+09,6.8096568577e+09,1.9185175579e+09,1.9185175579e+09
2020-03-15 05:10:00,7.7647157523e+09,7.7647157523e+09,1.8235547815e+09,1.8235547815e+09
2020-03-15 05:15:00,1.0224721172e+10,1.0224721172e+10,1.9533827509e+09,1.9533827509e+09
2020-03-15 05:20:00,5.2708339527e+09,5.2708339527e+09,1.6979825807e+09,1.6979825807e+09
2020-03-15 05:25:00,8.4252076031e+09,8.4252076031e+09,1.6227617352e+09,1.6227617352e+09
2020-03-15 05:30:00,5.5609910168e+09,5.5609910168e+09,1.3774643255e+09,1.3774643255e+09
2020-03-15 05:35:00,6.2865514788e+09,6.2865514788e+09,1.1149277908e+09,1.1149277908e+09
2020-03-15 05:40:00,4.0781105387e+09,4.0781105387e+09,1.1393694233e+09,1.1393694233e+09
2020-03-15 05:45:00,4.3521496334e+09,4.3521496334e+09,1.1545401491e+09,1.1545401491e+09
2020-03-15 05:50:00,4.0790665961e+09,4.0790665961e+09,8.5561339663e+08,8.5561339663e+08
2020-03-15 05:55:00,4.2629209505e+09,4.2629209505e+09,9.0770561333e+08,9.0770561333e+08
2020-03-15 06:00:00,4.4620156938e+09,4.4620156938e+09,8.9786313748e+08,8.9786313748e+08
2020-03-15 06:05:00,4.6389632198e+09,4.6389632198e+09,9.9577811252e+08,9.9577811252e+08
2020-03-15 06:10:00,4.5072450233e+09,4.5072450233e+09,1.1363776582e+09,1.1363776582e+09
2020-03-15 06:15:00,5.0459289057e+09,5.0459289057e+09,9.6928947959e+08,9.6928947959e+08
2020-03-15 06:20:00,4.5858435098e+09,4.5858435098e+09,1.0797875497e+09,1.0797875497e+09
2020-03-15 06:25:00,4.9519574504e+09,4.9519574504e+09,1.0460934673e+09,1.0460934673e+09
2020-03-15 06:30:00,4.6242009863e+09,4.6242009863e+09,1.2428461711e+09,1.2428461711e+09
2020-03-15 06:35:00,4.8307517308e+09,4.8307517308e+09,1.1988201647e+09,1.1988201647e+09
2020-03-15 06:40:00,5.6222738825e+09,5.6222738825e+09,1.0412832124e+09,1.0412832124e+09
2020-03-15 06:45:00,5.5844755135e+09,5.5844755135e+09,1.0956667309e+09,1.0956667309e+09
2020-03-15 06:50:00,6.2688920766e+09,6.2688920766e+09,1.0721250503e+09,1.0721250503e+09
2020-03-15 06:55:00,7.9076018178e+09,7.9076018178e+09,1.0949653863e+09,1.0949653863e+09
2020-03-15 07:00:00,5.7901821894e+09,5.7901821894e+09,1.1609979558e+09,1.1609979558e+09
2020-03-15 07:05:00,8.0310793972e+09,8.0310793972e+09,1.4396849250e+09,1.4396849250e+09
2020-03-15 07:10:00,7.8556620809e+09,7.8556620809e+09,1.2497480420e+09,1.2497480420e+09
2020-03-15 07:15:00,6.6666616283e+09,6.6666616283e+09,1.3381489874e+09,1.3381489874e+09
2020-03-15 07:20:00,5.5123807479e+09,5.5123807479e+09,1.4346108652e+09,1.4346108652e+09
2020-03-15 07:25:00,5.3798941014e+09,5.3798941014e+09,1.2372542150e+09,1.2372542150e+09
2020-03-15 07:30:00,5.1998636520e+09,5.1998636520e+09,1.0658240855e+09,1.0658240855e+09
2020-03-15 07:35:00,5.5108552604e+09,5.5108552604e+09,1.0270793374e+09,1.0270793374e+09
2020-03-15 07:40:00,5.6388496767e+09,5.6388496767e+09,9.7130037146e+08,9.7130037146e+08
2020-03-15 07:45:00,5.6963849778e+09,5.6963849778e+09,1.1688329138e+09,1.1688329138e+09
2020-03-15 07:50:00,6.2835279064e+09,6.2835279064e+09,1.2376992346e+09,1.2376992346e+09
2020-03-15 07:55:00,5.9188733838e+09,5.9188733838e+09,1.0982351268e+09,1.0982351268e+09
2020-03-15 08:00:00,5.7452794306e+09,5.7452794306e+09,1.3014558452e+09,1.3014558452e+09
2020-03-15 08:05:00,6.0556995917e+09,6.0556995917e+09,1.3015650278e+09,1.3015650278e+09
2020-03-15 08:10:00,6.3764529237e+09,6.3764529237e+09,1.1624996176e+09,1.1624996176e+09
2020-03-15 08:15:00,6.7666766619e+09,6.7666766619e+09,1.2039708916e+09,1.2039708916e+09
2020-03-15 08:20:00,6.9572531463e+09,6.9572531463e+09,1.3517825729e+09,1.3517825729e+09
2020-03-15 08:25:00,6.9641973438e+09,6.9641973438e+09,1.5909207162e+09,1.5909207162e+09
2020-03-15 08:30:00,7.0192321674e+09,7.0192321674e+09,1.2262023478e+09,1.2262023478e+09
2020-03-15 08:35:00,6.5043320892e+09,6.5043320892e+09,1.0205429599e+09,1.0205429599e+09
