DATE,UIFR,UIFR_peak,FRUI,FRUI_peak
2020-03-15 02:25:00,4.1168437859e+10,4.1168437859e+10,2.8846377128e+10,2.8846377128e+10
2020-03-15 02:30:00,3.7056022988e+10,3.7056022988e+10,3.3108626560e+10,3.3108626560e+10
2020-03-15 02:35:00,3.1305673082e+10,3.1305673082e+10,3.8104268357e+10,3.8104268357e+10
2020-03-15 02:40:00,3.4875964840e+10,3.4875964840e+10,2.8743507166e+10,2.8743507166e+10
2020-03-15 02:45:00,3.3651710527e+10,3.3651710527e+10,3.6876613715e+10,3.6876613715e+10
2020-03-15 02:50:00,3.0928322420e+10,3.0928322420e+10,4.4341357587e+10,4.4341357587e+10
2020-03-15 02:55:00,2.8750133310e+10,2.8750133310e+10,4.0076386231e+10,4.0076386231e+10
2020-03-15 03:00:00,2.4916766103e+10,2.4916766103e+10,3.0346529556e+10,3.0346529556e+10
2020-03-15 03:05:00,2.5127278058e+10,2.5127278058e+10,2.1835826211e+10,2.1835826211e+10
2020-03-15 03:10:00,2.8583255225e+10,2.8583255225e+10,2.8223765058e+10,2.8223765058e+10
2020-03-15 03:15:00,2.7169724587e+10,2.7169724587e+10,2.1136373085e+10,2.1136373085e+10
2020-03-15 03:20:00,2.8341430217e+10,2.8341430217e+10,2.4508647893e+10,2.4508647893e+10
2020-03-15 03:25:00,2.2854319954e+10,2.2854319954e+10,3.2906846788e+10,3.2906846788e+10
2020-03-15 03:30:00,2.4005580938e+10,2.4005580938e+10,2.3651858966e+10,2.3651858966e+10
2020-03-15 03:35:00,6.1573179834e+10,6.1573179834e+10,3.5777278993e+10,3.5777278993e+10
2020-03-15 03:40:00,2.5981431206e+10,2.5981431206e+10,2.6038140064e+10,2.6038140064e+10
2020-03-15 03:45:00,2.1862843589e+10,2.1862843589e+10,2.6188179185e+10,2.6188179185e+10
2020-03-15 03:50:00,2.4273152037e+10,2.4273152037e+10,2.3390639451e+10,2.3390639451e+10
2020-03-15 03:55:00,2.0633003357e+10,2.0633003357e+10,2.4521512139e+10,2.4521512139e+10
2020-03-15 04:00:00,2.1759231763e+10,2.1759231763e+10,2.3853428888e+10,2.3853428888e+10
2020-03-15 04:05:00,2.1165010595e+10,2.1165010595e+10,1.9419974250e+10,1.9419974250e+10
2020-03-15 04:10:00,2.4505526675e+10,2.4505526675e+10,2.8431559488e+10,2.8431559488e+10
2020-03-15 04:15:00,1.7750191000e+10,1.7750191000e+10,2.6490551398e+10,2.6490551398e+10
2020-03-15 04:20:00,1.9672072419e+10,1.9672072419e+10,2.8183224283e+10,2.8183224283e+10
2020-03-15 04:25:00,2.1644365543e+10,2.1644365543e+10,2.8901004011e+10,2.8901004011e+10
2020-03-15 04:30:00,2.4793117196e+10,2.4793117196e+10,3.1311785874e+10,3.1311785874e+10
2020-03-15 04:35:00,2.5327963656e+10,2.5327963656e+10,4.2193643773e+10,4.2193643773e+10
2020-03-15 04:40:00,2.3383343687e+10,2.3383343687e+10,2.8837131089e+10,2.8837131089e+10
2020-03-15 04:45:00,2.0648708788e+10,2.0648708788e+10,2.7518321629e+10,2.7518321629e+10
2020-03-15 04:50:00,2.3952764155e+10,2.3952764155e+10,2.7593501117e+10,2.7593501117e+10
2020-03-15 04:55:00,3.1029171754e+10,3.1029171754e+10,2.4593093555e+10,2.4593093555e+10
2020-03-15 05:00:00,6.8545355352e+10,6.8545355352e+10,3.3947494237e+10,3.3947494237e+10
2020-03-15 05:05:00,2.3608683167e+10,2.3608683167e+10,2.2232513311e+10,2.2232513311e+10
2020-03-15 05:10:00,2.6101017328e+10,2.6101017328e+10,2.5443410084e+10,2.5443410084e+10
2020-03-15 05:15:00,2.3832661428e+10,2.3832661428e+10,3.2607975319e+10,3.2607975319e+10
2020-03-15 05:20:00,2.1995614779e+10,2.1995614779e+10,2.8620153622e+10,2.8620153622e+10
2020-03-15 05:25:00,1.8548411006e+10,1.8548411006e+10,2.7701304130e+10,2.7701304130e+10
2020-03-15 05:30:00,2.4979906523e+10,2.4979906523e+10,3.0129022023e+10,3.0129022023e+10
2020-03-15 05:35:00,2.3650935019e+10,2.3650935019e+10,2.7266885305e+10,2.7266885305e+10
2020-03-15 05:40:00,2.7177116249e+10,2.7177116249e+10,3.1127638190e+10,3.1127638190e+10
2020-03-15 05:45:00,7.8965081357e+10,7.8965081357e+10,4.1787331268e+10,4.1787331268e+10
2020-03-15 05:50:00,2.9737520074e+10,2.9737520074e+10,5.3096917716e+10,5.3096917716e+10
2020-03-15 05:55:00,2.9183583381e+10,2.9183583381e+10,3.6326189301e+10,3.6326189301e+10
2020-03-15 06:00:00,2.8656475488e+10,2.8656475488e+10,2.8333956295e+10,2.8333956295e+10
2020-03-15 06:05:00,2.9593157492e+10,2.9593157492e+10,2.7984987398e+10,2.7984987398e+10
2020-03-15 06:10:00,3.1329342577e+10,3.1329342577e+10,2.7283166542e+10,2.7283166542e+10
2020-03-15 06:15:00,2.9655406434e+10,2.9655406434e+10,3.3356372019e+10,3.3356372019e+10
2020-03-15 06:20:00,3.2483991105e+10,3.2483991105e+10,4.3181084396e+10,4.3181084396e+10
2020-03-15 06:25:00,3.2651356516e+10,3.2651356516e+10,3.3814597512e+10,3.3814597512e+10
2020-03-15 06:30:00,3.1956626471e+10,3.1956626471e+10,3.7541868870e+10,3.7541868870e+10
2020-03-15 06:35:00,5.9967766224e+10,5.9967766224e+10,2.6896694395e+10,2.6896694395e+10
2020-03-15 06:40:00,2.9084457509e+10,2.9084457509e+10,4.2399815782e+10,4.2399815782e+10
2020-03-15 06:45:00,3.6259911458e+10,3.6259911458e+10,4.0599802610e+10,4.0599802610e+10
2020-03-15 06:50:00,4.2665287381e+10,4.2665287381e+10,2.8629210104e+10,2.8629210104e+10
2020-03-15 06:55:00,3.7908041657e+10,3.7908041657e+10,2.8479182444e+10,2.8479182444e+10
2020-03-15 07:00:00,3.1807427015e+10,3.1807427015e+10,2.1462147584e+10,2.1462147584e+10
2020-03-15 07:05:00,2.5672516499e+10,2.5672516499e+10,2.1199007087e+10,2.1199007087e+10
2020-03-15 07:10:00,2.5020681288e+10,2.5020681288e+10,2.4069093568e+10,2.4069093568e+10
2020-03-15 07:15:00,1.8902371079e+10,1.8902371079e+10,2.2455268782e+10,2.2455268782e+10
2020-03-15 07:20:00,2.0456611187e+10,2.0456611187e+10,2.0532613493e+10,2.0532613493e+10
2020-03-15 07:25:00,2.3229599094e+10,2.3229599094e+10,2.6290411151e+10,2.6290411151e+10
2020-03-15 07:30:00,2.4452280622e+10,2.4452280622e+10,1.7332615515e+10,1.7332615515e+10
2020-03-15 07:35:00,3.7719592964e+10,3.7719592964e+10,2.1876906865e+10,2.1876906865e+10
2020-03-15 07:40:00,4.4485325048e+10,4.4485325048e+10,2.8246687791e+10,2.8246687791e+10
2020-03-15 07:45:00,2.1669233353e+10,2.1669233353e+10,2.6735806682e+10,2.6735806682e+10
2020-03-15 07:50:00,2.4696509256e+10,2.4696509256e+10,2.5860326385e+10,2.5860326385e+10
2020-03-15 07:55:00,4.4255239294e+10,4.4255239294e+10,3.4558235903e+10,3.4558235903e+10
