DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-30 23:10:00,4.2731611789e+08,4.2731611789e+08,1.0613717347e+08,1.0613717347e+08
2020-03-30 23:15:00,6.8878739520e+08,6.8878739520e+08,8.9180374691e+07,8.9180374691e+07
2020-03-30 23:20:00,4.1938237239e+08,4.1938237239e+08,7.6979830861e+07,7.6979830861e+07
2020-03-30 23:25:00,3.2735620240e+08,3.2735620240e+08,5.8687307165e+07,5.8687307165e+07
2020-03-30 23:30:00,3.2883550740e+08,3.2883550740e+08,5.8529662234e+07,5.8529662234e+07
2020-03-30 23:35:00,3.1084360158e+08,3.1084360158e+08,6.5913313358e+07,6.5913313358e+07
2020-03-30 23:40:00,4.9872214835e+08,4.9872214835e+08,5.4819783967e+07,5.4819783967e+07
2020-03-30 23:45:00,5.8517377862e+08,5.8517377862e+08,6.9359954821e+07,6.9359954821e+07
2020-03-30 23:50:00,4.5427855092e+08,4.5427855092e+08,6.6318177047e+07,6.6318177047e+07
2020-03-30 23:55:00,3.1845308449e+08,3.1845308449e+08,5.1929589438e+07,5.1929589438e+07
2020-03-31 00:00:00,2.7618803028e+08,2.7618803028e+08,4.5622414547e+07,4.5622414547e+07
2020-03-31 00:05:00,2.5148345475e+08,2.5148345475e+08,5.6013262053e+07,5.6013262053e+07
2020-03-31 00:10:00,4.1486275814e+08,4.1486275814e+08,4.8608965635e+07,4.8608965635e+07
2020-03-31 00:15:00,3.0544960523e+08,3.0544960523e+08,3.8789891409e+07,3.8789891409e+07
2020-03-31 00:20:00,3.9822379883e+08,3.9822379883e+08,3.7065488075e+07,3.7065488075e+07
2020-03-31 00:25:00,2.5630016602e+08,2.5630016602e+08,3.6710431603e+07,3.6710431603e+07
2020-03-31 00:30:00,2.5973004982e+08,2.5973004982e+08,5.1633040120e+07,5.1633040120e+07
2020-03-31 00:35:00,4.5299231221e+08,4.5299231221e+08,1.1691185007e+08,1.1691185007e+08
2020-03-31 00:40:00,4.3210137040e+08,4.3210137040e+08,3.3420249823e+07,3.3420249823e+07
2020-03-31 00:45:00,2.5041828716e+08,2.5041828716e+08,3.3266275252e+07,3.3266275252e+07
2020-03-31 00:50:00,4.2147060407e+08,4.2147060407e+08,4.1426322923e+07,4.1426322923e+07
2020-03-31 00:55:00,4.0132893131e+08,4.0132893131e+08,3.9947474362e+07,3.9947474362e+07
2020-03-31 01:00:00,3.9995078209e+08,3.9995078209e+08,4.8478055726e+07,4.8478055726e+07
2020-03-31 01:05:00,3.3753794831e+08,3.3753794831e+08,7.8344216872e+07,7.8344216872e+07
2020-03-31 01:10:00,2.5590335691e+08,2.5590335691e+08,5.7847408253e+07,5.7847408253e+07
2020-03-31 01:15:00,3.0049780991e+08,3.0049780991e+08,3.4023598514e+07,3.4023598514e+07
2020-03-31 01:20:00,3.4619629948e+08,3.4619629948e+08,2.5119443990e+07,2.5119443990e+07
2020-03-31 01:25:00,2.0089138244e+08,2.0089138244e+08,2.6531536092e+07,2.6531536092e+07
2020-03-31 01:30:00,2.0690930529e+08,2.0690930529e+08,2.7532749357e+07,2.7532749357e+07
2020-03-31 01:35:00,4.3485222940e+08,4.3485222940e+08,2.9695199976e+07,2.9695199976e+07
2020-03-31 01:40:00,1.8981066840e+08,1.8981066840e+08,4.2676363836e+07,4.2676363836e+07
2020-03-31 01:45:00,1.8227815258e+08,1.8227815258e+08,2.9054603075e+07,2.9054603075e+07
2020-03-31 01:50:00,1.8989534522e+08,1.8989534522e+08,2.5675252861e+07,2.5675252861e+07
2020-03-31 01:55:00,3.1611382971e+08,3.1611382971e+08,2.8447337509e+07,2.8447337509e+07
2020-03-31 02:00:00,2.1269633057e+08,2.1269633057e+08,2.5943163424e+07,2.5943163424e+07
2020-03-31 02:05:00,2.4482250182e+08,2.4482250182e+08,3.4787206872e+07,3.4787206872e+07
2020-03-31 02:10:00,5.0900424887e+08,5.0900424887e+08,2.5614321399e+07,2.5614321399e+07
2020-03-31 02:15:00,3.9288289914e+08,3.9288289914e+08,4.0061190682e+07,4.0061190682e+07
2020-03-31 02:20:00,5.4173177946e+08,5.4173177946e+08,5.1049374045e+07,5.1049374045e+07
2020-03-31 02:25:00,2.0866217932e+08,2.0866217932e+08,2.9880636556e+07,2.9880636556e+07
2020-03-31 02:30:00,1.8604061139e+08,1.8604061139e+08,3.0433231693e+07,3.0433231693e+07
2020-03-31 02:35:00,3.2079483017e+08,3.2079483017e+08,9.6443060223e+07,9.6443060223e+07
2020-03-31 02:40:00,2.0503601451e+08,2.0503601451e+08,3.6798745034e+07,3.6798745034e+07
2020-03-31 02:45:00,1.6120805453e+08,1.6120805453e+08,2.1505269140e+07,2.1505269140e+07
2020-03-31 02:50:00,1.7566111454e+08,1.7566111454e+08,4.0203868389e+07,4.0203868389e+07
2020-03-31 02:55:00,3.0902795313e+08,3.0902795313e+08,6.6451665067e+07,6.6451665067e+07
2020-03-31 03:00:00,2.8715812450e+08,2.8715812450e+08,3.7082261611e+07,3.7082261611e+07
2020-03-31 03:05:00,4.9966139022e+08,4.9966139022e+08,2.9135689243e+07,2.9135689243e+07
