DATE,PTUK,PTUK_peak,UKPT,PTUK_peak
2020-03-15 02:50:00,6.7899171309e+08,6.7899171309e+08,7.7285605588e+08,7.7285605588e+08
2020-03-15 02:55:00,5.8729029791e+08,5.8729029791e+08,8.0609038550e+08,8.0609038550e+08
2020-03-15 03:00:00,5.4263655960e+08,5.4263655960e+08,4.0642211264e+08,4.0642211264e+08
2020-03-15 03:05:00,7.1252908920e+08,7.1252908920e+08,2.3414371529e+08,2.3414371529e+08
2020-03-15 03:10:00,1.1778170633e+09,1.1778170633e+09,5.1669186808e+08,5.1669186808e+08
2020-03-15 03:15:00,4.5037263660e+08,4.5037263660e+08,2.2067629455e+09,2.2067629455e+09
2020-03-15 03:20:00,1.0130219239e+09,1.0130219239e+09,1.4093382010e+09,1.4093382010e+09
2020-03-15 03:25:00,4.3047117591e+08,4.3047117591e+08,2.5724536834e+09,2.5724536834e+09
2020-03-15 03:30:00,7.1356375489e+08,7.1356375489e+08,1.1434264516e+09,1.1434264516e+09
2020-03-15 03:35:00,1.3606017832e+09,1.3606017832e+09,6.9165558433e+08,6.9165558433e+08
2020-03-15 03:40:00,4.8807615296e+08,4.8807615296e+08,5.8709502261e+08,5.8709502261e+08
2020-03-15 03:45:00,5.3881734814e+08,5.3881734814e+08,3.8876115250e+08,3.8876115250e+08
2020-03-15 03:50:00,1.4468713765e+09,1.4468713765e+09,1.7637180747e+08,1.7637180747e+08
2020-03-15 03:55:00,1.0095815293e+09,1.0095815293e+09,2.2229838259e+08,2.2229838259e+08
2020-03-15 04:00:00,4.6183114710e+08,4.6183114710e+08,2.1782988624e+08,2.1782988624e+08
2020-03-15 04:05:00,4.5451909801e+08,4.5451909801e+08,1.5417890658e+08,1.5417890658e+08
2020-03-15 04:10:00,1.0896287765e+09,1.0896287765e+09,2.0001042495e+09,2.0001042495e+09
2020-03-15 04:15:00,5.0881533579e+08,5.0881533579e+08,1.2933916995e+09,1.2933916995e+09
2020-03-15 04:20:00,7.9580699742e+08,7.9580699742e+08,6.0608027779e+08,6.0608027779e+08
2020-03-15 04:25:00,5.2312004753e+08,5.2312004753e+08,3.6717015807e+08,3.6717015807e+08
2020-03-15 04:30:00,3.6636004506e+08,3.6636004506e+08,2.2555121251e+08,2.2555121251e+08
2020-03-15 04:35:00,5.4948931849e+08,5.4948931849e+08,2.0247606020e+08,2.0247606020e+08
2020-03-15 04:40:00,3.6716165629e+08,3.6716165629e+08,1.5764903814e+08,1.5764903814e+08
2020-03-15 04:45:00,3.5485973866e+08,3.5485973866e+08,7.8482301202e+07,7.8482301202e+07
