DATE,PRES,PRES_peak,ESPR,ESPR_peak
2020-03-22 02:25:00,1.9688935525e+09,1.9688935525e+09,1.0809372612e+09,1.0809372612e+09
2020-03-22 02:30:00,2.2199786392e+09,2.2199786392e+09,9.1782088653e+08,9.1782088653e+08
2020-03-22 02:35:00,2.0417323785e+09,2.0417323785e+09,9.7752506191e+08,9.7752506191e+08
2020-03-22 02:40:00,2.4374046005e+09,2.4374046005e+09,8.9578036568e+08,8.9578036568e+08
2020-03-22 02:45:00,1.8927959168e+09,1.8927959168e+09,9.7265635242e+08,9.7265635242e+08
2020-03-22 02:50:00,1.9580587841e+09,1.9580587841e+09,9.6551382437e+08,9.6551382437e+08
2020-03-22 02:55:00,2.3944482191e+09,2.3944482191e+09,1.0664144040e+09,1.0664144040e+09
2020-03-22 03:00:00,2.4471251446e+09,2.4471251446e+09,1.3510282169e+09,1.3510282169e+09
2020-03-22 03:05:00,1.9186571418e+09,1.9186571418e+09,9.5290094327e+08,9.5290094327e+08
2020-03-22 03:10:00,4.7230687335e+09,4.7230687335e+09,1.1626570417e+09,1.1626570417e+09
2020-03-22 03:15:00,2.2813916473e+09,2.2813916473e+09,1.1415315612e+09,1.1415315612e+09
2020-03-22 03:20:00,2.2768403731e+09,2.2768403731e+09,1.3416016421e+09,1.3416016421e+09
2020-03-22 03:25:00,1.9534171973e+09,1.9534171973e+09,9.7829919055e+08,9.7829919055e+08
2020-03-22 03:30:00,1.6640608595e+09,1.6640608595e+09,1.1528566585e+09,1.1528566585e+09
2020-03-22 03:35:00,1.5784878191e+09,1.5784878191e+09,1.2529404562e+09,1.2529404562e+09
2020-03-22 03:40:00,1.6393989533e+09,1.6393989533e+09,1.2481506541e+09,1.2481506541e+09
2020-03-22 03:45:00,1.5980238191e+09,1.5980238191e+09,9.4937171909e+08,9.4937171909e+08
2020-03-22 03:50:00,1.5635756612e+09,1.5635756612e+09,1.1559010116e+09,1.1559010116e+09
2020-03-22 03:55:00,2.1721683210e+09,2.1721683210e+09,1.0334865742e+09,1.0334865742e+09
2020-03-22 04:00:00,2.7167102144e+09,2.7167102144e+09,8.9079164810e+08,8.9079164810e+08
2020-03-22 04:05:00,2.6307335554e+09,2.6307335554e+09,9.7414853518e+08,9.7414853518e+08
2020-03-22 04:10:00,2.4164489711e+09,2.4164489711e+09,8.4848268625e+08,8.4848268625e+08
2020-03-22 04:15:00,2.2325888799e+09,2.2325888799e+09,9.9148175692e+08,9.9148175692e+08
2020-03-22 04:20:00,1.7522775422e+09,1.7522775422e+09,9.7453548707e+08,9.7453548707e+08
2020-03-22 04:25:00,1.8862352996e+09,1.8862352996e+09,1.0309051327e+09,1.0309051327e+09
2020-03-22 04:30:00,1.9308767024e+09,1.9308767024e+09,1.1334214313e+09,1.1334214313e+09
2020-03-22 04:35:00,1.8558273649e+09,1.8558273649e+09,9.5015655588e+08,9.5015655588e+08
2020-03-22 04:40:00,1.6300906455e+09,1.6300906455e+09,7.0025302177e+08,7.0025302177e+08
2020-03-22 04:45:00,1.6382228614e+09,1.6382228614e+09,7.1044384998e+08,7.1044384998e+08
2020-03-22 04:50:00,1.5457893182e+09,1.5457893182e+09,7.2623756046e+08,7.2623756046e+08
2020-03-22 04:55:00,1.5839326888e+09,1.5839326888e+09,8.1298675435e+08,8.1298675435e+08
2020-03-22 05:00:00,1.5042478245e+09,1.5042478245e+09,7.9337858737e+08,7.9337858737e+08
2020-03-22 05:05:00,1.4477045777e+09,1.4477045777e+09,6.5461279713e+08,6.5461279713e+08
2020-03-22 05:10:00,1.3318693462e+09,1.3318693462e+09,5.9050672330e+08,5.9050672330e+08
2020-03-22 05:15:00,1.3029633683e+09,1.3029633683e+09,9.4497880949e+08,9.4497880949e+08
2020-03-22 05:20:00,1.1598965688e+09,1.1598965688e+09,9.6491004863e+08,9.6491004863e+08
