DATE,NLDU,NLDU_peak,DUNL,DUNL_peak
2020-03-15 02:25:00,6.0524909224e+09,6.0524909224e+09,1.4921460978e+04,1.4921460978e+04
2020-03-15 02:30:00,3.5717876048e+09,3.5717876048e+09,1.5067712156e+04,1.5067712156e+04
2020-03-15 02:35:00,1.6100487579e+10,1.6100487579e+10,1.4506256276e+04,1.4506256276e+04
2020-03-15 02:40:00,2.0439601726e+10,2.0439601726e+10,1.4911765253e+04,1.4911765253e+04
2020-03-15 02:45:00,2.4593192116e+10,2.4593192116e+10,1.4964631002e+04,1.4964631002e+04
2020-03-15 02:50:00,2.6040353413e+10,2.6040353413e+10,1.4667199581e+04,1.4667199581e+04
2020-03-15 02:55:00,2.7242694921e+10,2.7242694921e+10,1.4828195110e+04,1.4828195110e+04
2020-03-15 03:00:00,2.8570601321e+10,2.8570601321e+10,1.4985313626e+04,1.4985313626e+04
2020-03-15 03:05:00,2.7282535317e+10,2.7282535317e+10,1.4425429320e+04,1.4425429320e+04
2020-03-15 03:10:00,3.2350501466e+10,3.2350501466e+10,1.5069192611e+04,1.5069192611e+04
2020-03-15 03:15:00,2.9544569957e+10,2.9544569957e+10,1.4660382133e+04,1.4660382133e+04
2020-03-15 03:20:00,2.9914265362e+10,2.9914265362e+10,1.4667987467e+04,1.4667987467e+04
2020-03-15 03:25:00,3.1128234294e+10,3.1128234294e+10,1.5214428267e+04,1.5214428267e+04
2020-03-15 03:30:00,2.4566178441e+10,2.4566178441e+10,1.4435376457e+04,1.4435376457e+04
2020-03-15 03:35:00,2.4277577659e+10,2.4277577659e+10,1.4858149410e+04,1.4858149410e+04
2020-03-15 03:40:00,2.3077136969e+10,2.3077136969e+10,1.4874910233e+04,1.4874910233e+04
2020-03-15 03:45:00,2.3098794705e+10,2.3098794705e+10,1.5030694033e+04,1.5030694033e+04
2020-03-15 03:50:00,2.4444408916e+10,2.4444408916e+10,1.4524198667e+04,1.4524198667e+04
2020-03-15 03:55:00,1.4053987294e+10,1.4053987294e+10,1.4991864267e+04,1.4991864267e+04
2020-03-15 04:00:00,1.2393957489e+10,1.2393957489e+10,1.4723558400e+04,1.4723558400e+04
2020-03-15 04:05:00,1.4783252713e+10,1.4783252713e+10,1.5470956000e+04,1.5470956000e+04
2020-03-15 04:10:00,1.8424648083e+10,1.8424648083e+10,1.4915095969e+04,1.4915095969e+04
