DATE,GRGC,GRGC_peak,GCGR,GCGR_peak
2020-03-15 02:25:00,2.7250572306e+09,2.7250572306e+09,2.0218652022e+09,2.0218652022e+09
2020-03-15 02:30:00,2.3683094941e+09,2.3683094941e+09,2.2508999730e+09,2.2508999730e+09
2020-03-15 02:35:00,2.8462172697e+09,2.8462172697e+09,2.3251594315e+09,2.3251594315e+09
2020-03-15 02:40:00,2.8758726011e+09,2.8758726011e+09,2.9035212483e+09,2.9035212483e+09
2020-03-15 02:45:00,2.9633801560e+09,2.9633801560e+09,2.4140983305e+09,2.4140983305e+09
2020-03-15 02:50:00,2.0446729125e+09,2.0446729125e+09,2.4557374886e+09,2.4557374886e+09
2020-03-15 02:55:00,1.9799147219e+09,1.9799147219e+09,2.7383583026e+09,2.7383583026e+09
2020-03-15 03:00:00,2.8244907273e+09,2.8244907273e+09,2.4506888187e+09,2.4506888187e+09
2020-03-15 03:05:00,2.5805314106e+09,2.5805314106e+09,2.2108645459e+09,2.2108645459e+09
2020-03-15 03:10:00,2.8016479193e+09,2.8016479193e+09,1.8677457061e+09,1.8677457061e+09
2020-03-15 03:15:00,3.2054782312e+09,3.2054782312e+09,1.8245724765e+09,1.8245724765e+09
2020-03-15 03:20:00,3.7398863305e+09,3.7398863305e+09,2.1798992880e+09,2.1798992880e+09
2020-03-15 03:25:00,3.8449532129e+09,3.8449532129e+09,1.7678171782e+09,1.7678171782e+09
2020-03-15 03:30:00,2.8530881994e+09,2.8530881994e+09,1.8814312941e+09,1.8814312941e+09
2020-03-15 03:35:00,2.9254254149e+09,2.9254254149e+09,2.2195567996e+09,2.2195567996e+09
2020-03-15 03:40:00,3.3570669360e+09,3.3570669360e+09,1.4057023950e+09,1.4057023950e+09
2020-03-15 03:45:00,3.1281023644e+09,3.1281023644e+09,2.1886217410e+09,2.1886217410e+09
2020-03-15 03:50:00,3.3214684178e+09,3.3214684178e+09,2.5207522097e+09,2.5207522097e+09
2020-03-15 03:55:00,2.8254804446e+09,2.8254804446e+09,2.3049620589e+09,2.3049620589e+09
2020-03-15 04:00:00,2.9284095493e+09,2.9284095493e+09,2.5048917808e+09,2.5048917808e+09
2020-03-15 04:05:00,2.9277640995e+09,2.9277640995e+09,1.7244206256e+09,1.7244206256e+09
2020-03-15 04:10:00,2.9163116154e+09,2.9163116154e+09,1.9660409217e+09,1.9660409217e+09
2020-03-15 04:15:00,2.1481828867e+09,2.1481828867e+09,2.2177892290e+09,2.2177892290e+09
2020-03-15 04:20:00,3.2074188876e+09,3.2074188876e+09,2.1482395745e+09,2.1482395745e+09
2020-03-15 04:25:00,3.1575796288e+09,3.1575796288e+09,2.3920002280e+09,2.3920002280e+09
2020-03-15 04:30:00,2.9331732444e+09,2.9331732444e+09,2.4839865416e+09,2.4839865416e+09
2020-03-15 04:35:00,3.6844508723e+09,3.6844508723e+09,1.8328689008e+09,1.8328689008e+09
2020-03-15 04:40:00,3.7894950571e+09,3.7894950571e+09,2.0839790784e+09,2.0839790784e+09
2020-03-15 04:45:00,3.5922708491e+09,3.5922708491e+09,2.0191491589e+09,2.0191491589e+09
2020-03-15 04:50:00,3.7726196041e+09,3.7726196041e+09,2.7119343604e+09,2.7119343604e+09
2020-03-15 04:55:00,4.1744535806e+09,4.1744535806e+09,2.6349697194e+09,2.6349697194e+09
2020-03-15 05:00:00,2.8117669365e+09,2.8117669365e+09,2.4955144896e+09,2.4955144896e+09
2020-03-15 05:05:00,4.0495279114e+09,4.0495279114e+09,2.0495357713e+09,2.0495357713e+09
2020-03-15 05:10:00,3.3345046557e+09,3.3345046557e+09,2.3103690607e+09,2.3103690607e+09
2020-03-15 05:15:00,4.4925009385e+09,4.4925009385e+09,2.7226495531e+09,2.7226495531e+09
2020-03-15 05:20:00,3.2167995168e+09,3.2167995168e+09,2.4943027519e+09,2.4943027519e+09
2020-03-15 05:25:00,3.6972738520e+09,3.6972738520e+09,2.6297460695e+09,2.6297460695e+09
2020-03-15 05:30:00,3.0955647615e+09,3.0955647615e+09,3.4352539666e+09,3.4352539666e+09
2020-03-15 05:35:00,4.3986633285e+09,4.3986633285e+09,2.2077087575e+09,2.2077087575e+09
2020-03-15 05:40:00,3.1148664805e+09,3.1148664805e+09,2.8048849148e+09,2.8048849148e+09
2020-03-15 05:45:00,3.1508084395e+09,3.1508084395e+09,3.4570687074e+09,3.4570687074e+09
2020-03-15 05:50:00,3.9572840415e+09,3.9572840415e+09,2.2480128024e+09,2.2480128024e+09
2020-03-15 05:55:00,3.6698818192e+09,3.6698818192e+09,2.3968243208e+09,2.3968243208e+09
2020-03-15 06:00:00,2.9707603548e+09,2.9707603548e+09,2.3644866410e+09,2.3644866410e+09
2020-03-15 06:05:00,4.1046449365e+09,4.1046449365e+09,2.0673627728e+09,2.0673627728e+09
2020-03-15 06:10:00,3.3157329065e+09,3.3157329065e+09,1.9428914345e+09,1.9428914345e+09
2020-03-15 06:15:00,4.2147521867e+09,4.2147521867e+09,2.2358653148e+09,2.2358653148e+09
2020-03-15 06:20:00,3.2805456149e+09,3.2805456149e+09,2.5925055470e+09,2.5925055470e+09
2020-03-15 06:25:00,3.8550795933e+09,3.8550795933e+09,2.1895143831e+09,2.1895143831e+09
2020-03-15 06:30:00,2.2582979801e+09,2.2582979801e+09,2.1393773962e+09,2.1393773962e+09
2020-03-15 06:35:00,4.3436123222e+09,4.3436123222e+09,2.1538534965e+09,2.1538534965e+09
2020-03-15 06:40:00,3.7786196889e+09,3.7786196889e+09,1.7702272812e+09,1.7702272812e+09
2020-03-15 06:45:00,3.8416854972e+09,3.8416854972e+09,2.3014593378e+09,2.3014593378e+09
2020-03-15 06:50:00,4.0015492682e+09,4.0015492682e+09,2.3046144860e+09,2.3046144860e+09
2020-03-15 06:55:00,5.2818787882e+09,5.2818787882e+09,2.3300923171e+09,2.3300923171e+09
2020-03-15 07:00:00,3.4473265865e+09,3.4473265865e+09,2.1820089341e+09,2.1820089341e+09
2020-03-15 07:05:00,4.6237348592e+09,4.6237348592e+09,2.2916795267e+09,2.2916795267e+09
2020-03-15 07:10:00,3.4641142191e+09,3.4641142191e+09,2.4345333661e+09,2.4345333661e+09
2020-03-15 07:15:00,4.6099888207e+09,4.6099888207e+09,1.7707532027e+09,1.7707532027e+09
2020-03-15 07:20:00,3.4631726745e+09,3.4631726745e+09,2.0473825129e+09,2.0473825129e+09
2020-03-15 07:25:00,4.2271937227e+09,4.2271937227e+09,1.9679534542e+09,1.9679534542e+09
2020-03-15 07:30:00,3.3812556607e+09,3.3812556607e+09,2.2905696214e+09,2.2905696214e+09
2020-03-15 07:35:00,3.9608592735e+09,3.9608592735e+09,1.7942003983e+09,1.7942003983e+09
2020-03-15 07:40:00,2.5676598185e+09,2.5676598185e+09,2.0652488759e+09,2.0652488759e+09
2020-03-15 07:45:00,2.2673584305e+09,2.2673584305e+09,2.2602531793e+09,2.2602531793e+09
2020-03-15 07:50:00,3.4545667403e+09,3.4545667403e+09,2.6102533399e+09,2.6102533399e+09
2020-03-15 07:55:00,2.4824211868e+09,2.4824211868e+09,2.1993511792e+09,2.1993511792e+09
2020-03-15 08:00:00,2.8170467780e+09,2.8170467780e+09,2.1694730980e+09,2.1694730980e+09
2020-03-15 08:05:00,3.5757011270e+09,3.5757011270e+09,2.1012748491e+09,2.1012748491e+09
2020-03-15 08:10:00,2.9714334105e+09,2.9714334105e+09,1.9352399526e+09,1.9352399526e+09
2020-03-15 08:15:00,3.8738230678e+09,3.8738230678e+09,2.6040755519e+09,2.6040755519e+09
2020-03-15 08:20:00,3.8060005713e+09,3.8060005713e+09,2.5898956607e+09,2.5898956607e+09
2020-03-15 08:25:00,4.3346561413e+09,4.3346561413e+09,2.6165631141e+09,2.6165631141e+09
2020-03-15 08:30:00,3.5191627757e+09,3.5191627757e+09,2.0684882085e+09,2.0684882085e+09
2020-03-15 08:35:00,4.2343912621e+09,4.2343912621e+09,1.8371072337e+09,1.8371072337e+09
2020-03-15 08:40:00,4.2126049562e+09,4.2126049562e+09,2.5218435900e+09,2.5218435900e+09
2020-03-15 08:45:00,3.3060835045e+09,3.3060835045e+09,3.0075548127e+09,3.0075548127e+09
2020-03-15 08:50:00,4.1083904308e+09,4.1083904308e+09,3.2427064693e+09,3.2427064693e+09
2020-03-15 08:55:00,4.5237283777e+09,4.5237283777e+09,2.4290908226e+09,2.4290908226e+09
2020-03-15 09:00:00,2.9115459808e+09,2.9115459808e+09,2.8818853780e+09,2.8818853780e+09
2020-03-15 09:05:00,3.4420206578e+09,3.4420206578e+09,2.2562741722e+09,2.2562741722e+09
2020-03-15 09:10:00,4.4399108758e+09,4.4399108758e+09,2.8459259397e+09,2.8459259397e+09
2020-03-15 09:15:00,4.0188911133e+09,4.0188911133e+09,2.1414616838e+09,2.1414616838e+09
2020-03-15 09:20:00,4.0690234839e+09,4.0690234839e+09,2.1256941411e+09,2.1256941411e+09
2020-03-15 09:25:00,4.6678659554e+09,4.6678659554e+09,2.6744757535e+09,2.6744757535e+09
