DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-15 02:25:00,1.1537236935e+06,1.1537236935e+06,9.8580692782e+05,9.8580692782e+05
2020-03-15 02:30:00,1.0788818700e+06,1.0788818700e+06,9.3998762684e+05,9.3998762684e+05
2020-03-15 02:35:00,1.1385940738e+06,1.1385940738e+06,9.8313474791e+05,9.8313474791e+05
2020-03-15 02:40:00,1.0734529147e+06,1.0734529147e+06,9.5007500782e+05,9.5007500782e+05
2020-03-15 02:45:00,1.1257671984e+06,1.1257671984e+06,9.6570890560e+05,9.6570890560e+05
2020-03-15 02:50:00,1.0884921430e+06,1.0884921430e+06,1.0484350969e+06,1.0484350969e+06
2020-03-15 02:55:00,1.0964911007e+06,1.0964911007e+06,1.0432412584e+06,1.0432412584e+06
2020-03-15 03:00:00,1.1871842241e+06,1.1871842241e+06,1.0263057448e+06,1.0263057448e+06
2020-03-15 03:05:00,1.1308806089e+06,1.1308806089e+06,8.9245845805e+05,8.9245845805e+05
2020-03-15 03:10:00,1.1081859038e+06,1.1081859038e+06,9.8851128078e+05,9.8851128078e+05
2020-03-15 03:15:00,1.1108087694e+06,1.1108087694e+06,9.6521635365e+05,9.6521635365e+05
2020-03-15 03:20:00,1.3047653459e+06,1.3047653459e+06,1.0411358894e+06,1.0411358894e+06
2020-03-15 03:25:00,1.1720594058e+06,1.1720594058e+06,1.1239373747e+06,1.1239373747e+06
2020-03-15 03:30:00,1.1099046946e+06,1.1099046946e+06,1.0195543032e+06,1.0195543032e+06
2020-03-15 03:35:00,1.1411027620e+06,1.1411027620e+06,1.0606676627e+06,1.0606676627e+06
2020-03-15 03:40:00,1.0871172798e+06,1.0871172798e+06,1.0051133024e+06,1.0051133024e+06
2020-03-15 03:45:00,1.1076793451e+06,1.1076793451e+06,9.7264488729e+05,9.7264488729e+05
2020-03-15 03:50:00,1.1050664786e+06,1.1050664786e+06,1.0573819294e+06,1.0573819294e+06
2020-03-15 03:55:00,1.0798050955e+06,1.0798050955e+06,9.5137406204e+05,9.5137406204e+05
2020-03-15 04:00:00,1.1753332544e+06,1.1753332544e+06,1.0958263609e+06,1.0958263609e+06
2020-03-15 04:05:00,1.2162575177e+06,1.2162575177e+06,9.1540621227e+05,9.1540621227e+05
2020-03-15 04:10:00,1.1217624628e+06,1.1217624628e+06,9.8162355111e+05,9.8162355111e+05
2020-03-15 04:15:00,1.0685553860e+06,1.0685553860e+06,9.7001738453e+05,9.7001738453e+05
2020-03-15 04:20:00,1.1206083367e+06,1.1206083367e+06,1.0571699801e+06,1.0571699801e+06
2020-03-15 04:25:00,1.1426595922e+06,1.1426595922e+06,9.8266672444e+05,9.8266672444e+05
2020-03-15 04:30:00,1.1187543783e+06,1.1187543783e+06,9.5317273126e+05,9.5317273126e+05
2020-03-15 04:35:00,1.1766935508e+06,1.1766935508e+06,1.0638912724e+06,1.0638912724e+06
2020-03-15 04:40:00,1.0909093040e+06,1.0909093040e+06,9.2812233053e+05,9.2812233053e+05
2020-03-15 04:45:00,1.1298034660e+06,1.1298034660e+06,9.6565352729e+05,9.6565352729e+05
