DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-15 02:25:00,1.4520108193e+08,1.4520108193e+08,4.2078194389e+06,4.2078194389e+06
2020-03-15 02:30:00,1.2773904472e+08,1.2773904472e+08,2.6035054123e+07,2.6035054123e+07
2020-03-15 02:35:00,1.2105403893e+08,1.2105403893e+08,5.2390492392e+06,5.2390492392e+06
2020-03-15 02:40:00,2.0595939453e+08,2.0595939453e+08,5.0323317179e+08,5.0323317179e+08
2020-03-15 02:45:00,2.3334464204e+08,2.3334464204e+08,2.0287761946e+07,2.0287761946e+07
2020-03-15 02:50:00,6.8443766258e+08,6.8443766258e+08,1.6289861233e+07,1.6289861233e+07
2020-03-15 02:55:00,1.8027668785e+08,1.8027668785e+08,5.6682261246e+07,5.6682261246e+07
2020-03-15 03:00:00,3.3004602595e+08,3.3004602595e+08,1.2847490335e+07,1.2847490335e+07
2020-03-15 03:05:00,1.7731796728e+08,1.7731796728e+08,9.3668454307e+07,9.3668454307e+07
2020-03-15 03:10:00,1.9791745266e+08,1.9791745266e+08,7.1084555649e+06,7.1084555649e+06
2020-03-15 03:15:00,1.4666144657e+08,1.4666144657e+08,9.2538253631e+06,9.2538253631e+06
2020-03-15 03:20:00,1.3375997582e+08,1.3375997582e+08,1.0565512989e+08,1.0565512989e+08
2020-03-15 03:25:00,1.3918452843e+08,1.3918452843e+08,7.2974295397e+06,7.2974295397e+06
2020-03-15 03:30:00,1.7480221624e+08,1.7480221624e+08,7.8486981602e+06,7.8486981602e+06
2020-03-15 03:35:00,1.5815753856e+08,1.5815753856e+08,8.2492809924e+06,8.2492809924e+06
2020-03-15 03:40:00,2.1545054899e+08,2.1545054899e+08,5.0624768205e+08,5.0624768205e+08
2020-03-15 03:45:00,1.6483875960e+08,1.6483875960e+08,1.1400703436e+08,1.1400703436e+08
2020-03-15 03:50:00,1.7013926961e+08,1.7013926961e+08,1.1358833761e+07,1.1358833761e+07
2020-03-15 03:55:00,1.1606273496e+08,1.1606273496e+08,8.5235558448e+06,8.5235558448e+06
