DATE,DECH,DECH_peak,CHDE,CHDE_peak
2020-03-15 02:25:00,4.4595336666e+10,4.4595336666e+10,3.5621613479e+10,3.5621613479e+10
2020-03-15 02:30:00,4.2987991605e+10,4.2987991605e+10,3.5606576834e+10,3.5606576834e+10
2020-03-15 02:35:00,4.3340713415e+10,4.3340713415e+10,3.4466893541e+10,3.4466893541e+10
2020-03-15 02:40:00,3.7046478483e+10,3.7046478483e+10,4.3320732383e+10,4.3320732383e+10
2020-03-15 02:45:00,3.2109014590e+10,3.2109014590e+10,4.2118065321e+10,4.2118065321e+10
2020-03-15 02:50:00,3.3620490754e+10,3.3620490754e+10,4.4399820672e+10,4.4399820672e+10
2020-03-15 02:55:00,3.0968915802e+10,3.0968915802e+10,3.7992943019e+10,3.7992943019e+10
2020-03-15 03:00:00,2.8484702938e+10,2.8484702938e+10,3.5907372437e+10,3.5907372437e+10
2020-03-15 03:05:00,3.7579326367e+10,3.7579326367e+10,4.2081532922e+10,4.2081532922e+10
2020-03-15 03:10:00,3.6618519228e+10,3.6618519228e+10,2.9320692277e+10,2.9320692277e+10
2020-03-15 03:15:00,4.2629087080e+10,4.2629087080e+10,3.4141733342e+10,3.4141733342e+10
2020-03-15 03:20:00,3.9765879641e+10,3.9765879641e+10,4.8302479844e+10,4.8302479844e+10
2020-03-15 03:25:00,3.8907313282e+10,3.8907313282e+10,4.4262920074e+10,4.4262920074e+10
2020-03-15 03:30:00,4.0162727075e+10,4.0162727075e+10,4.6461373798e+10,4.6461373798e+10
2020-03-15 03:35:00,3.3006874343e+10,3.3006874343e+10,3.9795048027e+10,3.9795048027e+10
2020-03-15 03:40:00,3.4388900536e+10,3.4388900536e+10,4.5950926835e+10,4.5950926835e+10
2020-03-15 03:45:00,3.6081531444e+10,3.6081531444e+10,2.9359637003e+10,2.9359637003e+10
2020-03-15 03:50:00,3.7063628462e+10,3.7063628462e+10,3.5554056023e+10,3.5554056023e+10
2020-03-15 03:55:00,3.6752804227e+10,3.6752804227e+10,3.4752950226e+10,3.4752950226e+10
2020-03-15 04:00:00,3.4690673864e+10,3.4690673864e+10,3.9272711233e+10,3.9272711233e+10
2020-03-15 04:05:00,3.3048905287e+10,3.3048905287e+10,3.8166141354e+10,3.8166141354e+10
2020-03-15 04:10:00,3.2545506888e+10,3.2545506888e+10,4.0261187907e+10,4.0261187907e+10
2020-03-15 04:15:00,3.5424407450e+10,3.5424407450e+10,3.8876681871e+10,3.8876681871e+10
2020-03-15 04:20:00,3.2644741250e+10,3.2644741250e+10,4.1569277256e+10,4.1569277256e+10
2020-03-15 04:25:00,3.2678542503e+10,3.2678542503e+10,3.7067844024e+10,3.7067844024e+10
2020-03-15 04:30:00,4.6037480236e+10,4.6037480236e+10,4.0357068281e+10,4.0357068281e+10
2020-03-15 04:35:00,4.2754045706e+10,4.2754045706e+10,3.5861621957e+10,3.5861621957e+10
2020-03-15 04:40:00,3.6219509754e+10,3.6219509754e+10,3.1924711538e+10,3.1924711538e+10
2020-03-15 04:45:00,3.1975248249e+10,3.1975248249e+10,3.0459795708e+10,3.0459795708e+10
2020-03-15 04:50:00,3.2558585005e+10,3.2558585005e+10,4.2658652872e+10,4.2658652872e+10
2020-03-15 04:55:00,3.2645700324e+10,3.2645700324e+10,3.4881059556e+10,3.4881059556e+10
2020-03-15 05:00:00,2.7296797604e+10,2.7296797604e+10,4.3439722340e+10,4.3439722340e+10
2020-03-15 05:05:00,2.7253824288e+10,2.7253824288e+10,3.5805211057e+10,3.5805211057e+10
2020-03-15 05:10:00,3.1955825722e+10,3.1955825722e+10,3.8156399699e+10,3.8156399699e+10
2020-03-15 05:15:00,4.1228565775e+10,4.1228565775e+10,4.0436430756e+10,4.0436430756e+10
2020-03-15 05:20:00,4.0003245253e+10,4.0003245253e+10,4.7267553587e+10,4.7267553587e+10
2020-03-15 05:25:00,3.4264615403e+10,3.4264615403e+10,4.0204219050e+10,4.0204219050e+10
2020-03-15 05:30:00,3.0082322835e+10,3.0082322835e+10,2.8052765428e+10,2.8052765428e+10
2020-03-15 05:35:00,3.4421276303e+10,3.4421276303e+10,4.3725188289e+10,4.3725188289e+10
2020-03-15 05:40:00,3.0516064455e+10,3.0516064455e+10,3.4191924505e+10,3.4191924505e+10
