DATE,ROHU,ROHU_peak,HURO,HURO_peak
2020-03-22 02:25:00,1.8019638045e+08,1.8019638045e+08,8.3698160744e+07,8.3698160744e+07
2020-03-22 02:30:00,2.1602462515e+08,2.1602462515e+08,5.0425364993e+07,5.0425364993e+07
2020-03-22 02:35:00,2.8323593975e+08,2.8323593975e+08,5.2515147330e+07,5.2515147330e+07
2020-03-22 02:40:00,3.0411076435e+08,3.0411076435e+08,5.4341517438e+07,5.4341517438e+07
2020-03-22 02:45:00,3.9510121852e+08,3.9510121852e+08,5.1524120424e+07,5.1524120424e+07
2020-03-22 02:50:00,4.8620407760e+08,4.8620407760e+08,5.5438520251e+07,5.5438520251e+07
2020-03-22 02:55:00,5.6276707969e+08,5.6276707969e+08,6.0868312748e+07,6.0868312748e+07
2020-03-22 03:00:00,7.7883597139e+08,7.7883597139e+08,4.7238844325e+07,4.7238844325e+07
2020-03-22 03:05:00,7.8636441160e+08,7.8636441160e+08,4.5570080848e+07,4.5570080848e+07
2020-03-22 03:10:00,7.9226256849e+08,7.9226256849e+08,4.3197472908e+07,4.3197472908e+07
2020-03-22 03:15:00,7.8868351185e+08,7.8868351185e+08,5.1298210929e+07,5.1298210929e+07
2020-03-22 03:20:00,7.1695321689e+08,7.1695321689e+08,3.3589904942e+07,3.3589904942e+07
2020-03-22 03:25:00,7.2593141213e+08,7.2593141213e+08,3.6592494665e+07,3.6592494665e+07
2020-03-22 03:30:00,7.0890664121e+08,7.0890664121e+08,4.0879895795e+07,4.0879895795e+07
2020-03-22 03:35:00,9.8414799984e+08,9.8414799984e+08,4.0183808237e+07,4.0183808237e+07
2020-03-22 03:40:00,5.7166966281e+08,5.7166966281e+08,3.6370759379e+07,3.6370759379e+07
2020-03-22 03:45:00,3.8214331239e+08,3.8214331239e+08,3.7887839034e+07,3.7887839034e+07
2020-03-22 03:50:00,2.5525276260e+08,2.5525276260e+08,3.9621287310e+07,3.9621287310e+07
2020-03-22 03:55:00,1.7778431234e+08,1.7778431234e+08,8.5188038052e+07,8.5188038052e+07
2020-03-22 04:00:00,8.3300318974e+07,8.3300318974e+07,9.6793811522e+07,9.6793811522e+07
2020-03-22 04:05:00,7.0302308797e+07,7.0302308797e+07,1.4939721930e+08,1.4939721930e+08
2020-03-22 04:10:00,9.6778074547e+07,9.6778074547e+07,4.9822471487e+07,4.9822471487e+07
2020-03-22 04:15:00,1.2582102932e+08,1.2582102932e+08,7.7342912135e+07,7.7342912135e+07
2020-03-22 04:20:00,8.7161771751e+07,8.7161771751e+07,4.8752406689e+07,4.8752406689e+07
2020-03-22 04:25:00,9.3038122949e+07,9.3038122949e+07,4.6453760621e+07,4.6453760621e+07
2020-03-22 04:30:00,8.9993451380e+07,8.9993451380e+07,4.1710163078e+07,4.1710163078e+07
2020-03-22 04:35:00,7.9118840061e+07,7.9118840061e+07,5.5478483230e+07,5.5478483230e+07
2020-03-22 04:40:00,7.0523629465e+07,7.0523629465e+07,7.6170507892e+07,7.6170507892e+07
2020-03-22 04:45:00,6.9497237214e+07,6.9497237214e+07,4.2173245059e+07,4.2173245059e+07
2020-03-22 04:50:00,1.2949069581e+08,1.2949069581e+08,4.0541812619e+07,4.0541812619e+07
2020-03-22 04:55:00,8.2167928649e+07,8.2167928649e+07,4.8008168130e+07,4.8008168130e+07
2020-03-22 05:00:00,5.8649388597e+07,5.8649388597e+07,4.2491696813e+07,4.2491696813e+07
2020-03-22 05:05:00,3.7652147270e+07,3.7652147270e+07,5.4478532377e+07,5.4478532377e+07
2020-03-22 05:10:00,5.5520026844e+07,5.5520026844e+07,4.3108405775e+07,4.3108405775e+07
