DATE,CHES,CHES_peak,ESCH,CHES_peak
2020-03-22 02:25:00,3.6866843444e+09,3.6866843444e+09,7.4929282872e+09,7.4929282872e+09
2020-03-22 02:30:00,5.8585116450e+09,5.8585116450e+09,7.9081326482e+09,7.9081326482e+09
2020-03-22 02:35:00,4.4473697832e+09,4.4473697832e+09,7.7220695370e+09,7.7220695370e+09
2020-03-22 02:40:00,3.2049916743e+09,3.2049916743e+09,8.9367505894e+09,8.9367505894e+09
2020-03-22 02:45:00,2.2955513264e+09,2.2955513264e+09,8.3228411740e+09,8.3228411740e+09
2020-03-22 02:50:00,1.9714302594e+09,1.9714302594e+09,7.9537068383e+09,7.9537068383e+09
2020-03-22 02:55:00,1.7465417647e+09,1.7465417647e+09,8.2000959721e+09,8.2000959721e+09
2020-03-22 03:00:00,2.6369975983e+09,2.6369975983e+09,8.6653166886e+09,8.6653166886e+09
2020-03-22 03:05:00,2.1775827956e+09,2.1775827956e+09,8.1713899371e+09,8.1713899371e+09
2020-03-22 03:10:00,2.2022829370e+09,2.2022829370e+09,1.1341501433e+10,1.1341501433e+10
2020-03-22 03:15:00,3.1104554038e+09,3.1104554038e+09,8.2057424655e+09,8.2057424655e+09
2020-03-22 03:20:00,3.4286888760e+09,3.4286888760e+09,8.0273508231e+09,8.0273508231e+09
2020-03-22 03:25:00,6.8567025512e+09,6.8567025512e+09,8.3418091892e+09,8.3418091892e+09
2020-03-22 03:30:00,2.6414289081e+09,2.6414289081e+09,6.8996346133e+09,6.8996346133e+09
2020-03-22 03:35:00,2.1051911065e+09,2.1051911065e+09,6.3821109389e+09,6.3821109389e+09
2020-03-22 03:40:00,3.9698049919e+09,3.9698049919e+09,5.7057577663e+09,5.7057577663e+09
2020-03-22 03:45:00,1.8646444548e+09,1.8646444548e+09,6.4649458394e+09,6.4649458394e+09
2020-03-22 03:50:00,3.0960714694e+09,3.0960714694e+09,6.4849511407e+09,6.4849511407e+09
2020-03-22 03:55:00,4.4903139550e+09,4.4903139550e+09,7.5683945058e+09,7.5683945058e+09
2020-03-22 04:00:00,2.2243377140e+09,2.2243377140e+09,8.8059877621e+09,8.8059877621e+09
2020-03-22 04:05:00,2.9332029524e+09,2.9332029524e+09,8.6567994082e+09,8.6567994082e+09
2020-03-22 04:10:00,4.5990592773e+09,4.5990592773e+09,8.6057145812e+09,8.6057145812e+09
2020-03-22 04:15:00,3.7379511361e+09,3.7379511361e+09,7.9991042805e+09,7.9991042805e+09
2020-03-22 04:20:00,2.3611918216e+09,2.3611918216e+09,7.7873773539e+09,7.7873773539e+09
2020-03-22 04:25:00,4.0124472209e+09,4.0124472209e+09,7.7981272343e+09,7.7981272343e+09
2020-03-22 04:30:00,5.0330391077e+09,5.0330391077e+09,8.6475217774e+09,8.6475217774e+09
2020-03-22 04:35:00,1.6568594485e+09,1.6568594485e+09,8.2869582658e+09,8.2869582658e+09
2020-03-22 04:40:00,1.9207470632e+09,1.9207470632e+09,8.2934335763e+09,8.2934335763e+09
2020-03-22 04:45:00,2.0765561700e+09,2.0765561700e+09,8.1951330493e+09,8.1951330493e+09
2020-03-22 04:50:00,1.7277356233e+09,1.7277356233e+09,8.6888798040e+09,8.6888798040e+09
2020-03-22 04:55:00,3.1093806184e+09,3.1093806184e+09,9.1390370852e+09,9.1390370852e+09
2020-03-22 05:00:00,2.1496460588e+09,2.1496460588e+09,9.2525251677e+09,9.2525251677e+09
2020-03-22 05:05:00,2.5086543795e+09,2.5086543795e+09,9.7763980782e+09,9.7763980782e+09
2020-03-22 05:10:00,1.9564058463e+09,1.9564058463e+09,8.0502705145e+09,8.0502705145e+09
2020-03-22 05:15:00,1.8310386210e+09,1.8310386210e+09,7.8512663126e+09,7.8512663126e+09
2020-03-22 05:20:00,2.3737742488e+09,2.3737742488e+09,7.4364230971e+09,7.4364230971e+09
2020-03-22 05:25:00,1.9228963921e+09,1.9228963921e+09,7.2894470396e+09,7.2894470396e+09
2020-03-22 05:30:00,5.1303993964e+09,5.1303993964e+09,8.2047766318e+09,8.2047766318e+09
2020-03-22 05:35:00,4.6330163527e+09,4.6330163527e+09,8.0802719755e+09,8.0802719755e+09
