DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-15 03:35:00,7.7909813216e+10,7.7909813216e+10,6.0723616710e+10,6.0723616710e+10
2020-03-15 03:40:00,3.3673297955e+10,3.3673297955e+10,5.5455761465e+10,5.5455761465e+10
2020-03-15 03:45:00,3.5458034971e+10,3.5458034971e+10,5.4012307799e+10,5.4012307799e+10
2020-03-15 03:50:00,3.3627076038e+10,3.3627076038e+10,4.5470967979e+10,4.5470967979e+10
2020-03-15 03:55:00,2.9499430444e+10,2.9499430444e+10,4.9051100652e+10,4.9051100652e+10
2020-03-15 04:00:00,3.3774921865e+10,3.3774921865e+10,4.9890384502e+10,4.9890384502e+10
2020-03-15 04:05:00,2.8891547630e+10,2.8891547630e+10,4.3779294577e+10,4.3779294577e+10
2020-03-15 04:10:00,3.5670951628e+10,3.5670951628e+10,5.5068847214e+10,5.5068847214e+10
2020-03-15 04:15:00,2.6592072868e+10,2.6592072868e+10,5.3562546683e+10,5.3562546683e+10
2020-03-15 04:20:00,3.4064052933e+10,3.4064052933e+10,4.8040697859e+10,4.8040697859e+10
2020-03-15 04:25:00,3.1110300476e+10,3.1110300476e+10,4.7346762192e+10,4.7346762192e+10
2020-03-15 04:30:00,3.7085102670e+10,3.7085102670e+10,5.2409549600e+10,5.2409549600e+10
2020-03-15 04:35:00,3.4009282761e+10,3.4009282761e+10,6.1759248279e+10,6.1759248279e+10
2020-03-15 04:40:00,2.9423064678e+10,2.9423064678e+10,4.7812178230e+10,4.7812178230e+10
2020-03-15 04:45:00,2.6280687061e+10,2.6280687061e+10,6.0248108768e+10,6.0248108768e+10
2020-03-15 04:50:00,2.8514881030e+10,2.8514881030e+10,6.1488703847e+10,6.1488703847e+10
2020-03-15 04:55:00,4.5069431596e+10,4.5069431596e+10,6.6961709157e+10,6.6961709157e+10
2020-03-15 05:00:00,6.9428527356e+10,6.9428527356e+10,7.0398389265e+10,7.0398389265e+10
2020-03-15 05:05:00,2.7091473893e+10,2.7091473893e+10,5.2391058593e+10,5.2391058593e+10
2020-03-15 05:10:00,3.1465835814e+10,3.1465835814e+10,5.4465148330e+10,5.4465148330e+10
2020-03-15 05:15:00,4.3515897923e+10,4.3515897923e+10,6.4267794074e+10,6.4267794074e+10
2020-03-15 05:20:00,4.6138378946e+10,4.6138378946e+10,5.8651669875e+10,5.8651669875e+10
2020-03-15 05:25:00,4.4436435149e+10,4.4436435149e+10,5.7850377390e+10,5.7850377390e+10
2020-03-15 05:30:00,4.8826841705e+10,4.8826841705e+10,5.2102838440e+10,5.2102838440e+10
2020-03-15 05:35:00,4.4623000045e+10,4.4623000045e+10,5.2791123595e+10,5.2791123595e+10
2020-03-15 05:40:00,3.8013923296e+10,3.8013923296e+10,5.3088902515e+10,5.3088902515e+10
2020-03-15 05:45:00,8.9812090896e+10,8.9812090896e+10,6.7390024481e+10,6.7390024481e+10
2020-03-15 05:50:00,3.6497378662e+10,3.6497378662e+10,7.4194309448e+10,7.4194309448e+10
2020-03-15 05:55:00,3.6377252063e+10,3.6377252063e+10,6.1104962614e+10,6.1104962614e+10
2020-03-15 06:00:00,4.0047060331e+10,4.0047060331e+10,5.3374107811e+10,5.3374107811e+10
