DATE,DEPL,DEPL_peak,PLDE,DEPL_peak
2020-03-24 22:00:00,3.1357937834e+09,3.1357937834e+09,4.8082203366e+09,4.8082203366e+09
2020-03-24 22:05:00,3.0870992200e+09,3.0870992200e+09,5.0476842397e+09,5.0476842397e+09
2020-03-24 22:10:00,3.4173254792e+09,3.4173254792e+09,5.3685288190e+09,5.3685288190e+09
2020-03-24 22:15:00,3.3869637830e+09,3.3869637830e+09,5.1247848171e+09,5.1247848171e+09
2020-03-24 22:20:00,3.3891276406e+09,3.3891276406e+09,5.2989297845e+09,5.2989297845e+09
2020-03-24 22:25:00,5.0002800411e+09,5.0002800411e+09,5.6848941455e+09,5.6848941455e+09
2020-03-24 22:30:00,3.6733508505e+09,3.6733508505e+09,6.3123588994e+09,6.3123588994e+09
2020-03-24 22:35:00,3.6709561351e+09,3.6709561351e+09,6.6257610392e+09,6.6257610392e+09
2020-03-24 22:40:00,3.9494711475e+09,3.9494711475e+09,6.0856877641e+09,6.0856877641e+09
2020-03-24 22:45:00,3.0934001843e+09,3.0934001843e+09,4.9663342595e+09,4.9663342595e+09
2020-03-24 22:50:00,3.5429398070e+09,3.5429398070e+09,4.6364795211e+09,4.6364795211e+09
2020-03-24 22:55:00,2.9479285506e+09,2.9479285506e+09,4.6920728137e+09,4.6920728137e+09
2020-03-24 23:00:00,3.2182878515e+09,3.2182878515e+09,4.7042209437e+09,4.7042209437e+09
2020-03-24 23:05:00,3.0965890913e+09,3.0965890913e+09,4.3353356471e+09,4.3353356471e+09
2020-03-24 23:10:00,2.7482698762e+09,2.7482698762e+09,4.7254788316e+09,4.7254788316e+09
2020-03-24 23:15:00,3.2169758292e+09,3.2169758292e+09,5.1176260325e+09,5.1176260325e+09
2020-03-24 23:20:00,2.8097070933e+09,2.8097070933e+09,4.5755677918e+09,4.5755677918e+09
2020-03-24 23:25:00,2.6437304646e+09,2.6437304646e+09,4.4679429513e+09,4.4679429513e+09
2020-03-24 23:30:00,3.3538230220e+09,3.3538230220e+09,5.6165070225e+09,5.6165070225e+09
2020-03-24 23:35:00,2.9565944617e+09,2.9565944617e+09,4.3799831529e+09,4.3799831529e+09
2020-03-24 23:40:00,3.1392619749e+09,3.1392619749e+09,4.3067404462e+09,4.3067404462e+09
2020-03-24 23:45:00,3.1897001494e+09,3.1897001494e+09,5.0251660100e+09,5.0251660100e+09
2020-03-24 23:50:00,2.9355314096e+09,2.9355314096e+09,3.7176477143e+09,3.7176477143e+09
2020-03-24 23:55:00,3.4951699540e+09,3.4951699540e+09,4.3444743720e+09,4.3444743720e+09
2020-03-25 00:00:00,2.8880694410e+09,2.8880694410e+09,3.7780288878e+09,3.7780288878e+09
2020-03-25 00:05:00,2.6673491168e+09,2.6673491168e+09,3.5212410401e+09,3.5212410401e+09
2020-03-25 00:10:00,2.7432459164e+09,2.7432459164e+09,3.3813215266e+09,3.3813215266e+09
2020-03-25 00:15:00,2.7019215736e+09,2.7019215736e+09,3.4202068935e+09,3.4202068935e+09
2020-03-25 00:20:00,2.6716254393e+09,2.6716254393e+09,3.0690149624e+09,3.0690149624e+09
2020-03-25 00:25:00,3.1459803510e+09,3.1459803510e+09,3.0811160544e+09,3.0811160544e+09
2020-03-25 00:30:00,3.1296672345e+09,3.1296672345e+09,3.1790641112e+09,3.1790641112e+09
2020-03-25 00:35:00,3.1661053104e+09,3.1661053104e+09,3.6365823222e+09,3.6365823222e+09
2020-03-25 00:40:00,3.2162801091e+09,3.2162801091e+09,3.0399302721e+09,3.0399302721e+09
2020-03-25 00:45:00,2.9724009859e+09,2.9724009859e+09,3.0129748128e+09,3.0129748128e+09
2020-03-25 00:50:00,3.7369223360e+09,3.7369223360e+09,2.8717847365e+09,2.8717847365e+09
2020-03-25 00:55:00,3.3139286339e+09,3.3139286339e+09,4.7276413848e+09,4.7276413848e+09
2020-03-25 01:00:00,3.7999901694e+09,3.7999901694e+09,3.0296133751e+09,3.0296133751e+09
2020-03-25 01:05:00,3.2010008215e+09,3.2010008215e+09,2.8233915262e+09,2.8233915262e+09
2020-03-25 01:10:00,3.4223385557e+09,3.4223385557e+09,3.5855045734e+09,3.5855045734e+09
2020-03-25 01:15:00,3.2596331904e+09,3.2596331904e+09,3.0775640607e+09,3.0775640607e+09
2020-03-25 01:20:00,2.8756760496e+09,2.8756760496e+09,2.7374409637e+09,2.7374409637e+09
2020-03-25 01:25:00,2.7598593145e+09,2.7598593145e+09,2.4231861560e+09,2.4231861560e+09
2020-03-25 01:30:00,4.2200664512e+09,4.2200664512e+09,2.7240551433e+09,2.7240551433e+09
2020-03-25 01:35:00,2.6923599341e+09,2.6923599341e+09,2.4371651509e+09,2.4371651509e+09
2020-03-25 01:40:00,3.5247160499e+09,3.5247160499e+09,2.3321068239e+09,2.3321068239e+09
2020-03-25 01:45:00,2.6922681493e+09,2.6922681493e+09,2.7854234717e+09,2.7854234717e+09
2020-03-25 01:50:00,2.6482399768e+09,2.6482399768e+09,3.0301963990e+09,3.0301963990e+09
2020-03-25 01:55:00,2.6521993903e+09,2.6521993903e+09,3.7685326616e+09,3.7685326616e+09
2020-03-25 02:00:00,3.4703027099e+09,3.4703027099e+09,3.1513210878e+09,3.1513210878e+09
2020-03-25 02:05:00,3.1648447085e+09,3.1648447085e+09,2.6398963757e+09,2.6398963757e+09
2020-03-25 02:10:00,3.6324052900e+09,3.6324052900e+09,2.5790180327e+09,2.5790180327e+09
2020-03-25 02:15:00,2.6360765348e+09,2.6360765348e+09,2.3827241980e+09,2.3827241980e+09
2020-03-25 02:20:00,2.8109378698e+09,2.8109378698e+09,2.7399853616e+09,2.7399853616e+09
2020-03-25 02:25:00,2.9800647002e+09,2.9800647002e+09,2.3324655110e+09,2.3324655110e+09
2020-03-25 02:30:00,2.9835928955e+09,2.9835928955e+09,2.7357457006e+09,2.7357457006e+09
2020-03-25 02:35:00,3.8365452302e+09,3.8365452302e+09,2.7825204777e+09,2.7825204777e+09
2020-03-25 02:40:00,3.6169170433e+09,3.6169170433e+09,2.1495923397e+09,2.1495923397e+09
2020-03-25 02:45:00,3.0126740167e+09,3.0126740167e+09,1.8216728886e+09,1.8216728886e+09
2020-03-25 02:50:00,3.0684257120e+09,3.0684257120e+09,1.6706689141e+09,1.6706689141e+09
2020-03-25 02:55:00,2.7985531946e+09,2.7985531946e+09,1.9864511453e+09,1.9864511453e+09
2020-03-25 03:00:00,2.6644081282e+09,2.6644081282e+09,1.6317679910e+09,1.6317679910e+09
2020-03-25 03:05:00,2.5721754237e+09,2.5721754237e+09,1.9262683390e+09,1.9262683390e+09
2020-03-25 03:10:00,2.4587490216e+09,2.4587490216e+09,2.5419508100e+09,2.5419508100e+09
2020-03-25 03:15:00,2.0824296068e+09,2.0824296068e+09,2.0182865369e+09,2.0182865369e+09
2020-03-25 03:20:00,2.1355801584e+09,2.1355801584e+09,1.9106209986e+09,1.9106209986e+09
2020-03-25 03:25:00,1.9276460413e+09,1.9276460413e+09,2.0343127411e+09,2.0343127411e+09
2020-03-25 03:30:00,1.9595833157e+09,1.9595833157e+09,2.0292040861e+09,2.0292040861e+09
2020-03-25 03:35:00,2.2271737697e+09,2.2271737697e+09,1.9501885230e+09,1.9501885230e+09
2020-03-25 03:40:00,3.0362621049e+09,3.0362621049e+09,2.5313420539e+09,2.5313420539e+09
2020-03-25 03:45:00,3.2575411088e+09,3.2575411088e+09,2.1971733948e+09,2.1971733948e+09
2020-03-25 03:50:00,2.3299544059e+09,2.3299544059e+09,2.1805074344e+09,2.1805074344e+09
2020-03-25 03:55:00,3.2761909558e+09,3.2761909558e+09,1.3052814486e+09,1.3052814486e+09
2020-03-25 04:00:00,1.8451255534e+09,1.8451255534e+09,1.7009213190e+09,1.7009213190e+09
2020-03-25 04:05:00,1.8331985460e+09,1.8331985460e+09,2.0096519994e+09,2.0096519994e+09
2020-03-25 04:10:00,2.0487590843e+09,2.0487590843e+09,1.8651712650e+09,1.8651712650e+09
2020-03-25 04:15:00,2.4610382988e+09,2.4610382988e+09,1.9132053478e+09,1.9132053478e+09
2020-03-25 04:20:00,1.8058266467e+09,1.8058266467e+09,2.0236228031e+09,2.0236228031e+09
2020-03-25 04:25:00,2.1149705680e+09,2.1149705680e+09,2.5142670056e+09,2.5142670056e+09
2020-03-25 04:30:00,1.9170551188e+09,1.9170551188e+09,2.0583621051e+09,2.0583621051e+09
2020-03-25 04:35:00,2.1623219436e+09,2.1623219436e+09,2.3384720415e+09,2.3384720415e+09
2020-03-25 04:40:00,2.5087639501e+09,2.5087639501e+09,2.2753940105e+09,2.2753940105e+09
2020-03-25 04:45:00,2.6980509102e+09,2.6980509102e+09,2.2096931020e+09,2.2096931020e+09
2020-03-25 04:50:00,2.2730551555e+09,2.2730551555e+09,2.3103968261e+09,2.3103968261e+09
2020-03-25 04:55:00,3.1952676686e+09,3.1952676686e+09,2.9839698738e+09,2.9839698738e+09
2020-03-25 05:00:00,1.9467624704e+09,1.9467624704e+09,2.0939990651e+09,2.0939990651e+09
2020-03-25 05:05:00,2.3571804951e+09,2.3571804951e+09,2.5302370113e+09,2.5302370113e+09
2020-03-25 05:10:00,2.8586024394e+09,2.8586024394e+09,2.1847693957e+09,2.1847693957e+09
2020-03-25 05:15:00,1.9158380810e+09,1.9158380810e+09,2.6822931494e+09,2.6822931494e+09
2020-03-25 05:20:00,1.9987247450e+09,1.9987247450e+09,2.6638535019e+09,2.6638535019e+09
2020-03-25 05:25:00,2.2094391322e+09,2.2094391322e+09,2.1382758392e+09,2.1382758392e+09
2020-03-25 05:30:00,1.9679718468e+09,1.9679718468e+09,2.2805532485e+09,2.2805532485e+09
2020-03-25 05:35:00,1.5338408090e+09,1.5338408090e+09,3.2288575866e+09,3.2288575866e+09
2020-03-25 05:40:00,1.7567472212e+09,1.7567472212e+09,3.1551153566e+09,3.1551153566e+09
2020-03-25 05:45:00,2.4291360379e+09,2.4291360379e+09,3.6077056179e+09,3.6077056179e+09
2020-03-25 05:50:00,2.5942412938e+09,2.5942412938e+09,3.1241139155e+09,3.1241139155e+09
2020-03-25 05:55:00,2.6457140932e+09,2.6457140932e+09,3.2495387834e+09,3.2495387834e+09
2020-03-25 06:00:00,2.8835966302e+09,2.8835966302e+09,3.2577189612e+09,3.2577189612e+09
2020-03-25 06:05:00,2.0697651570e+09,2.0697651570e+09,4.4569321134e+09,4.4569321134e+09
2020-03-25 06:10:00,3.0722123229e+09,3.0722123229e+09,3.7408013911e+09,3.7408013911e+09
2020-03-25 06:15:00,3.0526956417e+09,3.0526956417e+09,4.4963233159e+09,4.4963233159e+09
2020-03-25 06:20:00,2.7201646871e+09,2.7201646871e+09,4.7499501631e+09,4.7499501631e+09
2020-03-25 06:25:00,3.1442687667e+09,3.1442687667e+09,4.5365485297e+09,4.5365485297e+09
2020-03-25 06:30:00,3.1434183819e+09,3.1434183819e+09,4.7664639054e+09,4.7664639054e+09
2020-03-25 06:35:00,2.7172512993e+09,2.7172512993e+09,5.1013125007e+09,5.1013125007e+09
2020-03-25 06:40:00,3.1711527995e+09,3.1711527995e+09,4.1445586749e+09,4.1445586749e+09
2020-03-25 06:45:00,2.8518437492e+09,2.8518437492e+09,3.9314275928e+09,3.9314275928e+09
2020-03-25 06:50:00,3.0226317307e+09,3.0226317307e+09,3.9197439410e+09,3.9197439410e+09
2020-03-25 06:55:00,2.4201334216e+09,2.4201334216e+09,4.3824006741e+09,4.3824006741e+09
2020-03-25 07:00:00,2.7854302483e+09,2.7854302483e+09,4.2078521596e+09,4.2078521596e+09
2020-03-25 07:05:00,2.6237602211e+09,2.6237602211e+09,4.5604198611e+09,4.5604198611e+09
2020-03-25 07:10:00,3.4204842398e+09,3.4204842398e+09,4.7377577565e+09,4.7377577565e+09
2020-03-25 07:15:00,2.6363727058e+09,2.6363727058e+09,4.5899281713e+09,4.5899281713e+09
2020-03-25 07:20:00,2.7618563561e+09,2.7618563561e+09,5.2730228091e+09,5.2730228091e+09
2020-03-25 07:25:00,2.7919340395e+09,2.7919340395e+09,5.2493865173e+09,5.2493865173e+09
2020-03-25 07:30:00,2.4322311618e+09,2.4322311618e+09,5.1684935721e+09,5.1684935721e+09
2020-03-25 07:35:00,2.5377891233e+09,2.5377891233e+09,5.5584840539e+09,5.5584840539e+09
2020-03-25 07:40:00,2.3924265906e+09,2.3924265906e+09,5.5845760305e+09,5.5845760305e+09
2020-03-25 07:45:00,2.8860328274e+09,2.8860328274e+09,4.8975444150e+09,4.8975444150e+09
2020-03-25 07:50:00,2.3689136520e+09,2.3689136520e+09,5.5362074358e+09,5.5362074358e+09
2020-03-25 07:55:00,2.6354696849e+09,2.6354696849e+09,5.7095924466e+09,5.7095924466e+09
2020-03-25 08:00:00,3.7767903842e+09,3.7767903842e+09,6.5231064344e+09,6.5231064344e+09
2020-03-25 08:05:00,2.9786418798e+09,2.9786418798e+09,7.4376386367e+09,7.4376386367e+09
2020-03-25 08:10:00,2.8467655545e+09,2.8467655545e+09,5.7042955612e+09,5.7042955612e+09
2020-03-25 08:15:00,2.5779792799e+09,2.5779792799e+09,4.4924539841e+09,4.4924539841e+09
2020-03-25 08:20:00,2.7307730684e+09,2.7307730684e+09,4.9747647151e+09,4.9747647151e+09
2020-03-25 08:25:00,3.3030192194e+09,3.3030192194e+09,4.8592426676e+09,4.8592426676e+09
2020-03-25 08:30:00,3.7045060393e+09,3.7045060393e+09,4.7387196150e+09,4.7387196150e+09
2020-03-25 08:35:00,4.0305404221e+09,4.0305404221e+09,5.2695085502e+09,5.2695085502e+09
2020-03-25 08:40:00,4.3557227526e+09,4.3557227526e+09,5.6233746752e+09,5.6233746752e+09
2020-03-25 08:45:00,4.2413282933e+09,4.2413282933e+09,5.3131683436e+09,5.3131683436e+09
2020-03-25 08:50:00,3.6925484344e+09,3.6925484344e+09,5.1668996635e+09,5.1668996635e+09
