DATE,CHES,CHES_peak,ESCH,CHES_peak
2020-03-15 07:05:00,8.4566489697e+09,8.4566489697e+09,1.0319301565e+10,1.0319301565e+10
2020-03-15 07:10:00,3.2521171839e+09,3.2521171839e+09,1.0685136085e+10,1.0685136085e+10
2020-03-15 07:15:00,2.6313097067e+09,2.6313097067e+09,9.8141586332e+09,9.8141586332e+09
2020-03-15 07:20:00,2.0124038545e+09,2.0124038545e+09,1.1476596594e+10,1.1476596594e+10
2020-03-15 07:25:00,6.7959738342e+09,6.7959738342e+09,1.1210427495e+10,1.1210427495e+10
2020-03-15 07:30:00,3.2427890932e+09,3.2427890932e+09,1.0447386559e+10,1.0447386559e+10
2020-03-15 07:35:00,2.6440567286e+09,2.6440567286e+09,9.7950017931e+09,9.7950017931e+09
2020-03-15 07:40:00,1.5895449343e+09,1.5895449343e+09,9.4589015215e+09,9.4589015215e+09
2020-03-15 07:45:00,4.2040676357e+09,4.2040676357e+09,9.0298972426e+09,9.0298972426e+09
2020-03-15 07:50:00,3.5284135035e+09,3.5284135035e+09,9.7620886405e+09,9.7620886405e+09
2020-03-15 07:55:00,1.7564849779e+09,1.7564849779e+09,1.0537846041e+10,1.0537846041e+10
2020-03-15 08:00:00,2.3525175880e+09,2.3525175880e+09,9.8976444222e+09,9.8976444222e+09
2020-03-15 08:05:00,1.8259908046e+09,1.8259908046e+09,9.5120339305e+09,9.5120339305e+09
2020-03-15 08:10:00,2.5955383576e+09,2.5955383576e+09,9.4725062404e+09,9.4725062404e+09
2020-03-15 08:15:00,1.6435440295e+09,1.6435440295e+09,1.0211654203e+10,1.0211654203e+10
2020-03-15 08:20:00,2.8431364297e+09,2.8431364297e+09,1.2115123109e+10,1.2115123109e+10
2020-03-15 08:25:00,6.5607372881e+09,6.5607372881e+09,1.2156811146e+10,1.2156811146e+10
2020-03-15 08:30:00,3.3176433494e+09,3.3176433494e+09,9.3124937783e+09,9.3124937783e+09
2020-03-15 08:35:00,4.0242833606e+09,4.0242833606e+09,9.5970067847e+09,9.5970067847e+09
2020-03-15 08:40:00,5.9265431953e+09,5.9265431953e+09,8.1481417280e+09,8.1481417280e+09
2020-03-15 08:45:00,9.4202293006e+09,9.4202293006e+09,9.0171407295e+09,9.0171407295e+09
2020-03-15 08:50:00,8.1788957216e+09,8.1788957216e+09,1.0900738455e+10,1.0900738455e+10
2020-03-15 08:55:00,6.4636580860e+09,6.4636580860e+09,1.0166769866e+10,1.0166769866e+10
2020-03-15 09:00:00,4.3624124023e+09,4.3624124023e+09,1.2011256334e+10,1.2011256334e+10
2020-03-15 09:05:00,7.5264460402e+09,7.5264460402e+09,9.8178753915e+09,9.8178753915e+09
2020-03-15 09:10:00,5.9280422649e+09,5.9280422649e+09,9.5021836677e+09,9.5021836677e+09
2020-03-15 09:15:00,7.0140959902e+09,7.0140959902e+09,9.6965935566e+09,9.6965935566e+09
2020-03-15 09:20:00,7.3856584670e+09,7.3856584670e+09,7.7963009865e+09,7.7963009865e+09
2020-03-15 09:25:00,5.8452187553e+09,5.8452187553e+09,8.1291939027e+09,8.1291939027e+09
2020-03-15 09:30:00,4.3619151287e+09,4.3619151287e+09,1.0011201973e+10,1.0011201973e+10
