DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-22 02:25:00,5.6657629277e+07,5.6657629277e+07,3.6342994903e+07,3.6342994903e+07
2020-03-22 02:30:00,5.3239522403e+07,5.3239522403e+07,7.7972078533e+07,7.7972078533e+07
2020-03-22 02:35:00,6.0797194218e+07,6.0797194218e+07,7.0875603608e+07,7.0875603608e+07
2020-03-22 02:40:00,8.1288196489e+07,8.1288196489e+07,5.3764756048e+07,5.3764756048e+07
2020-03-22 02:45:00,6.8356027046e+07,6.8356027046e+07,5.6244288375e+07,5.6244288375e+07
2020-03-22 02:50:00,5.8929328688e+07,5.8929328688e+07,4.6732329569e+07,4.6732329569e+07
2020-03-22 02:55:00,7.3301227303e+07,7.3301227303e+07,7.4705443277e+07,7.4705443277e+07
2020-03-22 03:00:00,6.2798174844e+07,6.2798174844e+07,3.7308431962e+07,3.7308431962e+07
2020-03-22 03:05:00,6.7664611690e+07,6.7664611690e+07,2.7082328735e+07,2.7082328735e+07
2020-03-22 03:10:00,6.5604666767e+07,6.5604666767e+07,3.0105179195e+07,3.0105179195e+07
2020-03-22 03:15:00,6.3487164646e+07,6.3487164646e+07,2.2583016299e+07,2.2583016299e+07
2020-03-22 03:20:00,7.2772319983e+07,7.2772319983e+07,1.2626888775e+07,1.2626888775e+07
2020-03-22 03:25:00,6.0764534190e+07,6.0764534190e+07,2.9915301204e+07,2.9915301204e+07
2020-03-22 03:30:00,8.0593145196e+07,8.0593145196e+07,2.6426960256e+07,2.6426960256e+07
2020-03-22 03:35:00,7.0310225151e+07,7.0310225151e+07,3.0893664300e+07,3.0893664300e+07
2020-03-22 03:40:00,5.1778142403e+07,5.1778142403e+07,6.7849585279e+07,6.7849585279e+07
2020-03-22 03:45:00,5.7247112399e+07,5.7247112399e+07,2.5400443488e+07,2.5400443488e+07
2020-03-22 03:50:00,4.9499516054e+07,4.9499516054e+07,2.6948360469e+07,2.6948360469e+07
2020-03-22 03:55:00,4.9567732711e+07,4.9567732711e+07,7.8566418270e+07,7.8566418270e+07
2020-03-22 04:00:00,9.2596577495e+07,9.2596577495e+07,2.7887328578e+07,2.7887328578e+07
2020-03-22 04:05:00,1.3894605554e+08,1.3894605554e+08,3.3937600927e+07,3.3937600927e+07
2020-03-22 04:10:00,1.4177860866e+08,1.4177860866e+08,2.5928656556e+07,2.5928656556e+07
2020-03-22 04:15:00,1.4021288206e+08,1.4021288206e+08,3.0110270649e+07,3.0110270649e+07
2020-03-22 04:20:00,1.5766432031e+08,1.5766432031e+08,2.3340711729e+07,2.3340711729e+07
2020-03-22 04:25:00,1.4270210991e+08,1.4270210991e+08,4.4778100157e+07,4.4778100157e+07
2020-03-22 04:30:00,5.2748887195e+07,5.2748887195e+07,3.6700526759e+07,3.6700526759e+07
2020-03-22 04:35:00,5.8289110303e+07,5.8289110303e+07,3.4089139235e+07,3.4089139235e+07
2020-03-22 04:40:00,7.0149546830e+07,7.0149546830e+07,5.5434901707e+07,5.5434901707e+07
2020-03-22 04:45:00,7.5732223439e+07,7.5732223439e+07,4.9036535640e+07,4.9036535640e+07
2020-03-22 04:50:00,5.6812768889e+07,5.6812768889e+07,2.8201541080e+08,2.8201541080e+08
2020-03-22 04:55:00,5.5124413093e+07,5.5124413093e+07,5.2235545794e+08,5.2235545794e+08
2020-03-22 05:00:00,4.1362307660e+07,4.1362307660e+07,2.1440816799e+08,2.1440816799e+08
2020-03-22 05:05:00,7.1384709653e+07,7.1384709653e+07,3.1389479499e+08,3.1389479499e+08
2020-03-22 05:10:00,5.4640497581e+07,5.4640497581e+07,6.6726115434e+08,6.6726115434e+08
2020-03-22 05:15:00,5.2915118635e+07,5.2915118635e+07,3.0485072051e+08,3.0485072051e+08
2020-03-22 05:20:00,5.7991993070e+07,5.7991993070e+07,5.4305044353e+08,5.4305044353e+08
2020-03-22 05:25:00,5.5375170134e+07,5.5375170134e+07,5.2220999387e+08,5.2220999387e+08
2020-03-22 05:30:00,3.9622309907e+07,3.9622309907e+07,5.6446196921e+08,5.6446196921e+08
2020-03-22 05:35:00,4.5728634652e+07,4.5728634652e+07,5.7299422501e+08,5.7299422501e+08
2020-03-22 05:40:00,4.9854854523e+07,4.9854854523e+07,4.5888464760e+08,4.5888464760e+08
2020-03-22 05:45:00,4.2224128458e+07,4.2224128458e+07,7.3592540308e+08,7.3592540308e+08
2020-03-22 05:50:00,4.6023924028e+07,4.6023924028e+07,6.0977157312e+08,6.0977157312e+08
2020-03-22 05:55:00,4.3447541217e+07,4.3447541217e+07,7.7275491513e+08,7.7275491513e+08
2020-03-22 06:00:00,4.0053517408e+07,4.0053517408e+07,3.7766485072e+08,3.7766485072e+08
2020-03-22 06:05:00,4.2644440780e+07,4.2644440780e+07,7.0163431651e+08,7.0163431651e+08
2020-03-22 06:10:00,4.3010867632e+07,4.3010867632e+07,7.4188227048e+08,7.4188227048e+08
2020-03-22 06:15:00,4.5034503717e+07,4.5034503717e+07,7.6150786716e+08,7.6150786716e+08
2020-03-22 06:20:00,4.4848821164e+07,4.4848821164e+07,5.4656959011e+08,5.4656959011e+08
2020-03-22 06:25:00,4.6976889658e+07,4.6976889658e+07,7.1234396638e+08,7.1234396638e+08
2020-03-22 06:30:00,4.6201091034e+07,4.6201091034e+07,6.8045195697e+08,6.8045195697e+08
2020-03-22 06:35:00,4.0406381025e+07,4.0406381025e+07,5.9980839321e+08,5.9980839321e+08
2020-03-22 06:40:00,3.9025308615e+07,3.9025308615e+07,7.8468664855e+08,7.8468664855e+08
2020-03-22 06:45:00,4.4038448198e+07,4.4038448198e+07,5.9482557893e+08,5.9482557893e+08
2020-03-22 06:50:00,4.3437994414e+07,4.3437994414e+07,6.0428877889e+08,6.0428877889e+08
2020-03-22 06:55:00,4.9696676707e+07,4.9696676707e+07,1.5412157247e+08,1.5412157247e+08
2020-03-22 07:00:00,5.3840967562e+07,5.3840967562e+07,3.8678975333e+07,3.8678975333e+07
2020-03-22 07:05:00,6.2680540675e+07,6.2680540675e+07,3.1839764112e+07,3.1839764112e+07
2020-03-22 07:10:00,7.1690459643e+07,7.1690459643e+07,2.9957244341e+07,2.9957244341e+07
2020-03-22 07:15:00,4.8104360582e+07,4.8104360582e+07,6.3941739482e+07,6.3941739482e+07
2020-03-22 07:20:00,4.7332084496e+07,4.7332084496e+07,2.8456647758e+07,2.8456647758e+07
2020-03-22 07:25:00,4.2127852406e+07,4.2127852406e+07,3.4142382375e+07,3.4142382375e+07
2020-03-22 07:30:00,3.6476153279e+07,3.6476153279e+07,2.6116082059e+07,2.6116082059e+07
2020-03-22 07:35:00,4.8023151583e+07,4.8023151583e+07,3.2538846186e+07,3.2538846186e+07
2020-03-22 07:40:00,4.1052377027e+07,4.1052377027e+07,2.9722357988e+07,2.9722357988e+07
2020-03-22 07:45:00,4.2562706510e+07,4.2562706510e+07,3.5625694825e+07,3.5625694825e+07
2020-03-22 07:50:00,4.7631185244e+07,4.7631185244e+07,3.4580828103e+07,3.4580828103e+07
2020-03-22 07:55:00,3.8720596846e+07,3.8720596846e+07,3.2219193168e+07,3.2219193168e+07
2020-03-22 08:00:00,4.6184981465e+07,4.6184981465e+07,2.4909307840e+07,2.4909307840e+07
2020-03-22 08:05:00,5.0804803747e+07,5.0804803747e+07,4.5143442763e+07,4.5143442763e+07
2020-03-22 08:10:00,4.9450090995e+07,4.9450090995e+07,4.1383223389e+07,4.1383223389e+07
2020-03-22 08:15:00,4.5900148487e+07,4.5900148487e+07,3.3830706919e+07,3.3830706919e+07
2020-03-22 08:20:00,5.6325787815e+07,5.6325787815e+07,3.2858792905e+07,3.2858792905e+07
2020-03-22 08:25:00,5.1074020351e+07,5.1074020351e+07,3.2344449806e+07,3.2344449806e+07
2020-03-22 08:30:00,6.0405642222e+07,6.0405642222e+07,2.6634228544e+07,2.6634228544e+07
2020-03-22 08:35:00,4.5820654064e+07,4.5820654064e+07,9.3838811977e+07,9.3838811977e+07
2020-03-22 08:40:00,5.7816153830e+07,5.7816153830e+07,2.2593827344e+07,2.2593827344e+07
2020-03-22 08:45:00,4.5676053738e+07,4.5676053738e+07,1.8944746041e+07,1.8944746041e+07
2020-03-22 08:50:00,5.6769827981e+07,5.6769827981e+07,2.2362232704e+07,2.2362232704e+07
2020-03-22 08:55:00,5.5277441653e+07,5.5277441653e+07,3.4127194666e+07,3.4127194666e+07
2020-03-22 09:00:00,5.3976444649e+07,5.3976444649e+07,3.8680912116e+07,3.8680912116e+07
2020-03-22 09:05:00,7.1249191739e+07,7.1249191739e+07,3.5814263618e+07,3.5814263618e+07
2020-03-22 09:10:00,4.8115027822e+07,4.8115027822e+07,2.6420618960e+07,2.6420618960e+07
2020-03-22 09:15:00,5.5362560207e+07,5.5362560207e+07,3.5671566810e+07,3.5671566810e+07
2020-03-22 09:20:00,5.3685799051e+07,5.3685799051e+07,3.5610413735e+07,3.5610413735e+07
2020-03-22 09:25:00,5.2868599385e+07,5.2868599385e+07,3.6654460230e+07,3.6654460230e+07
2020-03-22 09:30:00,5.5103779226e+07,5.5103779226e+07,3.5522817278e+07,3.5522817278e+07
2020-03-22 09:35:00,5.4039210318e+07,5.4039210318e+07,5.7629215666e+07,5.7629215666e+07
2020-03-22 09:40:00,5.6199641545e+07,5.6199641545e+07,3.3655250443e+07,3.3655250443e+07
2020-03-22 09:45:00,6.0888408654e+07,6.0888408654e+07,2.9488016064e+07,2.9488016064e+07
2020-03-22 09:50:00,5.2710495469e+07,5.2710495469e+07,3.7365764886e+07,3.7365764886e+07
2020-03-22 09:55:00,6.1605662310e+07,6.1605662310e+07,3.1601981669e+07,3.1601981669e+07
2020-03-22 10:00:00,5.9605236041e+07,5.9605236041e+07,2.4852288498e+07,2.4852288498e+07
2020-03-22 10:05:00,6.0780644106e+07,6.0780644106e+07,2.7978795362e+07,2.7978795362e+07
2020-03-22 10:10:00,6.3401414181e+07,6.3401414181e+07,5.2422557206e+07,5.2422557206e+07
2020-03-22 10:15:00,7.5606670013e+07,7.5606670013e+07,4.5725639457e+07,4.5725639457e+07
2020-03-22 10:20:00,1.0036111588e+08,1.0036111588e+08,3.3500460871e+07,3.3500460871e+07
2020-03-22 10:25:00,7.4363685924e+07,7.4363685924e+07,3.3183000862e+07,3.3183000862e+07
