DATE,LTLN,LTLN_peak,LNLT,LNLT_peak
2020-03-22 02:35:00,1.2843682425e+06,1.2843682425e+06,1.4141501022e+06,1.4141501022e+06
2020-03-22 02:40:00,1.2746357628e+06,1.2746357628e+06,1.3344366375e+06,1.3344366375e+06
2020-03-22 02:45:00,1.2842243526e+06,1.2842243526e+06,1.3423486985e+06,1.3423486985e+06
2020-03-22 02:50:00,1.2664625419e+06,1.2664625419e+06,1.5402117803e+06,1.5402117803e+06
2020-03-22 02:55:00,1.2966170348e+06,1.2966170348e+06,2.7027436798e+06,2.7027436798e+06
2020-03-22 03:00:00,1.3126458386e+06,1.3126458386e+06,8.5787394653e+06,8.5787394653e+06
2020-03-22 03:05:00,1.4282048303e+06,1.4282048303e+06,9.8276992091e+06,9.8276992091e+06
2020-03-22 03:10:00,1.2849813929e+06,1.2849813929e+06,1.3685074078e+06,1.3685074078e+06
2020-03-22 03:15:00,1.2563896449e+06,1.2563896449e+06,1.3179686532e+06,1.3179686532e+06
2020-03-22 03:20:00,1.2743420707e+06,1.2743420707e+06,1.7454653033e+06,1.7454653033e+06
2020-03-22 03:25:00,1.3198906826e+06,1.3198906826e+06,2.5241782520e+06,2.5241782520e+06
2020-03-22 03:30:00,1.2698692950e+06,1.2698692950e+06,1.3272138849e+06,1.3272138849e+06
2020-03-22 03:35:00,1.2914678734e+06,1.2914678734e+06,1.3443690534e+06,1.3443690534e+06
2020-03-22 03:40:00,1.2787918042e+06,1.2787918042e+06,1.4182874600e+06,1.4182874600e+06
2020-03-22 03:45:00,1.2739351074e+06,1.2739351074e+06,1.3265525791e+06,1.3265525791e+06
2020-03-22 03:50:00,1.2834289461e+06,1.2834289461e+06,1.4831035525e+06,1.4831035525e+06
2020-03-22 03:55:00,1.3205842154e+06,1.3205842154e+06,2.7925606097e+06,2.7925606097e+06
2020-03-22 04:00:00,1.2758703242e+06,1.2758703242e+06,1.3303746923e+06,1.3303746923e+06
2020-03-22 04:05:00,1.4366030741e+06,1.4366030741e+06,4.3442117547e+06,4.3442117547e+06
2020-03-22 04:10:00,1.3171871042e+06,1.3171871042e+06,1.4291359335e+06,1.4291359335e+06
2020-03-22 04:15:00,1.2939546492e+06,1.2939546492e+06,1.4968340711e+06,1.4968340711e+06
2020-03-22 04:20:00,1.2967573921e+06,1.2967573921e+06,2.1628555806e+06,2.1628555806e+06
2020-03-22 04:25:00,1.3340841627e+06,1.3340841627e+06,2.7483214023e+06,2.7483214023e+06
2020-03-22 04:30:00,1.3109785581e+06,1.3109785581e+06,1.3547774167e+06,1.3547774167e+06
2020-03-22 04:35:00,1.2723793872e+06,1.2723793872e+06,1.3212402917e+06,1.3212402917e+06
2020-03-22 04:40:00,1.2842191423e+06,1.2842191423e+06,1.3327598519e+06,1.3327598519e+06
2020-03-22 04:45:00,1.2884943348e+06,1.2884943348e+06,1.3309274692e+06,1.3309274692e+06
2020-03-22 04:50:00,1.2620941565e+06,1.2620941565e+06,1.7090364285e+06,1.7090364285e+06
2020-03-22 04:55:00,1.2665706168e+06,1.2665706168e+06,2.5886009167e+06,2.5886009167e+06
2020-03-22 05:00:00,1.2608311787e+06,1.2608311787e+06,1.3286033077e+06,1.3286033077e+06
2020-03-22 05:05:00,1.3900629196e+06,1.3900629196e+06,4.3234909566e+06,4.3234909566e+06
2020-03-22 05:10:00,1.2640822603e+06,1.2640822603e+06,1.3424629567e+06,1.3424629567e+06
2020-03-22 05:15:00,1.3275826771e+06,1.3275826771e+06,1.3376016509e+06,1.3376016509e+06
2020-03-22 05:20:00,1.2901382875e+06,1.2901382875e+06,1.4758084860e+06,1.4758084860e+06
2020-03-22 05:25:00,1.3055529428e+06,1.3055529428e+06,2.8654264596e+06,2.8654264596e+06
2020-03-22 05:30:00,1.3593675001e+06,1.3593675001e+06,1.3388837042e+06,1.3388837042e+06
2020-03-22 05:35:00,1.2703699076e+06,1.2703699076e+06,1.3249538265e+06,1.3249538265e+06
2020-03-22 05:40:00,1.2865174086e+06,1.2865174086e+06,1.3410130720e+06,1.3410130720e+06
2020-03-22 05:45:00,1.2633913154e+06,1.2633913154e+06,1.3227108747e+06,1.3227108747e+06
2020-03-22 05:50:00,1.2886145417e+06,1.2886145417e+06,1.4966601155e+06,1.4966601155e+06
2020-03-22 05:55:00,5.5078703424e+07,5.5078703424e+07,3.4434588904e+06,3.4434588904e+06
2020-03-22 06:00:00,1.2438739804e+08,1.2438739804e+08,2.0991181947e+06,2.0991181947e+06
2020-03-22 06:05:00,1.9495730492e+06,1.9495730492e+06,9.4550230576e+07,9.4550230576e+07
2020-03-22 06:10:00,1.2964363707e+06,1.2964363707e+06,2.0499684784e+06,2.0499684784e+06
2020-03-22 06:15:00,1.2779607132e+06,1.2779607132e+06,1.4127937737e+06,1.4127937737e+06
2020-03-22 06:20:00,1.3020190698e+06,1.3020190698e+06,1.6729367337e+06,1.6729367337e+06
2020-03-22 06:25:00,8.4816169616e+07,8.4816169616e+07,3.1446073048e+06,3.1446073048e+06
2020-03-22 06:30:00,9.1910587979e+07,9.1910587979e+07,1.5924593071e+06,1.5924593071e+06
2020-03-22 06:35:00,1.8934266904e+06,1.8934266904e+06,1.3314372727e+06,1.3314372727e+06
2020-03-22 06:40:00,1.4730319567e+06,1.4730319567e+06,8.7702046544e+07,8.7702046544e+07
2020-03-22 06:45:00,1.2863535993e+06,1.2863535993e+06,1.6272087676e+06,1.6272087676e+06
2020-03-22 06:50:00,1.2830366784e+06,1.2830366784e+06,1.4488356328e+06,1.4488356328e+06
2020-03-22 06:55:00,1.2995247329e+06,1.2995247329e+06,2.7131087116e+06,2.7131087116e+06
2020-03-22 07:00:00,1.2719170435e+06,1.2719170435e+06,1.4217177168e+06,1.4217177168e+06
2020-03-22 07:05:00,1.3852232695e+06,1.3852232695e+06,4.3239854412e+06,4.3239854412e+06
2020-03-22 07:10:00,1.2829247229e+06,1.2829247229e+06,1.3582152021e+06,1.3582152021e+06
2020-03-22 07:15:00,1.2663292965e+06,1.2663292965e+06,1.4115727247e+06,1.4115727247e+06
2020-03-22 07:20:00,1.2713414643e+06,1.2713414643e+06,1.4551836295e+06,1.4551836295e+06
2020-03-22 07:25:00,1.2986628225e+06,1.2986628225e+06,2.7175422794e+06,2.7175422794e+06
2020-03-22 07:30:00,1.2752890452e+06,1.2752890452e+06,1.4140885196e+06,1.4140885196e+06
2020-03-22 07:35:00,1.2896640348e+06,1.2896640348e+06,1.3390651051e+06,1.3390651051e+06
2020-03-22 07:40:00,1.2728043983e+06,1.2728043983e+06,1.3340131190e+06,1.3340131190e+06
2020-03-22 07:45:00,1.2604102144e+06,1.2604102144e+06,1.3227627068e+06,1.3227627068e+06
2020-03-22 07:50:00,2.0696517836e+06,2.0696517836e+06,1.4895854967e+06,1.4895854967e+06
2020-03-22 07:55:00,1.2940147939e+06,1.2940147939e+06,2.7615369696e+06,2.7615369696e+06
2020-03-22 08:00:00,1.2761425228e+06,1.2761425228e+06,1.4227556085e+06,1.4227556085e+06
2020-03-22 08:05:00,1.3967747140e+06,1.3967747140e+06,4.3932489621e+06,4.3932489621e+06
2020-03-22 08:10:00,1.2812917980e+06,1.2812917980e+06,1.4342357815e+06,1.4342357815e+06
2020-03-22 08:15:00,1.2753254001e+06,1.2753254001e+06,1.4101488383e+06,1.4101488383e+06
2020-03-22 08:20:00,1.2752101031e+06,1.2752101031e+06,1.5122836755e+06,1.5122836755e+06
2020-03-22 08:25:00,1.2996955331e+06,1.2996955331e+06,2.8021151991e+06,2.8021151991e+06
2020-03-22 08:30:00,1.2790656651e+06,1.2790656651e+06,1.4199064380e+06,1.4199064380e+06
2020-03-22 08:35:00,1.2900249511e+06,1.2900249511e+06,1.3365780688e+06,1.3365780688e+06
2020-03-22 08:40:00,1.2686289771e+06,1.2686289771e+06,1.3821541739e+06,1.3821541739e+06
2020-03-22 08:45:00,1.2682525825e+06,1.2682525825e+06,1.3275256594e+06,1.3275256594e+06
2020-03-22 08:50:00,1.3045712477e+06,1.3045712477e+06,1.5204054705e+06,1.5204054705e+06
2020-03-22 08:55:00,1.3082374780e+06,1.3082374780e+06,2.7695484791e+06,2.7695484791e+06
2020-03-22 09:00:00,1.2981543737e+06,1.2981543737e+06,2.5901810853e+06,2.5901810853e+06
2020-03-22 09:05:00,1.3947282154e+06,1.3947282154e+06,4.6047143720e+06,4.6047143720e+06
2020-03-22 09:10:00,1.2587795307e+06,1.2587795307e+06,1.4226482849e+06,1.4226482849e+06
2020-03-22 09:15:00,1.2620690433e+06,1.2620690433e+06,1.4443413998e+06,1.4443413998e+06
2020-03-22 09:20:00,1.3872434433e+06,1.3872434433e+06,1.7708364640e+06,1.7708364640e+06
2020-03-22 09:25:00,1.2968682566e+06,1.2968682566e+06,2.6344049289e+06,2.6344049289e+06
2020-03-22 09:30:00,1.3547422456e+06,1.3547422456e+06,1.4510789259e+06,1.4510789259e+06
2020-03-22 09:35:00,1.3987650857e+06,1.3987650857e+06,1.5246336916e+06,1.5246336916e+06
2020-03-22 09:40:00,1.3277452021e+06,1.3277452021e+06,1.5317069034e+06,1.5317069034e+06
2020-03-22 09:45:00,1.2838966085e+06,1.2838966085e+06,1.4380700810e+06,1.4380700810e+06
2020-03-22 09:50:00,1.2944557291e+06,1.2944557291e+06,1.7010805835e+06,1.7010805835e+06
2020-03-22 09:55:00,1.2990098972e+06,1.2990098972e+06,2.6843217039e+06,2.6843217039e+06
2020-03-22 10:00:00,1.2864786511e+06,1.2864786511e+06,1.4518772514e+06,1.4518772514e+06
2020-03-22 10:05:00,1.4077602951e+06,1.4077602951e+06,4.8388301007e+06,4.8388301007e+06
2020-03-22 10:10:00,1.2736678099e+06,1.2736678099e+06,1.5216381205e+06,1.5216381205e+06
2020-03-22 10:15:00,1.2747102147e+06,1.2747102147e+06,1.5045622637e+06,1.5045622637e+06
2020-03-22 10:20:00,1.2851827507e+06,1.2851827507e+06,1.6578411745e+06,1.6578411745e+06
2020-03-22 10:25:00,1.2896015883e+06,1.2896015883e+06,2.8320524862e+06,2.8320524862e+06
2020-03-22 10:30:00,1.2741477834e+06,1.2741477834e+06,1.4375389898e+06,1.4375389898e+06
2020-03-22 10:35:00,1.2553368729e+06,1.2553368729e+06,1.5024057677e+06,1.5024057677e+06
2020-03-22 10:40:00,1.2868571711e+06,1.2868571711e+06,1.4809254984e+06,1.4809254984e+06
2020-03-22 10:45:00,1.2696789086e+06,1.2696789086e+06,1.4337468079e+06,1.4337468079e+06
2020-03-22 10:50:00,1.2844217866e+06,1.2844217866e+06,1.7266304274e+06,1.7266304274e+06
2020-03-22 10:55:00,1.3033573017e+06,1.3033573017e+06,2.7489263337e+06,2.7489263337e+06
2020-03-22 11:00:00,1.2832629238e+06,1.2832629238e+06,1.4245132415e+06,1.4245132415e+06
2020-03-22 11:05:00,1.3883974370e+06,1.3883974370e+06,4.4477875396e+06,4.4477875396e+06
2020-03-22 11:10:00,1.4579513396e+06,1.4579513396e+06,8.9676825757e+07,8.9676825757e+07
2020-03-22 11:15:00,1.2799052553e+06,1.2799052553e+06,1.6388025495e+06,1.6388025495e+06
2020-03-22 11:20:00,1.2687143705e+06,1.2687143705e+06,1.4742839088e+06,1.4742839088e+06
2020-03-22 11:25:00,1.3441804756e+06,1.3441804756e+06,2.7362302217e+06,2.7362302217e+06
2020-03-22 11:30:00,1.3149420687e+06,1.3149420687e+06,1.4525388516e+06,1.4525388516e+06
2020-03-22 11:35:00,1.2704818918e+06,1.2704818918e+06,1.3261422312e+06,1.3261422312e+06
2020-03-22 11:40:00,1.2913372960e+06,1.2913372960e+06,1.4694573798e+06,1.4694573798e+06
2020-03-22 11:45:00,1.2910917460e+06,1.2910917460e+06,1.3395684106e+06,1.3395684106e+06
2020-03-22 11:50:00,1.2911319012e+06,1.2911319012e+06,1.6887980658e+06,1.6887980658e+06
2020-03-22 11:55:00,1.3058970129e+06,1.3058970129e+06,2.5166137454e+06,2.5166137454e+06
2020-03-22 12:00:00,1.2900587223e+06,1.2900587223e+06,1.4161099925e+06,1.4161099925e+06
2020-03-22 12:05:00,1.4330694983e+06,1.4330694983e+06,4.4508799610e+06,4.4508799610e+06
2020-03-22 12:10:00,1.2958040351e+06,1.2958040351e+06,1.5132888324e+06,1.5132888324e+06
2020-03-22 12:15:00,1.2575447113e+06,1.2575447113e+06,1.4005585299e+06,1.4005585299e+06
2020-03-22 12:20:00,1.2775598610e+06,1.2775598610e+06,1.5738998169e+06,1.5738998169e+06
2020-03-22 12:25:00,1.2656102318e+06,1.2656102318e+06,2.5509105333e+06,2.5509105333e+06
2020-03-22 12:30:00,1.4358196789e+06,1.4358196789e+06,1.3655506678e+06,1.3655506678e+06
2020-03-22 12:35:00,1.2797817680e+06,1.2797817680e+06,1.3430548352e+06,1.3430548352e+06
2020-03-22 12:40:00,8.8875364257e+07,8.8875364257e+07,8.9853120151e+07,8.9853120151e+07
2020-03-22 12:45:00,1.8533096677e+06,1.8533096677e+06,2.0887744436e+06,2.0887744436e+06
2020-03-22 12:50:00,1.2644928786e+06,1.2644928786e+06,1.6943639521e+06,1.6943639521e+06
2020-03-22 12:55:00,8.8593653251e+07,8.8593653251e+07,2.9255905633e+06,2.9255905633e+06
2020-03-22 13:00:00,1.8557002792e+06,1.8557002792e+06,1.3620353191e+06,1.3620353191e+06
