DATE,GCAT,GCAT_peak,ATGC,ATGC_peak
2020-03-15 02:25:00,9.0111157700e+08,9.0111157700e+08,5.1738364350e+09,5.1738364350e+09
2020-03-15 02:30:00,8.7861667591e+08,8.7861667591e+08,4.3129973762e+09,4.3129973762e+09
2020-03-15 02:35:00,8.4386110619e+08,8.4386110619e+08,5.9191693444e+09,5.9191693444e+09
2020-03-15 02:40:00,8.5472328873e+08,8.5472328873e+08,6.2316475151e+09,6.2316475151e+09
2020-03-15 02:45:00,8.0187722477e+08,8.0187722477e+08,5.9623030978e+09,5.9623030978e+09
2020-03-15 02:50:00,7.5918224215e+08,7.5918224215e+08,4.5220166021e+09,4.5220166021e+09
2020-03-15 02:55:00,7.7532928462e+08,7.7532928462e+08,4.8717948519e+09,4.8717948519e+09
2020-03-15 03:00:00,8.2880865084e+08,8.2880865084e+08,5.5592209454e+09,5.5592209454e+09
2020-03-15 03:05:00,8.0275926647e+08,8.0275926647e+08,4.6920028987e+09,4.6920028987e+09
2020-03-15 03:10:00,7.5801688174e+08,7.5801688174e+08,4.8176676914e+09,4.8176676914e+09
2020-03-15 03:15:00,7.8601519896e+08,7.8601519896e+08,5.4629682871e+09,5.4629682871e+09
2020-03-15 03:20:00,7.9132294116e+08,7.9132294116e+08,6.8025330514e+09,6.8025330514e+09
2020-03-15 03:25:00,7.5168016101e+08,7.5168016101e+08,6.9348493250e+09,6.9348493250e+09
2020-03-15 03:30:00,6.6690385821e+08,6.6690385821e+08,5.7711053634e+09,5.7711053634e+09
2020-03-15 03:35:00,6.3206992585e+08,6.3206992585e+08,5.4692943489e+09,5.4692943489e+09
2020-03-15 03:40:00,6.2719872252e+08,6.2719872252e+08,7.2670729109e+09,7.2670729109e+09
2020-03-15 03:45:00,6.3295648975e+08,6.3295648975e+08,7.0008489163e+09,7.0008489163e+09
2020-03-15 03:50:00,6.8189533544e+08,6.8189533544e+08,6.8424898444e+09,6.8424898444e+09
2020-03-15 03:55:00,6.1230027818e+08,6.1230027818e+08,5.3046125625e+09,5.3046125625e+09
2020-03-15 04:00:00,6.9565775105e+08,6.9565775105e+08,5.5396203206e+09,5.5396203206e+09
2020-03-15 04:05:00,6.1992812537e+08,6.1992812537e+08,5.4061052866e+09,5.4061052866e+09
2020-03-15 04:10:00,6.7006565376e+08,6.7006565376e+08,5.4037102739e+09,5.4037102739e+09
2020-03-15 04:15:00,6.1185441077e+08,6.1185441077e+08,4.0767358455e+09,4.0767358455e+09
2020-03-15 04:20:00,5.5486847216e+08,5.5486847216e+08,6.7592044271e+09,6.7592044271e+09
2020-03-15 04:25:00,5.5826309154e+08,5.5826309154e+08,6.8076398611e+09,6.8076398611e+09
2020-03-15 04:30:00,5.7189656561e+08,5.7189656561e+08,6.1574866085e+09,6.1574866085e+09
2020-03-15 04:35:00,6.1564157936e+08,6.1564157936e+08,7.2486723658e+09,7.2486723658e+09
2020-03-15 04:40:00,5.7783394523e+08,5.7783394523e+08,7.6562966317e+09,7.6562966317e+09
2020-03-15 04:45:00,6.6187993030e+08,6.6187993030e+08,7.3703233021e+09,7.3703233021e+09
2020-03-15 04:50:00,6.6292082860e+08,6.6292082860e+08,6.9354521174e+09,6.9354521174e+09
2020-03-15 04:55:00,6.8579943759e+08,6.8579943759e+08,7.1829345883e+09,7.1829345883e+09
2020-03-15 05:00:00,7.2970257891e+08,7.2970257891e+08,5.5966066725e+09,5.5966066725e+09
2020-03-15 05:05:00,7.0899598077e+08,7.0899598077e+08,7.5850281043e+09,7.5850281043e+09
2020-03-15 05:10:00,7.6984938458e+08,7.6984938458e+08,5.7967563864e+09,5.7967563864e+09
