DATE,PRES,PRES_peak,ESPR,ESPR_peak
2020-03-15 02:25:00,1.8446847777e+09,1.8446847777e+09,6.6000314816e+08,6.6000314816e+08
2020-03-15 02:30:00,1.9415165844e+09,1.9415165844e+09,6.4333953968e+08,6.4333953968e+08
2020-03-15 02:35:00,1.5845183506e+09,1.5845183506e+09,4.6391062973e+08,4.6391062973e+08
2020-03-15 02:40:00,2.1565260229e+09,2.1565260229e+09,4.9812993307e+08,4.9812993307e+08
2020-03-15 02:45:00,1.9582402718e+09,1.9582402718e+09,4.6562725824e+08,4.6562725824e+08
2020-03-15 02:50:00,1.5375589963e+09,1.5375589963e+09,5.0431880951e+08,5.0431880951e+08
2020-03-15 02:55:00,1.5182560419e+09,1.5182560419e+09,5.2822648710e+08,5.2822648710e+08
2020-03-15 03:00:00,2.5386788115e+09,2.5386788115e+09,5.0024919208e+08,5.0024919208e+08
2020-03-15 03:05:00,3.7669318265e+09,3.7669318265e+09,5.0187219525e+08,5.0187219525e+08
2020-03-15 03:10:00,2.4281502504e+09,2.4281502504e+09,5.0490102357e+08,5.0490102357e+08
2020-03-15 03:15:00,1.6672276231e+09,1.6672276231e+09,5.6625722746e+08,5.6625722746e+08
2020-03-15 03:20:00,1.4453213631e+09,1.4453213631e+09,5.2601921107e+08,5.2601921107e+08
2020-03-15 03:25:00,2.2109187229e+09,2.2109187229e+09,7.3347488309e+08,7.3347488309e+08
2020-03-15 03:30:00,2.3238141646e+09,2.3238141646e+09,9.0978969336e+08,9.0978969336e+08
2020-03-15 03:35:00,2.0993384535e+09,2.0993384535e+09,7.4034416819e+08,7.4034416819e+08
2020-03-15 03:40:00,1.8365497571e+09,1.8365497571e+09,6.6708192395e+08,6.6708192395e+08
2020-03-15 03:45:00,1.6364799763e+09,1.6364799763e+09,6.3862771718e+08,6.3862771718e+08
2020-03-15 03:50:00,1.3846540236e+09,1.3846540236e+09,6.2458943882e+08,6.2458943882e+08
2020-03-15 03:55:00,1.1201579606e+09,1.1201579606e+09,4.2951586825e+08,4.2951586825e+08
2020-03-15 04:00:00,1.0873529157e+09,1.0873529157e+09,4.4007390219e+08,4.4007390219e+08
2020-03-15 04:05:00,9.2272212692e+08,9.2272212692e+08,4.1008875312e+08,4.1008875312e+08
2020-03-15 04:10:00,1.0599275620e+09,1.0599275620e+09,4.1191493576e+08,4.1191493576e+08
2020-03-15 04:15:00,1.3256512991e+09,1.3256512991e+09,6.4778948777e+08,6.4778948777e+08
2020-03-15 04:20:00,2.7049496865e+09,2.7049496865e+09,4.9560926720e+08,4.9560926720e+08
2020-03-15 04:25:00,2.7298341735e+09,2.7298341735e+09,5.5052857344e+08,5.5052857344e+08
2020-03-15 04:30:00,3.2668447542e+09,3.2668447542e+09,4.7843853193e+08,4.7843853193e+08
2020-03-15 04:35:00,2.4147319033e+09,2.4147319033e+09,4.7751230877e+08,4.7751230877e+08
2020-03-15 04:40:00,1.5560795625e+09,1.5560795625e+09,4.9252127034e+08,4.9252127034e+08
2020-03-15 04:45:00,9.5078279297e+08,9.5078279297e+08,4.9341357390e+08,4.9341357390e+08
2020-03-15 04:50:00,8.7571560752e+08,8.7571560752e+08,5.3177338791e+08,5.3177338791e+08
2020-03-15 04:55:00,9.3586813421e+08,9.3586813421e+08,4.7736268658e+08,4.7736268658e+08
2020-03-15 05:00:00,1.0095786060e+09,1.0095786060e+09,6.4402888499e+08,6.4402888499e+08
2020-03-15 05:05:00,9.4818378992e+08,9.4818378992e+08,4.2454072215e+08,4.2454072215e+08
2020-03-15 05:10:00,9.2396777717e+08,9.2396777717e+08,4.7363628028e+08,4.7363628028e+08
2020-03-15 05:15:00,8.6944114063e+08,8.6944114063e+08,1.0751890682e+09,1.0751890682e+09
2020-03-15 05:20:00,8.9608369548e+08,8.9608369548e+08,5.1730139772e+08,5.1730139772e+08
2020-03-15 05:25:00,7.8612688711e+08,7.8612688711e+08,5.0213887522e+08,5.0213887522e+08
