DATE,IEUK,IEUK_peak,UKIE,IEUK_peak
2020-03-22 02:25:00,1.8439843902e+09,1.8439843902e+09,3.4669902169e+09,3.4669902169e+09
2020-03-22 02:30:00,1.4032311670e+09,1.4032311670e+09,3.4909974970e+09,3.4909974970e+09
2020-03-22 02:35:00,1.5020284736e+09,1.5020284736e+09,3.5119349618e+09,3.5119349618e+09
2020-03-22 02:40:00,1.4722808481e+09,1.4722808481e+09,3.5221313449e+09,3.5221313449e+09
2020-03-22 02:45:00,5.4128866195e+08,5.4128866195e+08,3.4772111958e+09,3.4772111958e+09
2020-03-22 02:50:00,4.7902678363e+08,4.7902678363e+08,3.4681725986e+09,3.4681725986e+09
2020-03-22 02:55:00,4.8387635592e+08,4.8387635592e+08,3.4401661989e+09,3.4401661989e+09
2020-03-22 03:00:00,4.3514088299e+08,4.3514088299e+08,3.4618244788e+09,3.4618244788e+09
2020-03-22 03:05:00,4.8968054877e+08,4.8968054877e+08,3.3915702883e+09,3.3915702883e+09
2020-03-22 03:10:00,4.9031321226e+08,4.9031321226e+08,3.6963919056e+09,3.6963919056e+09
2020-03-22 03:15:00,4.7566106000e+08,4.7566106000e+08,3.3182273202e+09,3.3182273202e+09
2020-03-22 03:20:00,5.6390466461e+08,5.6390466461e+08,3.5070730360e+09,3.5070730360e+09
2020-03-22 03:25:00,5.4785742131e+08,5.4785742131e+08,3.4673209874e+09,3.4673209874e+09
2020-03-22 03:30:00,4.9988004826e+08,4.9988004826e+08,3.4473177073e+09,3.4473177073e+09
2020-03-22 03:35:00,5.5800015632e+08,5.5800015632e+08,3.4286321177e+09,3.4286321177e+09
2020-03-22 03:40:00,1.2162310158e+09,1.2162310158e+09,3.5311427404e+09,3.5311427404e+09
2020-03-22 03:45:00,1.5744389102e+09,1.5744389102e+09,3.4102691112e+09,3.4102691112e+09
2020-03-22 03:50:00,1.7741601246e+09,1.7741601246e+09,3.5672525260e+09,3.5672525260e+09
2020-03-22 03:55:00,1.5374298054e+09,1.5374298054e+09,3.5530985220e+09,3.5530985220e+09
2020-03-22 04:00:00,1.4947240783e+09,1.4947240783e+09,3.4592401038e+09,3.4592401038e+09
2020-03-22 04:05:00,1.6432268710e+09,1.6432268710e+09,3.5619880392e+09,3.5619880392e+09
2020-03-22 04:10:00,1.2957001778e+09,1.2957001778e+09,3.5096876853e+09,3.5096876853e+09
2020-03-22 04:15:00,1.3769442754e+09,1.3769442754e+09,3.4914571326e+09,3.4914571326e+09
2020-03-22 04:20:00,1.4403018945e+09,1.4403018945e+09,3.5685015755e+09,3.5685015755e+09
2020-03-22 04:25:00,1.3890774680e+09,1.3890774680e+09,3.3567817509e+09,3.3567817509e+09
2020-03-22 04:30:00,1.3753149668e+09,1.3753149668e+09,3.4213785463e+09,3.4213785463e+09
2020-03-22 04:35:00,1.4048687947e+09,1.4048687947e+09,3.3851453276e+09,3.3851453276e+09
2020-03-22 04:40:00,7.4286787221e+08,7.4286787221e+08,3.3601975874e+09,3.3601975874e+09
2020-03-22 04:45:00,4.6691749534e+08,4.6691749534e+08,3.3458550077e+09,3.3458550077e+09
