DATE,DECZ,DECZ_peak,CZDE,CZDE_peak
2020-03-15 02:25:00,3.2052899338e+10,3.2052899338e+10,5.6297491009e+09,5.6297491009e+09
2020-03-15 02:30:00,3.1711043855e+10,3.1711043855e+10,4.8007458121e+09,4.8007458121e+09
2020-03-15 02:35:00,3.0552224481e+10,3.0552224481e+10,7.4041446780e+09,7.4041446780e+09
2020-03-15 02:40:00,2.3830826839e+10,2.3830826839e+10,1.5440704956e+10,1.5440704956e+10
2020-03-15 02:45:00,3.7892233818e+10,3.7892233818e+10,1.3348140400e+10,1.3348140400e+10
2020-03-15 02:50:00,3.2851324796e+10,3.2851324796e+10,1.3739885527e+10,1.3739885527e+10
2020-03-15 02:55:00,3.1633901147e+10,3.1633901147e+10,8.2843180150e+09,8.2843180150e+09
2020-03-15 03:00:00,3.1052083355e+10,3.1052083355e+10,6.5869238666e+09,6.5869238666e+09
2020-03-15 03:05:00,3.9085335113e+10,3.9085335113e+10,6.8519134117e+09,6.8519134117e+09
2020-03-15 03:10:00,2.8629240549e+10,2.8629240549e+10,5.1095659711e+09,5.1095659711e+09
2020-03-15 03:15:00,2.5631264249e+10,2.5631264249e+10,7.0988218723e+09,7.0988218723e+09
2020-03-15 03:20:00,2.5341879219e+10,2.5341879219e+10,1.1324122913e+10,1.1324122913e+10
2020-03-15 03:25:00,2.3876296696e+10,2.3876296696e+10,7.3100685267e+09,7.3100685267e+09
2020-03-15 03:30:00,1.8935968905e+10,1.8935968905e+10,1.1418338568e+10,1.1418338568e+10
2020-03-15 03:35:00,2.2103962429e+10,2.2103962429e+10,1.1642087466e+10,1.1642087466e+10
2020-03-15 03:40:00,1.8478741302e+10,1.8478741302e+10,1.3049936691e+10,1.3049936691e+10
2020-03-15 03:45:00,1.6687263129e+10,1.6687263129e+10,3.8228709244e+10,3.8228709244e+10
2020-03-15 03:50:00,1.3091635390e+10,1.3091635390e+10,3.5894806078e+10,3.5894806078e+10
2020-03-15 03:55:00,1.4560009266e+10,1.4560009266e+10,2.8266901111e+10,2.8266901111e+10
2020-03-15 04:00:00,1.4340091107e+10,1.4340091107e+10,2.4250377549e+10,2.4250377549e+10
2020-03-15 04:05:00,1.8052988520e+10,1.8052988520e+10,1.2692507955e+10,1.2692507955e+10
2020-03-15 04:10:00,1.4567330651e+10,1.4567330651e+10,8.8722311825e+09,8.8722311825e+09
2020-03-15 04:15:00,1.3611357272e+10,1.3611357272e+10,5.6225389571e+09,5.6225389571e+09
2020-03-15 04:20:00,1.2318899722e+10,1.2318899722e+10,5.3969469028e+09,5.3969469028e+09
2020-03-15 04:25:00,1.5857584668e+10,1.5857584668e+10,6.9897780243e+09,6.9897780243e+09
2020-03-15 04:30:00,1.6242308996e+10,1.6242308996e+10,8.4178591365e+09,8.4178591365e+09
2020-03-15 04:35:00,2.8705281847e+10,2.8705281847e+10,1.2175283645e+10,1.2175283645e+10
2020-03-15 04:40:00,1.9774745459e+10,1.9774745459e+10,6.6674231654e+09,6.6674231654e+09
2020-03-15 04:45:00,4.3303864326e+10,4.3303864326e+10,3.7012177784e+10,3.7012177784e+10
2020-03-15 04:50:00,4.0331295927e+10,4.0331295927e+10,2.6967437297e+10,2.6967437297e+10
2020-03-15 04:55:00,2.8012999161e+10,2.8012999161e+10,2.2367193287e+10,2.2367193287e+10
2020-03-15 05:00:00,1.9196561583e+10,1.9196561583e+10,2.0688725376e+10,2.0688725376e+10
2020-03-15 05:05:00,1.9561716137e+10,1.9561716137e+10,7.4933764582e+09,7.4933764582e+09
