DATE,BGAT,BGAT_peak,ATBG,ATBG_peak
2020-03-24 23:25:00,1.0862402146e+10,1.0862402146e+10,5.5720819435e+09,5.5720819435e+09
2020-03-24 23:30:00,1.1847362466e+10,1.1847362466e+10,5.8020177847e+09,5.8020177847e+09
2020-03-24 23:35:00,1.0998062236e+10,1.0998062236e+10,6.4321241153e+09,6.4321241153e+09
2020-03-24 23:40:00,1.3013702327e+10,1.3013702327e+10,7.6751008404e+09,7.6751008404e+09
2020-03-24 23:45:00,1.3034787090e+10,1.3034787090e+10,6.7961143558e+09,6.7961143558e+09
2020-03-24 23:50:00,1.5705063159e+10,1.5705063159e+10,6.6292508569e+09,6.6292508569e+09
2020-03-24 23:55:00,1.6275973754e+10,1.6275973754e+10,6.5177077885e+09,6.5177077885e+09
2020-03-25 00:00:00,1.3167429894e+10,1.3167429894e+10,1.0672914231e+10,1.0672914231e+10
2020-03-25 00:05:00,1.2999992789e+10,1.2999992789e+10,9.8410379639e+09,9.8410379639e+09
2020-03-25 00:10:00,1.2093368184e+10,1.2093368184e+10,7.1929282397e+09,7.1929282397e+09
2020-03-25 00:15:00,1.1479982158e+10,1.1479982158e+10,6.2687610203e+09,6.2687610203e+09
2020-03-25 00:20:00,1.2041424437e+10,1.2041424437e+10,7.0110754196e+09,7.0110754196e+09
2020-03-25 00:25:00,1.2635344487e+10,1.2635344487e+10,6.6886836753e+09,6.6886836753e+09
2020-03-25 00:30:00,1.2011685032e+10,1.2011685032e+10,5.9684172984e+09,5.9684172984e+09
2020-03-25 00:35:00,1.0893518312e+10,1.0893518312e+10,5.8668212322e+09,5.8668212322e+09
2020-03-25 00:40:00,9.7980709706e+09,9.7980709706e+09,6.0166907341e+09,6.0166907341e+09
2020-03-25 00:45:00,9.2938048597e+09,9.2938048597e+09,5.9296294704e+09,5.9296294704e+09
2020-03-25 00:50:00,9.1135914403e+09,9.1135914403e+09,5.9376121009e+09,5.9376121009e+09
2020-03-25 00:55:00,9.8575672189e+09,9.8575672189e+09,6.2746631315e+09,6.2746631315e+09
2020-03-25 01:00:00,1.0016004660e+10,1.0016004660e+10,6.0997064711e+09,6.0997064711e+09
2020-03-25 01:05:00,9.7927879635e+09,9.7927879635e+09,5.8897866167e+09,5.8897866167e+09
2020-03-25 01:10:00,1.0803347363e+10,1.0803347363e+10,5.6118822693e+09,5.6118822693e+09
2020-03-25 01:15:00,1.1521975777e+10,1.1521975777e+10,6.2462343841e+09,6.2462343841e+09
2020-03-25 01:20:00,1.0818258785e+10,1.0818258785e+10,7.7268837098e+09,7.7268837098e+09
2020-03-25 01:25:00,1.0089014268e+10,1.0089014268e+10,6.6108275084e+09,6.6108275084e+09
2020-03-25 01:30:00,1.0412023279e+10,1.0412023279e+10,6.6519410496e+09,6.6519410496e+09
2020-03-25 01:35:00,1.2260616842e+10,1.2260616842e+10,7.5579033232e+09,7.5579033232e+09
2020-03-25 01:40:00,1.5783573974e+10,1.5783573974e+10,7.8156914795e+09,7.8156914795e+09
2020-03-25 01:45:00,1.2743327705e+10,1.2743327705e+10,7.4763108032e+09,7.4763108032e+09
2020-03-25 01:50:00,1.2073040195e+10,1.2073040195e+10,1.1054024717e+10,1.1054024717e+10
2020-03-25 01:55:00,1.1903693368e+10,1.1903693368e+10,8.8454372530e+09,8.8454372530e+09
