DATE,ESFR,ESFR_peak,FRES,ESFR_peak
2020-03-22 02:25:00,1.5821528109e+09,1.5821528109e+09,6.1528323671e+09,6.1528323671e+09
2020-03-22 02:30:00,1.4096154103e+09,1.4096154103e+09,5.2031218919e+09,5.2031218919e+09
2020-03-22 02:35:00,1.5013322376e+09,1.5013322376e+09,5.7770423619e+09,5.7770423619e+09
2020-03-22 02:40:00,1.5235879648e+09,1.5235879648e+09,3.5314924747e+09,3.5314924747e+09
2020-03-22 02:45:00,1.4840692789e+09,1.4840692789e+09,1.9711426376e+09,1.9711426376e+09
2020-03-22 02:50:00,1.2911768031e+09,1.2911768031e+09,5.5956945484e+09,5.5956945484e+09
2020-03-22 02:55:00,1.4841901634e+09,1.4841901634e+09,9.7803895003e+09,9.7803895003e+09
2020-03-22 03:00:00,1.4571937780e+09,1.4571937780e+09,6.5721700756e+09,6.5721700756e+09
2020-03-22 03:05:00,1.4348669126e+09,1.4348669126e+09,4.5998744070e+09,4.5998744070e+09
2020-03-22 03:10:00,1.7000444811e+09,1.7000444811e+09,9.6303058131e+09,9.6303058131e+09
2020-03-22 03:15:00,1.6225814411e+09,1.6225814411e+09,8.6980560940e+09,8.6980560940e+09
2020-03-22 03:20:00,1.6718311779e+09,1.6718311779e+09,7.5471768284e+09,7.5471768284e+09
2020-03-22 03:25:00,1.3675293135e+09,1.3675293135e+09,7.0212711484e+09,7.0212711484e+09
2020-03-22 03:30:00,1.3077095192e+09,1.3077095192e+09,9.6501143655e+09,9.6501143655e+09
2020-03-22 03:35:00,9.1439182692e+08,9.1439182692e+08,9.2516713925e+09,9.2516713925e+09
2020-03-22 03:40:00,6.9527224957e+08,6.9527224957e+08,7.3080913770e+09,7.3080913770e+09
2020-03-22 03:45:00,8.7871841739e+08,8.7871841739e+08,9.2863391251e+09,9.2863391251e+09
2020-03-22 03:50:00,8.8197940896e+08,8.8197940896e+08,7.7520379510e+09,7.7520379510e+09
2020-03-22 03:55:00,8.6950245282e+08,8.6950245282e+08,6.1263895205e+09,6.1263895205e+09
2020-03-22 04:00:00,1.1179134853e+09,1.1179134853e+09,9.1619213910e+09,9.1619213910e+09
2020-03-22 04:05:00,1.1375175032e+09,1.1375175032e+09,7.5233790546e+09,7.5233790546e+09
2020-03-22 04:10:00,1.0768314892e+09,1.0768314892e+09,4.8091930097e+09,4.8091930097e+09
2020-03-22 04:15:00,1.0702967574e+09,1.0702967574e+09,6.9751565161e+09,6.9751565161e+09
2020-03-22 04:20:00,1.0409861705e+09,1.0409861705e+09,8.0534614458e+09,8.0534614458e+09
2020-03-22 04:25:00,1.0773452952e+09,1.0773452952e+09,6.1271264203e+09,6.1271264203e+09
2020-03-22 04:30:00,1.2181427999e+09,1.2181427999e+09,4.2668314896e+09,4.2668314896e+09
2020-03-22 04:35:00,1.1709020599e+09,1.1709020599e+09,8.7596831765e+09,8.7596831765e+09
2020-03-22 04:40:00,1.0639115409e+09,1.0639115409e+09,5.8018878107e+09,5.8018878107e+09
2020-03-22 04:45:00,9.7654833130e+08,9.7654833130e+08,3.8150531078e+09,3.8150531078e+09
2020-03-22 04:50:00,9.7499034498e+08,9.7499034498e+08,3.6843325504e+09,3.6843325504e+09
2020-03-22 04:55:00,9.4788449078e+08,9.4788449078e+08,1.5867103334e+09,1.5867103334e+09
2020-03-22 05:00:00,8.0097098001e+08,8.0097098001e+08,3.6378291928e+09,3.6378291928e+09
2020-03-22 05:05:00,9.1259395986e+08,9.1259395986e+08,5.9490503494e+09,5.9490503494e+09
2020-03-22 05:10:00,8.3855785132e+08,8.3855785132e+08,5.3638765586e+09,5.3638765586e+09
2020-03-22 05:15:00,1.0580184223e+09,1.0580184223e+09,4.3067707235e+09,4.3067707235e+09
2020-03-22 05:20:00,1.0049046016e+09,1.0049046016e+09,4.6659539143e+09,4.6659539143e+09
2020-03-22 05:25:00,9.3466335807e+08,9.3466335807e+08,5.0315168223e+09,5.0315168223e+09
2020-03-22 05:30:00,9.3424264539e+08,9.3424264539e+08,3.6598933093e+09,3.6598933093e+09
2020-03-22 05:35:00,9.4454635107e+08,9.4454635107e+08,4.0606190911e+09,4.0606190911e+09
2020-03-22 05:40:00,1.0168831684e+09,1.0168831684e+09,5.3176932661e+09,5.3176932661e+09
2020-03-22 05:45:00,1.1472449144e+09,1.1472449144e+09,3.1763681746e+09,3.1763681746e+09
2020-03-22 05:50:00,1.3238373195e+09,1.3238373195e+09,2.8983511960e+09,2.8983511960e+09
2020-03-22 05:55:00,1.5166527183e+09,1.5166527183e+09,3.1877262974e+09,3.1877262974e+09
2020-03-22 06:00:00,1.8823504382e+09,1.8823504382e+09,2.6107929250e+09,2.6107929250e+09
2020-03-22 06:05:00,2.4218708777e+09,2.4218708777e+09,3.1060891645e+09,3.1060891645e+09
2020-03-22 06:10:00,2.3864822709e+09,2.3864822709e+09,2.4595183844e+09,2.4595183844e+09
2020-03-22 06:15:00,2.2818543063e+09,2.2818543063e+09,8.9456454453e+08,8.9456454453e+08
2020-03-22 06:20:00,2.2324589057e+09,2.2324589057e+09,1.5974542780e+09,1.5974542780e+09
2020-03-22 06:25:00,2.2103100276e+09,2.2103100276e+09,2.5920138347e+09,2.5920138347e+09
2020-03-22 06:30:00,2.4619203887e+09,2.4619203887e+09,4.6831409788e+09,4.6831409788e+09
2020-03-22 06:35:00,2.4069918988e+09,2.4069918988e+09,3.5239593134e+09,3.5239593134e+09
2020-03-22 06:40:00,2.2570143650e+09,2.2570143650e+09,2.9890338496e+09,2.9890338496e+09
2020-03-22 06:45:00,2.2128597352e+09,2.2128597352e+09,2.8656497708e+09,2.8656497708e+09
2020-03-22 06:50:00,2.0851073469e+09,2.0851073469e+09,2.8182866417e+09,2.8182866417e+09
2020-03-22 06:55:00,2.8130210141e+09,2.8130210141e+09,3.3582689848e+09,3.3582689848e+09
2020-03-22 07:00:00,2.3668639667e+09,2.3668639667e+09,3.5156904208e+09,3.5156904208e+09
2020-03-22 07:05:00,2.3950693304e+09,2.3950693304e+09,3.6494594307e+09,3.6494594307e+09
2020-03-22 07:10:00,1.9941475942e+09,1.9941475942e+09,3.4945375463e+09,3.4945375463e+09
2020-03-22 07:15:00,1.5876891962e+09,1.5876891962e+09,2.4574315486e+09,2.4574315486e+09
2020-03-22 07:20:00,1.1927188629e+09,1.1927188629e+09,3.4013431639e+09,3.4013431639e+09
2020-03-22 07:25:00,1.1632807832e+09,1.1632807832e+09,4.4163917041e+09,4.4163917041e+09
2020-03-22 07:30:00,1.7477837611e+09,1.7477837611e+09,4.5172273081e+09,4.5172273081e+09
2020-03-22 07:35:00,1.5651729356e+09,1.5651729356e+09,4.3492951209e+09,4.3492951209e+09
2020-03-22 07:40:00,1.6408817683e+09,1.6408817683e+09,4.7267583819e+09,4.7267583819e+09
2020-03-22 07:45:00,1.8605776766e+09,1.8605776766e+09,4.8811246789e+09,4.8811246789e+09
2020-03-22 07:50:00,1.7368498423e+09,1.7368498423e+09,4.4533518269e+09,4.4533518269e+09
2020-03-22 07:55:00,1.2155022582e+09,1.2155022582e+09,4.2771780846e+09,4.2771780846e+09
2020-03-22 08:00:00,1.1091991573e+09,1.1091991573e+09,3.7524350214e+09,3.7524350214e+09
