DATE,ITAT,ITAT_peak,ATIT,ATIT_peak
2020-03-14 23:50:00,4.5403044853e+09,4.5403044853e+09,1.1640319510e+10,1.1640319510e+10
2020-03-14 23:55:00,4.4318698732e+09,4.4318698732e+09,1.0176004269e+10,1.0176004269e+10
2020-03-15 00:00:00,4.8298121057e+09,4.8298121057e+09,1.0941580473e+10,1.0941580473e+10
2020-03-15 00:05:00,3.4341349154e+09,3.4341349154e+09,9.6367187365e+09,9.6367187365e+09
2020-03-15 00:10:00,2.9253739002e+09,2.9253739002e+09,1.0458732324e+10,1.0458732324e+10
2020-03-15 00:15:00,2.7554592805e+09,2.7554592805e+09,8.9170805394e+09,8.9170805394e+09
2020-03-15 00:20:00,2.4722634071e+09,2.4722634071e+09,6.6612059281e+09,6.6612059281e+09
2020-03-15 00:25:00,2.1946181819e+09,2.1946181819e+09,6.2496710726e+09,6.2496710726e+09
2020-03-15 00:30:00,8.8645583095e+09,8.8645583095e+09,1.3030658244e+10,1.3030658244e+10
2020-03-15 00:35:00,9.5915364673e+09,9.5915364673e+09,9.7433009395e+09,9.7433009395e+09
2020-03-15 00:40:00,2.9955214941e+09,2.9955214941e+09,8.1826665277e+09,8.1826665277e+09
2020-03-15 00:45:00,1.9032549876e+09,1.9032549876e+09,5.6758590170e+09,5.6758590170e+09
2020-03-15 00:50:00,1.9803640987e+09,1.9803640987e+09,4.1669836398e+09,4.1669836398e+09
2020-03-15 00:55:00,2.0680060118e+09,2.0680060118e+09,4.9302771030e+09,4.9302771030e+09
2020-03-15 01:00:00,2.2798320079e+09,2.2798320079e+09,4.2015521142e+09,4.2015521142e+09
2020-03-15 01:05:00,2.2106714069e+09,2.2106714069e+09,6.2212142309e+09,6.2212142309e+09
2020-03-15 01:10:00,2.1036833177e+09,2.1036833177e+09,5.8309363157e+09,5.8309363157e+09
2020-03-15 01:15:00,2.1882970023e+09,2.1882970023e+09,4.2515868840e+09,4.2515868840e+09
2020-03-15 01:20:00,1.9904808327e+09,1.9904808327e+09,3.8458880553e+09,3.8458880553e+09
2020-03-15 01:25:00,2.2064697595e+09,2.2064697595e+09,5.0929242733e+09,5.0929242733e+09
2020-03-15 01:30:00,2.1998837819e+09,2.1998837819e+09,5.1272297038e+09,5.1272297038e+09
2020-03-15 01:35:00,2.0792642273e+09,2.0792642273e+09,4.0110765936e+09,4.0110765936e+09
2020-03-15 01:40:00,2.2708685250e+09,2.2708685250e+09,1.0187714802e+10,1.0187714802e+10
2020-03-15 01:45:00,2.1240756447e+09,2.1240756447e+09,8.3966653619e+09,8.3966653619e+09
2020-03-15 01:50:00,2.6336286732e+09,2.6336286732e+09,6.6409244202e+09,6.6409244202e+09
2020-03-15 01:55:00,3.1312570907e+09,3.1312570907e+09,6.8909868750e+09,6.8909868750e+09
2020-03-15 02:00:00,2.9123533886e+09,2.9123533886e+09,5.8306493107e+09,5.8306493107e+09
2020-03-15 02:05:00,2.5937451363e+09,2.5937451363e+09,4.8944739148e+09,4.8944739148e+09
2020-03-15 02:10:00,3.1558438418e+09,3.1558438418e+09,7.5653773343e+09,7.5653773343e+09
2020-03-15 02:15:00,2.6645718966e+09,2.6645718966e+09,1.2747665471e+10,1.2747665471e+10
2020-03-15 02:20:00,2.4679532704e+09,2.4679532704e+09,1.2081103833e+10,1.2081103833e+10
2020-03-15 02:25:00,2.5677759205e+09,2.5677759205e+09,1.0355439849e+10,1.0355439849e+10
2020-03-15 02:30:00,2.0861259257e+09,2.0861259257e+09,1.3893836929e+10,1.3893836929e+10
2020-03-15 02:35:00,2.1833064391e+09,2.1833064391e+09,1.5354595960e+10,1.5354595960e+10
2020-03-15 02:40:00,2.6821823755e+09,2.6821823755e+09,1.1741417331e+10,1.1741417331e+10
2020-03-15 02:45:00,1.8486498290e+09,1.8486498290e+09,1.2264858814e+10,1.2264858814e+10
2020-03-15 02:50:00,1.9970783310e+09,1.9970783310e+09,1.2152859449e+10,1.2152859449e+10
2020-03-15 02:55:00,1.9812888440e+09,1.9812888440e+09,1.0183015297e+10,1.0183015297e+10
2020-03-15 03:00:00,3.0232736535e+09,3.0232736535e+09,1.3325097735e+10,1.3325097735e+10
2020-03-15 03:05:00,2.8368219755e+09,2.8368219755e+09,1.4635328254e+10,1.4635328254e+10
2020-03-15 03:10:00,2.8811962453e+09,2.8811962453e+09,1.7705831429e+10,1.7705831429e+10
2020-03-15 03:15:00,1.9839931615e+09,1.9839931615e+09,1.3924173367e+10,1.3924173367e+10
2020-03-15 03:20:00,6.4235957677e+09,6.4235957677e+09,1.2051071273e+10,1.2051071273e+10
2020-03-15 03:25:00,3.3364950558e+09,3.3364950558e+09,1.1922967733e+10,1.1922967733e+10
2020-03-15 03:30:00,4.9346366954e+09,4.9346366954e+09,1.1868476823e+10,1.1868476823e+10
2020-03-15 03:35:00,3.2344135764e+09,3.2344135764e+09,9.9362417051e+09,9.9362417051e+09
2020-03-15 03:40:00,3.5404878700e+09,3.5404878700e+09,1.1562299286e+10,1.1562299286e+10
2020-03-15 03:45:00,7.2587788505e+09,7.2587788505e+09,1.0431548324e+10,1.0431548324e+10
2020-03-15 03:50:00,6.0415492643e+09,6.0415492643e+09,8.0619834689e+09,8.0619834689e+09
2020-03-15 03:55:00,3.9447433094e+09,3.9447433094e+09,8.6131622074e+09,8.6131622074e+09
2020-03-15 04:00:00,3.3662296148e+09,3.3662296148e+09,1.0632073566e+10,1.0632073566e+10
2020-03-15 04:05:00,3.0608563178e+09,3.0608563178e+09,1.1618015159e+10,1.1618015159e+10
2020-03-15 04:10:00,2.8626625434e+09,2.8626625434e+09,1.1716990433e+10,1.1716990433e+10
2020-03-15 04:15:00,2.5819662953e+09,2.5819662953e+09,1.3642006796e+10,1.3642006796e+10
2020-03-15 04:20:00,2.5340650412e+09,2.5340650412e+09,9.8763003553e+09,9.8763003553e+09
2020-03-15 04:25:00,2.2768305657e+09,2.2768305657e+09,1.1185608548e+10,1.1185608548e+10
2020-03-15 04:30:00,2.4484611841e+09,2.4484611841e+09,1.2593569349e+10,1.2593569349e+10
2020-03-15 04:35:00,2.5487504905e+09,2.5487504905e+09,1.1979698969e+10,1.1979698969e+10
2020-03-15 04:40:00,2.4240351220e+09,2.4240351220e+09,1.0451643364e+10,1.0451643364e+10
2020-03-15 04:45:00,2.2702802907e+09,2.2702802907e+09,1.0436300068e+10,1.0436300068e+10
2020-03-15 04:50:00,2.3648335465e+09,2.3648335465e+09,1.1923004169e+10,1.1923004169e+10
2020-03-15 04:55:00,2.5398419043e+09,2.5398419043e+09,1.2005951139e+10,1.2005951139e+10
2020-03-15 05:00:00,2.2786394672e+09,2.2786394672e+09,1.2080017506e+10,1.2080017506e+10
2020-03-15 05:05:00,2.4752018399e+09,2.4752018399e+09,1.2598225541e+10,1.2598225541e+10
2020-03-15 05:10:00,2.1639734360e+09,2.1639734360e+09,1.3670697256e+10,1.3670697256e+10
2020-03-15 05:15:00,2.2122937990e+09,2.2122937990e+09,1.6603977013e+10,1.6603977013e+10
2020-03-15 05:20:00,2.1861676513e+09,2.1861676513e+09,1.2491198880e+10,1.2491198880e+10
2020-03-15 05:25:00,1.8860888103e+09,1.8860888103e+09,1.5230830672e+10,1.5230830672e+10
2020-03-15 05:30:00,1.8308174739e+09,1.8308174739e+09,1.1995619707e+10,1.1995619707e+10
2020-03-15 05:35:00,2.1325934966e+09,2.1325934966e+09,1.2205183284e+10,1.2205183284e+10
2020-03-15 05:40:00,2.7996354799e+09,2.7996354799e+09,9.1207276776e+09,9.1207276776e+09
2020-03-15 05:45:00,2.1197870315e+09,2.1197870315e+09,9.0074909983e+09,9.0074909983e+09
2020-03-15 05:50:00,3.5319425750e+09,3.5319425750e+09,9.1535391826e+09,9.1535391826e+09
