DATE,NLDU,NLDU_peak,DUNL,DUNL_peak
2020-03-22 02:25:00,4.5747379949e+09,4.5747379949e+09,1.4739998758e+04,1.4739998758e+04
2020-03-22 02:30:00,4.9886827293e+09,4.9886827293e+09,1.4891263252e+04,1.4891263252e+04
2020-03-22 02:35:00,4.9256689584e+09,4.9256689584e+09,1.4798652391e+04,1.4798652391e+04
2020-03-22 02:40:00,4.0152990687e+09,4.0152990687e+09,1.4842570244e+04,1.4842570244e+04
2020-03-22 02:45:00,4.1112322526e+09,4.1112322526e+09,1.4837238823e+04,1.4837238823e+04
2020-03-22 02:50:00,3.7828408737e+09,3.7828408737e+09,1.4776381599e+04,1.4776381599e+04
2020-03-22 02:55:00,4.8473598781e+09,4.8473598781e+09,1.4729218934e+04,1.4729218934e+04
2020-03-22 03:00:00,5.2532019105e+09,5.2532019105e+09,1.4784718905e+04,1.4784718905e+04
2020-03-22 03:05:00,4.2495629225e+09,4.2495629225e+09,1.4458592562e+04,1.4458592562e+04
2020-03-22 03:10:00,4.3086898863e+09,4.3086898863e+09,1.5355084837e+04,1.5355084837e+04
2020-03-22 03:15:00,4.7016311773e+09,4.7016311773e+09,1.4572646614e+04,1.4572646614e+04
2020-03-22 03:20:00,4.7337195575e+09,4.7337195575e+09,1.4573408104e+04,1.4573408104e+04
2020-03-22 03:25:00,5.6540577752e+09,5.6540577752e+09,1.5051621472e+04,1.5051621472e+04
2020-03-22 03:30:00,5.3446156291e+09,5.3446156291e+09,1.4695047506e+04,1.4695047506e+04
2020-03-22 03:35:00,8.4909111700e+09,8.4909111700e+09,1.4583749719e+04,1.4583749719e+04
2020-03-22 03:40:00,1.0361912303e+10,1.0361912303e+10,1.5136218413e+04,1.5136218413e+04
2020-03-22 03:45:00,5.8048680093e+09,5.8048680093e+09,1.4789275336e+04,1.4789275336e+04
2020-03-22 03:50:00,5.8867741118e+09,5.8867741118e+09,1.5090204533e+04,1.5090204533e+04
2020-03-22 03:55:00,6.4253649285e+09,6.4253649285e+09,1.5005859623e+04,1.5005859623e+04
2020-03-22 04:00:00,7.7601831836e+09,7.7601831836e+09,1.5088291339e+04,1.5088291339e+04
2020-03-22 04:05:00,7.5954603706e+09,7.5954603706e+09,1.4707874905e+04,1.4707874905e+04
2020-03-22 04:10:00,9.3624334571e+09,9.3624334571e+09,1.4913708093e+04,1.4913708093e+04
2020-03-22 04:15:00,4.8404822116e+09,4.8404822116e+09,1.5022960974e+04,1.5022960974e+04
2020-03-22 04:20:00,4.0580744995e+09,4.0580744995e+09,1.4638914544e+04,1.4638914544e+04
2020-03-22 04:25:00,6.0405508295e+09,6.0405508295e+09,1.5152176122e+04,1.5152176122e+04
2020-03-22 04:30:00,4.9704145993e+09,4.9704145993e+09,1.4836975606e+04,1.4836975606e+04
2020-03-22 04:35:00,4.5813402498e+09,4.5813402498e+09,1.4901174083e+04,1.4901174083e+04
2020-03-22 04:40:00,4.6092562978e+09,4.6092562978e+09,1.4594592195e+04,1.4594592195e+04
2020-03-22 04:45:00,4.9917104331e+09,4.9917104331e+09,1.4884859898e+04,1.4884859898e+04
2020-03-22 04:50:00,9.1416461200e+09,9.1416461200e+09,1.4567914410e+04,1.4567914410e+04
2020-03-22 04:55:00,4.1317439804e+09,4.1317439804e+09,1.5027152874e+04,1.5027152874e+04
2020-03-22 05:00:00,4.2142031421e+09,4.2142031421e+09,1.4976822133e+04,1.4976822133e+04
2020-03-22 05:05:00,3.8768370854e+09,3.8768370854e+09,1.4708544267e+04,1.4708544267e+04
2020-03-22 05:10:00,4.5009566162e+09,4.5009566162e+09,1.4496985892e+04,1.4496985892e+04
2020-03-22 05:15:00,4.5783731263e+09,4.5783731263e+09,1.5021898156e+04,1.5021898156e+04
2020-03-22 05:20:00,4.6638496848e+09,4.6638496848e+09,1.4504923248e+04,1.4504923248e+04
2020-03-22 05:25:00,5.1279993668e+09,5.1279993668e+09,1.5000028526e+04,1.5000028526e+04
2020-03-22 05:30:00,3.8423883862e+09,3.8423883862e+09,1.4969030578e+04,1.4969030578e+04
2020-03-22 05:35:00,5.1509343350e+09,5.1509343350e+09,1.4739928080e+04,1.4739928080e+04
2020-03-22 05:40:00,4.8726633934e+09,4.8726633934e+09,1.4777107265e+04,1.4777107265e+04
2020-03-22 05:45:00,5.6707659583e+09,5.6707659583e+09,1.4734111783e+04,1.4734111783e+04
2020-03-22 05:50:00,6.7175831256e+09,6.7175831256e+09,1.4860823806e+04,1.4860823806e+04
2020-03-22 05:55:00,4.4646075233e+09,4.4646075233e+09,1.5648352438e+04,1.5648352438e+04
2020-03-22 06:00:00,6.4941324898e+09,6.4941324898e+09,1.4759459029e+04,1.4759459029e+04
2020-03-22 06:05:00,3.2674195729e+09,3.2674195729e+09,1.4510483911e+04,1.4510483911e+04
2020-03-22 06:10:00,3.4494665808e+09,3.4494665808e+09,1.5279574044e+04,1.5279574044e+04
2020-03-22 06:15:00,4.9700282584e+09,4.9700282584e+09,1.4721751822e+04,1.4721751822e+04
2020-03-22 06:20:00,4.0620224075e+09,4.0620224075e+09,1.4539008416e+04,1.4539008416e+04
2020-03-22 06:25:00,3.7308563943e+09,3.7308563943e+09,1.5112668240e+04,1.5112668240e+04
2020-03-22 06:30:00,3.9184350855e+09,3.9184350855e+09,1.4770151693e+04,1.4770151693e+04
2020-03-22 06:35:00,4.7241598209e+09,4.7241598209e+09,1.4529921350e+04,1.4529921350e+04
2020-03-22 06:40:00,5.1236842629e+09,5.1236842629e+09,1.5050225234e+04,1.5050225234e+04
2020-03-22 06:45:00,4.4179493103e+09,4.4179493103e+09,1.4931937422e+04,1.4931937422e+04
2020-03-22 06:50:00,6.7833977254e+09,6.7833977254e+09,1.4735684978e+04,1.4735684978e+04
2020-03-22 06:55:00,6.4391053757e+09,6.4391053757e+09,1.4963564792e+04,1.4963564792e+04
2020-03-22 07:00:00,3.2663649330e+09,3.2663649330e+09,1.4749854230e+04,1.4749854230e+04
2020-03-22 07:05:00,5.2395076971e+09,5.2395076971e+09,1.4835659810e+04,1.4835659810e+04
2020-03-22 07:10:00,9.5214830030e+09,9.5214830030e+09,1.4650660901e+04,1.4650660901e+04
2020-03-22 07:15:00,4.8051282511e+09,4.8051282511e+09,1.4958300267e+04,1.4958300267e+04
2020-03-22 07:20:00,3.1424707332e+09,3.1424707332e+09,1.4688073364e+04,1.4688073364e+04
2020-03-22 07:25:00,4.3246881526e+09,4.3246881526e+09,1.4750918646e+04,1.4750918646e+04
2020-03-22 07:30:00,4.6899181892e+09,4.6899181892e+09,1.4704475551e+04,1.4704475551e+04
2020-03-22 07:35:00,3.7454621685e+09,3.7454621685e+09,1.4600671995e+04,1.4600671995e+04
2020-03-22 07:40:00,3.8148237258e+09,3.8148237258e+09,1.5044893658e+04,1.5044893658e+04
2020-03-22 07:45:00,1.0717289667e+10,1.0717289667e+10,1.4996263539e+04,1.4996263539e+04
2020-03-22 07:50:00,4.5932536904e+09,4.5932536904e+09,1.4499939538e+04,1.4499939538e+04
2020-03-22 07:55:00,3.6390215291e+09,3.6390215291e+09,1.5832669720e+04,1.5832669720e+04
2020-03-22 08:00:00,9.2396807797e+09,9.2396807797e+09,1.4840618078e+04,1.4840618078e+04
2020-03-22 08:05:00,8.1907882742e+09,8.1907882742e+09,1.4501166667e+04,1.4501166667e+04
2020-03-22 08:10:00,2.0654073294e+09,2.0654073294e+09,1.4924252800e+04,1.4924252800e+04
2020-03-22 08:15:00,2.2999234814e+09,2.2999234814e+09,1.4969141921e+04,1.4969141921e+04
2020-03-22 08:20:00,2.3609496942e+09,2.3609496942e+09,1.4983903679e+04,1.4983903679e+04
2020-03-22 08:25:00,3.6245147734e+09,3.6245147734e+09,1.4791511141e+04,1.4791511141e+04
2020-03-22 08:30:00,4.3194580702e+09,4.3194580702e+09,1.4889398193e+04,1.4889398193e+04
2020-03-22 08:35:00,3.6023021630e+09,3.6023021630e+09,1.4758469753e+04,1.4758469753e+04
2020-03-22 08:40:00,4.6709544244e+09,4.6709544244e+09,1.4964244569e+04,1.4964244569e+04
2020-03-22 08:45:00,4.4287259823e+09,4.4287259823e+09,1.4787908921e+04,1.4787908921e+04
