DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-15 02:25:00,2.5307308201e+10,2.5307308201e+10,3.0087197122e+10,3.0087197122e+10
2020-03-15 02:30:00,2.4324693451e+10,2.4324693451e+10,4.2236346544e+10,4.2236346544e+10
2020-03-15 02:35:00,2.3881074630e+10,2.3881074630e+10,4.6511751957e+10,4.6511751957e+10
2020-03-15 02:40:00,2.7220872579e+10,2.7220872579e+10,3.5833342333e+10,3.5833342333e+10
2020-03-15 02:45:00,2.5173719810e+10,2.5173719810e+10,3.6804407591e+10,3.6804407591e+10
2020-03-15 02:50:00,2.9298221590e+10,2.9298221590e+10,3.7592018833e+10,3.7592018833e+10
2020-03-15 02:55:00,2.8338623695e+10,2.8338623695e+10,2.9834446203e+10,2.9834446203e+10
2020-03-15 03:00:00,2.9243082948e+10,2.9243082948e+10,3.0816101865e+10,3.0816101865e+10
2020-03-15 03:05:00,2.9002612633e+10,2.9002612633e+10,3.2357406184e+10,3.2357406184e+10
2020-03-15 03:10:00,2.9773552441e+10,2.9773552441e+10,3.7585000595e+10,3.7585000595e+10
2020-03-15 03:15:00,2.8167815321e+10,2.8167815321e+10,3.3177543375e+10,3.3177543375e+10
2020-03-15 03:20:00,3.0833542236e+10,3.0833542236e+10,3.1414287466e+10,3.1414287466e+10
2020-03-15 03:25:00,2.9003933705e+10,2.9003933705e+10,3.3646943966e+10,3.3646943966e+10
2020-03-15 03:30:00,3.0238285850e+10,3.0238285850e+10,3.1101136559e+10,3.1101136559e+10
2020-03-15 03:35:00,2.9887666212e+10,2.9887666212e+10,3.2238505769e+10,3.2238505769e+10
2020-03-15 03:40:00,2.9975764305e+10,2.9975764305e+10,3.3090697447e+10,3.3090697447e+10
2020-03-15 03:45:00,3.3564600765e+10,3.3564600765e+10,3.0432871849e+10,3.0432871849e+10
2020-03-15 03:50:00,2.5788992955e+10,2.5788992955e+10,2.9104933817e+10,2.9104933817e+10
2020-03-15 03:55:00,2.0098514160e+10,2.0098514160e+10,3.1077403979e+10,3.1077403979e+10
2020-03-15 04:00:00,2.3415730079e+10,2.3415730079e+10,2.9763598287e+10,2.9763598287e+10
2020-03-15 04:05:00,2.3369044383e+10,2.3369044383e+10,2.9783274269e+10,2.9783274269e+10
2020-03-15 04:10:00,1.9665395995e+10,1.9665395995e+10,3.7209077472e+10,3.7209077472e+10
2020-03-15 04:15:00,1.9643608014e+10,1.9643608014e+10,3.4545232983e+10,3.4545232983e+10
2020-03-15 04:20:00,2.1115324113e+10,2.1115324113e+10,2.6838382225e+10,2.6838382225e+10
2020-03-15 04:25:00,2.0885022987e+10,2.0885022987e+10,2.7480824638e+10,2.7480824638e+10
2020-03-15 04:30:00,1.8382062573e+10,1.8382062573e+10,3.1313120638e+10,3.1313120638e+10
2020-03-15 04:35:00,2.0257287843e+10,2.0257287843e+10,2.9822031603e+10,2.9822031603e+10
2020-03-15 04:40:00,2.0142813563e+10,2.0142813563e+10,2.5955659528e+10,2.5955659528e+10
2020-03-15 04:45:00,1.9871566509e+10,1.9871566509e+10,2.5936534854e+10,2.5936534854e+10
2020-03-15 04:50:00,2.9558989035e+10,2.9558989035e+10,2.6846947646e+10,2.6846947646e+10
2020-03-15 04:55:00,2.5655245866e+10,2.5655245866e+10,2.8238791359e+10,2.8238791359e+10
2020-03-15 05:00:00,2.6970684488e+10,2.6970684488e+10,3.3695315259e+10,3.3695315259e+10
2020-03-15 05:05:00,2.6581016312e+10,2.6581016312e+10,3.0806258686e+10,3.0806258686e+10
2020-03-15 05:10:00,2.7063074421e+10,2.7063074421e+10,3.2674467485e+10,3.2674467485e+10
2020-03-15 05:15:00,2.6073938509e+10,2.6073938509e+10,3.8514147820e+10,3.8514147820e+10
2020-03-15 05:20:00,2.8179240090e+10,2.8179240090e+10,2.9268470896e+10,2.9268470896e+10
2020-03-15 05:25:00,2.7248401956e+10,2.7248401956e+10,3.2860318798e+10,3.2860318798e+10
2020-03-15 05:30:00,2.8471585722e+10,2.8471585722e+10,3.0618152065e+10,3.0618152065e+10
2020-03-15 05:35:00,2.7301467809e+10,2.7301467809e+10,2.5467626967e+10,2.5467626967e+10
2020-03-15 05:40:00,2.7957543899e+10,2.7957543899e+10,2.4220974872e+10,2.4220974872e+10
2020-03-15 05:45:00,2.7546480798e+10,2.7546480798e+10,3.1351437939e+10,3.1351437939e+10
2020-03-15 05:50:00,2.6885331005e+10,2.6885331005e+10,3.4820604322e+10,3.4820604322e+10
2020-03-15 05:55:00,2.8000766649e+10,2.8000766649e+10,2.5032682214e+10,2.5032682214e+10
2020-03-15 06:00:00,2.7948314390e+10,2.7948314390e+10,2.5414448148e+10,2.5414448148e+10
2020-03-15 06:05:00,2.8632711241e+10,2.8632711241e+10,2.7871147985e+10,2.7871147985e+10
2020-03-15 06:10:00,2.9601244425e+10,2.9601244425e+10,2.7235062485e+10,2.7235062485e+10
2020-03-15 06:15:00,3.0474548473e+10,3.0474548473e+10,3.3402827052e+10,3.3402827052e+10
2020-03-15 06:20:00,2.9723571007e+10,2.9723571007e+10,3.2713313647e+10,3.2713313647e+10
2020-03-15 06:25:00,3.2305929507e+10,3.2305929507e+10,2.8776329231e+10,2.8776329231e+10
2020-03-15 06:30:00,2.9688321597e+10,2.9688321597e+10,3.3520131632e+10,3.3520131632e+10
2020-03-15 06:35:00,3.0115989662e+10,3.0115989662e+10,2.9544161998e+10,2.9544161998e+10
2020-03-15 06:40:00,3.0693688266e+10,3.0693688266e+10,3.2482955713e+10,3.2482955713e+10
2020-03-15 06:45:00,2.7102260055e+10,2.7102260055e+10,3.2335095748e+10,3.2335095748e+10
2020-03-15 06:50:00,2.3140578034e+10,2.3140578034e+10,2.7069460068e+10,2.7069460068e+10
2020-03-15 06:55:00,1.8347482666e+10,1.8347482666e+10,2.8676241924e+10,2.8676241924e+10
2020-03-15 07:00:00,2.3459427370e+10,2.3459427370e+10,2.4256628736e+10,2.4256628736e+10
2020-03-15 07:05:00,1.9902372381e+10,1.9902372381e+10,2.8198130271e+10,2.8198130271e+10
2020-03-15 07:10:00,1.9424510876e+10,1.9424510876e+10,3.2504298692e+10,3.2504298692e+10
2020-03-15 07:15:00,1.4622474297e+10,1.4622474297e+10,2.4404634054e+10,2.4404634054e+10
2020-03-15 07:20:00,1.5773146353e+10,1.5773146353e+10,2.0153644530e+10,2.0153644530e+10
2020-03-15 07:25:00,1.7037506653e+10,1.7037506653e+10,2.8062972989e+10,2.8062972989e+10
2020-03-15 07:30:00,1.8092730237e+10,1.8092730237e+10,1.8522403022e+10,1.8522403022e+10
2020-03-15 07:35:00,1.9940493347e+10,1.9940493347e+10,2.0586772175e+10,2.0586772175e+10
2020-03-15 07:40:00,1.7594043298e+10,1.7594043298e+10,2.3328104499e+10,2.3328104499e+10
2020-03-15 07:45:00,1.7514476920e+10,1.7514476920e+10,2.7715928682e+10,2.7715928682e+10
2020-03-15 07:50:00,2.4009633005e+10,2.4009633005e+10,2.3117713478e+10,2.3117713478e+10
2020-03-15 07:55:00,1.7715633235e+10,1.7715633235e+10,2.2431612596e+10,2.2431612596e+10
2020-03-15 08:00:00,1.8120805337e+10,1.8120805337e+10,2.5523438856e+10,2.5523438856e+10
2020-03-15 08:05:00,1.8408964331e+10,1.8408964331e+10,2.7571861258e+10,2.7571861258e+10
2020-03-15 08:10:00,1.4866714233e+10,1.4866714233e+10,2.0777199511e+10,2.0777199511e+10
2020-03-15 08:15:00,1.7364576961e+10,1.7364576961e+10,1.7472749042e+10,1.7472749042e+10
2020-03-15 08:20:00,1.7380327180e+10,1.7380327180e+10,2.1643685212e+10,2.1643685212e+10
2020-03-15 08:25:00,2.1246266082e+10,2.1246266082e+10,2.3510293866e+10,2.3510293866e+10
2020-03-15 08:30:00,1.5546582138e+10,1.5546582138e+10,1.9771317583e+10,1.9771317583e+10
2020-03-15 08:35:00,1.6205373374e+10,1.6205373374e+10,1.8312351467e+10,1.8312351467e+10
2020-03-15 08:40:00,1.8608799091e+10,1.8608799091e+10,1.8050524720e+10,1.8050524720e+10
2020-03-15 08:45:00,2.1077863792e+10,2.1077863792e+10,1.8589482712e+10,1.8589482712e+10
2020-03-15 08:50:00,1.6290857953e+10,1.6290857953e+10,2.4358335508e+10,2.4358335508e+10
2020-03-15 08:55:00,1.4919831440e+10,1.4919831440e+10,2.4548805051e+10,2.4548805051e+10
2020-03-15 09:00:00,1.7186516402e+10,1.7186516402e+10,2.2445585560e+10,2.2445585560e+10
2020-03-15 09:05:00,1.5590561373e+10,1.5590561373e+10,2.9825048136e+10,2.9825048136e+10
2020-03-15 09:10:00,1.7442313569e+10,1.7442313569e+10,3.1733237909e+10,3.1733237909e+10
