DATE,IEUK,IEUK_peak,UKIE,IEUK_peak
2020-03-15 02:25:00,2.0253198405e+09,2.0253198405e+09,3.6081310194e+09,3.6081310194e+09
2020-03-15 02:30:00,2.0941895546e+09,2.0941895546e+09,3.4432607152e+09,3.4432607152e+09
2020-03-15 02:35:00,1.9624773235e+09,1.9624773235e+09,3.4734735928e+09,3.4734735928e+09
2020-03-15 02:40:00,1.9788056875e+09,1.9788056875e+09,3.3684138325e+09,3.3684138325e+09
2020-03-15 02:45:00,1.9317377994e+09,1.9317377994e+09,3.4585837397e+09,3.4585837397e+09
2020-03-15 02:50:00,1.6721177481e+09,1.6721177481e+09,3.4314237345e+09,3.4314237345e+09
2020-03-15 02:55:00,1.5796017667e+09,1.5796017667e+09,3.6396779349e+09,3.6396779349e+09
2020-03-15 03:00:00,1.5863721772e+09,1.5863721772e+09,3.4282290593e+09,3.4282290593e+09
2020-03-15 03:05:00,1.7373650447e+09,1.7373650447e+09,3.4292837476e+09,3.4292837476e+09
2020-03-15 03:10:00,1.5794800118e+09,1.5794800118e+09,3.6607597627e+09,3.6607597627e+09
2020-03-15 03:15:00,7.6384099341e+08,7.6384099341e+08,3.3755909853e+09,3.3755909853e+09
2020-03-15 03:20:00,8.5031894465e+08,8.5031894465e+08,3.7008256050e+09,3.7008256050e+09
2020-03-15 03:25:00,7.6737790345e+08,7.6737790345e+08,3.3574599342e+09,3.3574599342e+09
2020-03-15 03:30:00,7.3499655117e+08,7.3499655117e+08,3.4529840500e+09,3.4529840500e+09
2020-03-15 03:35:00,7.4335989735e+08,7.4335989735e+08,3.4262797394e+09,3.4262797394e+09
2020-03-15 03:40:00,1.2639716719e+09,1.2639716719e+09,3.3355624496e+09,3.3355624496e+09
2020-03-15 03:45:00,1.5930245715e+09,1.5930245715e+09,3.3861529386e+09,3.3861529386e+09
2020-03-15 03:50:00,1.6756588580e+09,1.6756588580e+09,3.3436827396e+09,3.3436827396e+09
2020-03-15 03:55:00,1.6389725983e+09,1.6389725983e+09,3.3450477656e+09,3.3450477656e+09
2020-03-15 04:00:00,1.6780581276e+09,1.6780581276e+09,3.4391293235e+09,3.4391293235e+09
2020-03-15 04:05:00,1.6606361572e+09,1.6606361572e+09,3.4065787506e+09,3.4065787506e+09
2020-03-15 04:10:00,1.6389334548e+09,1.6389334548e+09,3.4448094949e+09,3.4448094949e+09
2020-03-15 04:15:00,1.4102156791e+09,1.4102156791e+09,3.3384683756e+09,3.3384683756e+09
2020-03-15 04:20:00,1.3058274924e+09,1.3058274924e+09,3.5841780995e+09,3.5841780995e+09
2020-03-15 04:25:00,1.3665793466e+09,1.3665793466e+09,3.2699953379e+09,3.2699953379e+09
2020-03-15 04:30:00,1.3811361016e+09,1.3811361016e+09,3.6756164139e+09,3.6756164139e+09
2020-03-15 04:35:00,1.1107042019e+09,1.1107042019e+09,3.3576813400e+09,3.3576813400e+09
2020-03-15 04:40:00,5.4832613000e+08,5.4832613000e+08,3.3297510078e+09,3.3297510078e+09
