DATE,EEET,EEET_peak,ETEE,EEET_peak
2020-03-15 02:25:00,1.5642045166e+07,1.5642045166e+07,5.5855711141e+07,5.5855711141e+07
2020-03-15 02:30:00,1.6767611232e+07,1.6767611232e+07,5.0141796873e+07,5.0141796873e+07
2020-03-15 02:35:00,1.6634669363e+07,1.6634669363e+07,4.6072956116e+07,4.6072956116e+07
2020-03-15 02:40:00,1.4459382651e+07,1.4459382651e+07,5.6519892064e+07,5.6519892064e+07
2020-03-15 02:45:00,1.6502286769e+07,1.6502286769e+07,7.0886056555e+07,7.0886056555e+07
2020-03-15 02:50:00,2.1892788545e+07,2.1892788545e+07,5.6629296431e+07,5.6629296431e+07
2020-03-15 02:55:00,2.9374743353e+07,2.9374743353e+07,1.2750280752e+08,1.2750280752e+08
2020-03-15 03:00:00,3.2629933999e+07,3.2629933999e+07,4.9241546504e+07,4.9241546504e+07
2020-03-15 03:05:00,4.7426754222e+07,4.7426754222e+07,5.7646454911e+07,5.7646454911e+07
2020-03-15 03:10:00,4.8679972412e+07,4.8679972412e+07,1.0272734323e+08,1.0272734323e+08
2020-03-15 03:15:00,3.5495543826e+07,3.5495543826e+07,8.6466564705e+07,8.6466564705e+07
2020-03-15 03:20:00,2.3327737408e+07,2.3327737408e+07,7.2662563476e+07,7.2662563476e+07
2020-03-15 03:25:00,4.3540491863e+07,4.3540491863e+07,5.7490150814e+07,5.7490150814e+07
2020-03-15 03:30:00,5.9546331298e+07,5.9546331298e+07,5.1612790272e+07,5.1612790272e+07
2020-03-15 03:35:00,5.2705380108e+07,5.2705380108e+07,4.9041673461e+07,4.9041673461e+07
2020-03-15 03:40:00,4.3034064971e+07,4.3034064971e+07,4.3849710552e+07,4.3849710552e+07
2020-03-15 03:45:00,2.0036000922e+07,2.0036000922e+07,5.9055402107e+07,5.9055402107e+07
2020-03-15 03:50:00,2.2223281940e+07,2.2223281940e+07,5.9483050800e+07,5.9483050800e+07
2020-03-15 03:55:00,1.7729367203e+07,1.7729367203e+07,5.7078069278e+07,5.7078069278e+07
2020-03-15 04:00:00,1.5055355841e+07,1.5055355841e+07,4.0835687207e+07,4.0835687207e+07
2020-03-15 04:05:00,1.3068902499e+07,1.3068902499e+07,4.0887712943e+07,4.0887712943e+07
2020-03-15 04:10:00,1.0847128352e+07,1.0847128352e+07,4.6121467679e+07,4.6121467679e+07
2020-03-15 04:15:00,1.3067392686e+07,1.3067392686e+07,6.0832704659e+07,6.0832704659e+07
2020-03-15 04:20:00,1.3938468806e+07,1.3938468806e+07,5.7364242720e+07,5.7364242720e+07
2020-03-15 04:25:00,1.3761424644e+07,1.3761424644e+07,1.4004833042e+08,1.4004833042e+08
2020-03-15 04:30:00,1.1733670426e+07,1.1733670426e+07,5.3023718308e+07,5.3023718308e+07
2020-03-15 04:35:00,2.3645924657e+07,2.3645924657e+07,5.2350773566e+07,5.2350773566e+07
2020-03-15 04:40:00,1.6634405629e+07,1.6634405629e+07,4.8733931292e+07,4.8733931292e+07
2020-03-15 04:45:00,1.4534800296e+07,1.4534800296e+07,5.5818656167e+07,5.5818656167e+07
2020-03-15 04:50:00,1.9769007508e+07,1.9769007508e+07,5.1252779412e+07,5.1252779412e+07
2020-03-15 04:55:00,1.7920086126e+07,1.7920086126e+07,4.5921891290e+07,4.5921891290e+07
2020-03-15 05:00:00,1.4476863440e+07,1.4476863440e+07,4.5085812938e+07,4.5085812938e+07
2020-03-15 05:05:00,1.2941466051e+07,1.2941466051e+07,4.5189254382e+07,4.5189254382e+07
2020-03-15 05:10:00,3.5993210366e+07,3.5993210366e+07,4.6276263785e+07,4.6276263785e+07
2020-03-15 05:15:00,2.3333357455e+07,2.3333357455e+07,6.1172944932e+07,6.1172944932e+07
2020-03-15 05:20:00,1.4462723628e+07,1.4462723628e+07,5.1548300885e+07,5.1548300885e+07
2020-03-15 05:25:00,2.1003042345e+07,2.1003042345e+07,4.8524930194e+07,4.8524930194e+07
2020-03-15 05:30:00,1.5827029580e+07,1.5827029580e+07,5.2124582639e+07,5.2124582639e+07
2020-03-15 05:35:00,1.9835204165e+07,1.9835204165e+07,4.5572304802e+07,4.5572304802e+07
2020-03-15 05:40:00,2.3460549620e+07,2.3460549620e+07,5.2647595847e+07,5.2647595847e+07
2020-03-15 05:45:00,2.2348133416e+07,2.2348133416e+07,6.1633111894e+07,6.1633111894e+07
2020-03-15 05:50:00,3.5616069720e+07,3.5616069720e+07,7.2706841797e+07,7.2706841797e+07
