DATE,SIIT,SIIT_peak,ITSI,ITSI_peak
2020-03-25 23:25:00,4.2560131600e+09,4.2560131600e+09,3.7390389531e+09,3.7390389531e+09
2020-03-25 23:30:00,4.8862178550e+09,4.8862178550e+09,4.7664153287e+09,4.7664153287e+09
2020-03-25 23:35:00,4.5141248350e+09,4.5141248350e+09,9.5033290124e+09,9.5033290124e+09
2020-03-25 23:40:00,3.2840600995e+09,3.2840600995e+09,7.4965809428e+09,7.4965809428e+09
2020-03-25 23:45:00,3.4411993674e+09,3.4411993674e+09,6.2501934356e+09,6.2501934356e+09
2020-03-25 23:50:00,3.8790553826e+09,3.8790553826e+09,5.6491865587e+09,5.6491865587e+09
2020-03-25 23:55:00,5.2371152922e+09,5.2371152922e+09,6.3663669404e+09,6.3663669404e+09
2020-03-26 00:00:00,6.5257313163e+09,6.5257313163e+09,8.9789596645e+09,8.9789596645e+09
2020-03-26 00:05:00,5.1497039937e+09,5.1497039937e+09,7.1183978154e+09,7.1183978154e+09
2020-03-26 00:10:00,7.6449481152e+09,7.6449481152e+09,5.1263112363e+09,5.1263112363e+09
2020-03-26 00:15:00,4.7085050680e+09,4.7085050680e+09,6.3310529053e+09,6.3310529053e+09
2020-03-26 00:20:00,4.8816430326e+09,4.8816430326e+09,5.3121428489e+09,5.3121428489e+09
2020-03-26 00:25:00,4.5784446943e+09,4.5784446943e+09,4.1551816913e+09,4.1551816913e+09
2020-03-26 00:30:00,3.7347808001e+09,3.7347808001e+09,6.4336302687e+09,6.4336302687e+09
2020-03-26 00:35:00,3.8100819724e+09,3.8100819724e+09,4.4111922990e+09,4.4111922990e+09
2020-03-26 00:40:00,3.7777345855e+09,3.7777345855e+09,3.3431183257e+09,3.3431183257e+09
2020-03-26 00:45:00,4.2034810501e+09,4.2034810501e+09,5.5218063760e+09,5.5218063760e+09
2020-03-26 00:50:00,4.9008412915e+09,4.9008412915e+09,4.2369834125e+09,4.2369834125e+09
2020-03-26 00:55:00,5.9168489916e+09,5.9168489916e+09,3.1698659168e+09,3.1698659168e+09
2020-03-26 01:00:00,4.6262399245e+09,4.6262399245e+09,4.7904616512e+09,4.7904616512e+09
2020-03-26 01:05:00,6.6976266844e+09,6.6976266844e+09,6.3467276825e+09,6.3467276825e+09
2020-03-26 01:10:00,5.9897473439e+09,5.9897473439e+09,2.7631793932e+09,2.7631793932e+09
2020-03-26 01:15:00,4.6834521463e+09,4.6834521463e+09,2.7445640020e+09,2.7445640020e+09
2020-03-26 01:20:00,5.8310113451e+09,5.8310113451e+09,3.5711252567e+09,3.5711252567e+09
2020-03-26 01:25:00,5.6534063549e+09,5.6534063549e+09,3.2484467951e+09,3.2484467951e+09
2020-03-26 01:30:00,5.2120195221e+09,5.2120195221e+09,5.5504864848e+09,5.5504864848e+09
2020-03-26 01:35:00,4.7599438464e+09,4.7599438464e+09,9.9218978019e+09,9.9218978019e+09
2020-03-26 01:40:00,5.3445944278e+09,5.3445944278e+09,1.3062213872e+10,1.3062213872e+10
2020-03-26 01:45:00,8.0399159950e+09,8.0399159950e+09,1.1686483512e+10,1.1686483512e+10
2020-03-26 01:50:00,1.5205755173e+10,1.5205755173e+10,9.1343683810e+09,9.1343683810e+09
2020-03-26 01:55:00,1.2349009728e+10,1.2349009728e+10,1.3350782091e+10,1.3350782091e+10
2020-03-26 02:00:00,9.6987649772e+09,9.6987649772e+09,1.1525205850e+10,1.1525205850e+10
2020-03-26 02:05:00,1.0427512721e+10,1.0427512721e+10,8.6215570325e+09,8.6215570325e+09
2020-03-26 02:10:00,1.1988512800e+10,1.1988512800e+10,8.8763572268e+09,8.8763572268e+09
2020-03-26 02:15:00,5.4729396107e+09,5.4729396107e+09,1.7002437381e+10,1.7002437381e+10
2020-03-26 02:20:00,5.4983816230e+09,5.4983816230e+09,1.9037828892e+10,1.9037828892e+10
2020-03-26 02:25:00,7.0647095587e+09,7.0647095587e+09,1.8999256526e+10,1.8999256526e+10
2020-03-26 02:30:00,5.7390319172e+09,5.7390319172e+09,1.6573159874e+10,1.6573159874e+10
2020-03-26 02:35:00,6.9624961172e+09,6.9624961172e+09,1.2573016121e+10,1.2573016121e+10
2020-03-26 02:40:00,9.1139458538e+09,9.1139458538e+09,1.0664587406e+10,1.0664587406e+10
2020-03-26 02:45:00,8.1606809021e+09,8.1606809021e+09,1.0201496218e+10,1.0201496218e+10
2020-03-26 02:50:00,7.5349801436e+09,7.5349801436e+09,1.6665845516e+10,1.6665845516e+10
2020-03-26 02:55:00,6.3488854090e+09,6.3488854090e+09,1.6724986611e+10,1.6724986611e+10
2020-03-26 03:00:00,6.8983421973e+09,6.8983421973e+09,1.2374577516e+10,1.2374577516e+10
2020-03-26 03:05:00,5.3776881645e+09,5.3776881645e+09,1.1225127595e+10,1.1225127595e+10
