DATE,CHFN,CHFN_peak,FNCH,CHFN_peak
2020-03-15 02:25:00,8.2903098192e+09,8.2903098192e+09,8.3965912279e+09,8.3965912279e+09
2020-03-15 02:30:00,8.2657352973e+09,8.2657352973e+09,7.0294965985e+09,7.0294965985e+09
2020-03-15 02:35:00,8.2444165569e+09,8.2444165569e+09,6.8703375642e+09,6.8703375642e+09
2020-03-15 02:40:00,9.0282782258e+09,9.0282782258e+09,7.7451066021e+09,7.7451066021e+09
2020-03-15 02:45:00,1.2981515879e+10,1.2981515879e+10,6.7195138560e+09,6.7195138560e+09
2020-03-15 02:50:00,1.5132908921e+10,1.5132908921e+10,6.5542171882e+09,6.5542171882e+09
2020-03-15 02:55:00,1.6073265702e+10,1.6073265702e+10,8.0166607094e+09,8.0166607094e+09
2020-03-15 03:00:00,1.1929025586e+10,1.1929025586e+10,8.4482288785e+09,8.4482288785e+09
2020-03-15 03:05:00,9.5615802120e+09,9.5615802120e+09,8.2848220404e+09,8.2848220404e+09
2020-03-15 03:10:00,8.6796692680e+09,8.6796692680e+09,8.7794855420e+09,8.7794855420e+09
2020-03-15 03:15:00,9.5197779332e+09,9.5197779332e+09,9.2001902192e+09,9.2001902192e+09
2020-03-15 03:20:00,9.9651256491e+09,9.9651256491e+09,8.4721756980e+09,8.4721756980e+09
2020-03-15 03:25:00,9.6869785868e+09,9.6869785868e+09,1.0274536869e+10,1.0274536869e+10
2020-03-15 03:30:00,8.3106219589e+09,8.3106219589e+09,8.6221760433e+09,8.6221760433e+09
2020-03-15 03:35:00,6.8441960052e+09,6.8441960052e+09,7.0729129992e+09,7.0729129992e+09
2020-03-15 03:40:00,7.3683074492e+09,7.3683074492e+09,9.6984787380e+09,9.6984787380e+09
2020-03-15 03:45:00,1.0450174167e+10,1.0450174167e+10,9.2138011930e+09,9.2138011930e+09
2020-03-15 03:50:00,1.0458944064e+10,1.0458944064e+10,8.8326389028e+09,8.8326389028e+09
2020-03-15 03:55:00,8.7933142598e+09,8.7933142598e+09,9.0291193196e+09,9.0291193196e+09
2020-03-15 04:00:00,6.5412081216e+09,6.5412081216e+09,8.4873844118e+09,8.4873844118e+09
2020-03-15 04:05:00,6.8891733202e+09,6.8891733202e+09,8.4858694785e+09,8.4858694785e+09
2020-03-15 04:10:00,7.3595453478e+09,7.3595453478e+09,8.7747679971e+09,8.7747679971e+09
2020-03-15 04:15:00,1.0169875045e+10,1.0169875045e+10,9.4054405924e+09,9.4054405924e+09
2020-03-15 04:20:00,1.0305400581e+10,1.0305400581e+10,9.4161750945e+09,9.4161750945e+09
2020-03-15 04:25:00,1.0936172146e+10,1.0936172146e+10,9.8517838916e+09,9.8517838916e+09
2020-03-15 04:30:00,7.6255955877e+09,7.6255955877e+09,1.0076755231e+10,1.0076755231e+10
2020-03-15 04:35:00,8.6567259520e+09,8.6567259520e+09,7.9593676257e+09,7.9593676257e+09
2020-03-15 04:40:00,1.0331766406e+10,1.0331766406e+10,7.7750516872e+09,7.7750516872e+09
2020-03-15 04:45:00,8.0623590827e+09,8.0623590827e+09,8.5936992915e+09,8.5936992915e+09
2020-03-15 04:50:00,7.0953943546e+09,7.0953943546e+09,1.1318849551e+10,1.1318849551e+10
2020-03-15 04:55:00,8.7620758577e+09,8.7620758577e+09,9.8768755693e+09,9.8768755693e+09
2020-03-15 05:00:00,1.1863122655e+10,1.1863122655e+10,7.7399740431e+09,7.7399740431e+09
2020-03-15 05:05:00,7.6131389434e+09,7.6131389434e+09,9.4470698810e+09,9.4470698810e+09
