DATE,BGAT,BGAT_peak,ATBG,ATBG_peak
2020-03-22 02:25:00,7.8933318786e+09,7.8933318786e+09,2.7239026963e+09,2.7239026963e+09
2020-03-22 02:30:00,8.2400360312e+09,8.2400360312e+09,2.7342459838e+09,2.7342459838e+09
2020-03-22 02:35:00,7.9243049071e+09,7.9243049071e+09,4.9084517349e+09,4.9084517349e+09
2020-03-22 02:40:00,1.0198021729e+10,1.0198021729e+10,4.4495779214e+09,4.4495779214e+09
2020-03-22 02:45:00,8.6764663175e+09,8.6764663175e+09,3.7911094418e+09,3.7911094418e+09
2020-03-22 02:50:00,7.8349819635e+09,7.8349819635e+09,4.0104176815e+09,4.0104176815e+09
2020-03-22 02:55:00,7.3834635154e+09,7.3834635154e+09,2.8267308139e+09,2.8267308139e+09
2020-03-22 03:00:00,7.9777682758e+09,7.9777682758e+09,2.6865023366e+09,2.6865023366e+09
2020-03-22 03:05:00,1.3430655945e+10,1.3430655945e+10,1.4089000028e+09,1.4089000028e+09
2020-03-22 03:10:00,1.0583576672e+10,1.0583576672e+10,3.0808125620e+09,3.0808125620e+09
2020-03-22 03:15:00,1.0136208959e+10,1.0136208959e+10,3.2467569859e+09,3.2467569859e+09
2020-03-22 03:20:00,8.3370288531e+09,8.3370288531e+09,2.9343229538e+09,2.9343229538e+09
2020-03-22 03:25:00,6.7017895991e+09,6.7017895991e+09,2.7754253155e+09,2.7754253155e+09
2020-03-22 03:30:00,6.2320225643e+09,6.2320225643e+09,2.2106725527e+09,2.2106725527e+09
2020-03-22 03:35:00,1.0549016451e+10,1.0549016451e+10,2.2019201130e+09,2.2019201130e+09
2020-03-22 03:40:00,1.1536819334e+10,1.1536819334e+10,4.4340273342e+09,4.4340273342e+09
2020-03-22 03:45:00,6.4832872621e+09,6.4832872621e+09,3.0513071766e+09,3.0513071766e+09
2020-03-22 03:50:00,5.5581709746e+09,5.5581709746e+09,2.2930089984e+09,2.2930089984e+09
2020-03-22 03:55:00,5.2420784271e+09,5.2420784271e+09,2.8064751489e+09,2.8064751489e+09
2020-03-22 04:00:00,4.8175901764e+09,4.8175901764e+09,2.4108446475e+09,2.4108446475e+09
2020-03-22 04:05:00,4.2781063243e+09,4.2781063243e+09,2.3140410151e+09,2.3140410151e+09
2020-03-22 04:10:00,7.5716652788e+09,7.5716652788e+09,2.3372588674e+09,2.3372588674e+09
2020-03-22 04:15:00,5.8253779282e+09,5.8253779282e+09,2.6700304090e+09,2.6700304090e+09
2020-03-22 04:20:00,5.9876458884e+09,5.9876458884e+09,2.6198965374e+09,2.6198965374e+09
2020-03-22 04:25:00,6.3904523467e+09,6.3904523467e+09,1.8983135104e+09,1.8983135104e+09
2020-03-22 04:30:00,4.9647196789e+09,4.9647196789e+09,2.6263450243e+09,2.6263450243e+09
2020-03-22 04:35:00,5.0036879001e+09,5.0036879001e+09,3.0648672893e+09,3.0648672893e+09
2020-03-22 04:40:00,4.0403067534e+09,4.0403067534e+09,2.4842937852e+09,2.4842937852e+09
2020-03-22 04:45:00,3.8795919658e+09,3.8795919658e+09,3.5224684364e+09,3.5224684364e+09
2020-03-22 04:50:00,3.5909057397e+09,3.5909057397e+09,2.1925802157e+09,2.1925802157e+09
2020-03-22 04:55:00,3.7522556429e+09,3.7522556429e+09,1.8763659173e+09,1.8763659173e+09
2020-03-22 05:00:00,3.3213104560e+09,3.3213104560e+09,1.9680955275e+09,1.9680955275e+09
2020-03-22 05:05:00,2.9633735003e+09,2.9633735003e+09,2.5002366890e+09,2.5002366890e+09
2020-03-22 05:10:00,3.3751501018e+09,3.3751501018e+09,2.2254504543e+09,2.2254504543e+09
2020-03-22 05:15:00,2.6654490797e+09,2.6654490797e+09,2.1211413082e+09,2.1211413082e+09
2020-03-22 05:20:00,2.7898282760e+09,2.7898282760e+09,2.3535071057e+09,2.3535071057e+09
2020-03-22 05:25:00,2.8179303734e+09,2.8179303734e+09,1.9826307284e+09,1.9826307284e+09
2020-03-22 05:30:00,2.7306265579e+09,2.7306265579e+09,2.1418504164e+09,2.1418504164e+09
2020-03-22 05:35:00,2.4474853521e+09,2.4474853521e+09,2.8731170148e+09,2.8731170148e+09
2020-03-22 05:40:00,7.8912373836e+09,7.8912373836e+09,2.3896539603e+09,2.3896539603e+09
2020-03-22 05:45:00,8.1027312384e+09,8.1027312384e+09,2.4577865607e+09,2.4577865607e+09
2020-03-22 05:50:00,7.2716218589e+09,7.2716218589e+09,2.5822666569e+09,2.5822666569e+09
2020-03-22 05:55:00,7.0944236370e+09,7.0944236370e+09,2.8087496797e+09,2.8087496797e+09
2020-03-22 06:00:00,3.6125843550e+09,3.6125843550e+09,2.2633974662e+09,2.2633974662e+09
2020-03-22 06:05:00,3.0862220960e+09,3.0862220960e+09,1.9414535140e+09,1.9414535140e+09
2020-03-22 06:10:00,3.2721476811e+09,3.2721476811e+09,2.1591452101e+09,2.1591452101e+09
