DATE,DEPL,DEPL_peak,PLDE,DEPL_peak
2020-03-15 02:25:00,1.5958363420e+09,1.5958363420e+09,2.2236655152e+09,2.2236655152e+09
2020-03-15 02:30:00,2.0724301171e+09,2.0724301171e+09,2.4212685425e+09,2.4212685425e+09
2020-03-15 02:35:00,1.5728855779e+09,1.5728855779e+09,2.7956644207e+09,2.7956644207e+09
2020-03-15 02:40:00,1.7796059956e+09,1.7796059956e+09,2.2388938438e+09,2.2388938438e+09
2020-03-15 02:45:00,1.3267702252e+09,1.3267702252e+09,2.1318855247e+09,2.1318855247e+09
2020-03-15 02:50:00,1.4765417524e+09,1.4765417524e+09,1.9245991363e+09,1.9245991363e+09
2020-03-15 02:55:00,1.4991204897e+09,1.4991204897e+09,1.9064511276e+09,1.9064511276e+09
2020-03-15 03:00:00,2.0896364908e+09,2.0896364908e+09,1.9655538718e+09,1.9655538718e+09
2020-03-15 03:05:00,1.6593715285e+09,1.6593715285e+09,2.6779346968e+09,2.6779346968e+09
2020-03-15 03:10:00,1.2204664869e+09,1.2204664869e+09,2.3429092554e+09,2.3429092554e+09
2020-03-15 03:15:00,1.9781737798e+09,1.9781737798e+09,2.2014284686e+09,2.2014284686e+09
2020-03-15 03:20:00,9.5443410124e+08,9.5443410124e+08,2.3847413076e+09,2.3847413076e+09
2020-03-15 03:25:00,1.0571560859e+09,1.0571560859e+09,3.2524117323e+09,3.2524117323e+09
2020-03-15 03:30:00,1.7827133502e+09,1.7827133502e+09,2.0016749593e+09,2.0016749593e+09
2020-03-15 03:35:00,1.7787804987e+09,1.7787804987e+09,2.5058720213e+09,2.5058720213e+09
2020-03-15 03:40:00,1.1865281978e+09,1.1865281978e+09,2.4830856836e+09,2.4830856836e+09
2020-03-15 03:45:00,1.8558704493e+09,1.8558704493e+09,2.0840803814e+09,2.0840803814e+09
2020-03-15 03:50:00,1.6307941304e+09,1.6307941304e+09,2.5675313253e+09,2.5675313253e+09
2020-03-15 03:55:00,1.3773021771e+09,1.3773021771e+09,2.3506223495e+09,2.3506223495e+09
2020-03-15 04:00:00,1.3850030906e+09,1.3850030906e+09,2.1537532185e+09,2.1537532185e+09
2020-03-15 04:05:00,2.0270898720e+09,2.0270898720e+09,1.9257053603e+09,1.9257053603e+09
2020-03-15 04:10:00,1.4598011210e+09,1.4598011210e+09,1.7086386292e+09,1.7086386292e+09
2020-03-15 04:15:00,1.9182557552e+09,1.9182557552e+09,1.7653630144e+09,1.7653630144e+09
2020-03-15 04:20:00,1.4753117961e+09,1.4753117961e+09,1.6528577652e+09,1.6528577652e+09
2020-03-15 04:25:00,1.4958415814e+09,1.4958415814e+09,1.6850698814e+09,1.6850698814e+09
2020-03-15 04:30:00,1.6500367708e+09,1.6500367708e+09,1.8893169934e+09,1.8893169934e+09
2020-03-15 04:35:00,1.6962592684e+09,1.6962592684e+09,2.0287050176e+09,2.0287050176e+09
2020-03-15 04:40:00,1.5123714462e+09,1.5123714462e+09,2.3483760080e+09,2.3483760080e+09
2020-03-15 04:45:00,1.4300399263e+09,1.4300399263e+09,2.2350804927e+09,2.2350804927e+09
2020-03-15 04:50:00,1.7328374583e+09,1.7328374583e+09,2.1497300830e+09,2.1497300830e+09
2020-03-15 04:55:00,1.4005134044e+09,1.4005134044e+09,2.0382947744e+09,2.0382947744e+09
2020-03-15 05:00:00,1.3982867735e+09,1.3982867735e+09,1.9294377992e+09,1.9294377992e+09
2020-03-15 05:05:00,1.2904574949e+09,1.2904574949e+09,2.0608386683e+09,2.0608386683e+09
2020-03-15 05:10:00,1.2089153224e+09,1.2089153224e+09,2.0993601260e+09,2.0993601260e+09
2020-03-15 05:15:00,1.2254783453e+09,1.2254783453e+09,1.9490759842e+09,1.9490759842e+09
2020-03-15 05:20:00,1.7152573066e+09,1.7152573066e+09,2.2912974078e+09,2.2912974078e+09
2020-03-15 05:25:00,1.9024398712e+09,1.9024398712e+09,2.0636913587e+09,2.0636913587e+09
2020-03-15 05:30:00,1.3959743083e+09,1.3959743083e+09,1.8633248706e+09,1.8633248706e+09
