DATE,LTPL,LTPL_peak,PLLT,LTPL_peak
2020-03-22 02:25:00,4.2511487098e+08,4.2511487098e+08,3.9493001539e+08,3.9493001539e+08
2020-03-22 02:30:00,4.2901895397e+08,4.2901895397e+08,4.5889308291e+08,4.5889308291e+08
2020-03-22 02:35:00,5.2027815557e+08,5.2027815557e+08,3.4337640880e+08,3.4337640880e+08
2020-03-22 02:40:00,4.4426723411e+08,4.4426723411e+08,3.7425243653e+08,3.7425243653e+08
2020-03-22 02:45:00,3.3864688143e+08,3.3864688143e+08,4.0039018861e+08,4.0039018861e+08
2020-03-22 02:50:00,3.2279461195e+08,3.2279461195e+08,4.1897699053e+08,4.1897699053e+08
2020-03-22 02:55:00,3.4195651398e+08,3.4195651398e+08,4.6946023876e+08,4.6946023876e+08
2020-03-22 03:00:00,3.2556219052e+08,3.2556219052e+08,4.4437882040e+08,4.4437882040e+08
2020-03-22 03:05:00,2.9489240078e+08,2.9489240078e+08,4.7662255912e+08,4.7662255912e+08
2020-03-22 03:10:00,3.3156109616e+08,3.3156109616e+08,4.6160727000e+08,4.6160727000e+08
2020-03-22 03:15:00,3.0017304407e+08,3.0017304407e+08,4.2276210061e+08,4.2276210061e+08
2020-03-22 03:20:00,2.7923054555e+08,2.7923054555e+08,4.4679269190e+08,4.4679269190e+08
2020-03-22 03:25:00,2.8215350908e+08,2.8215350908e+08,4.1060160664e+08,4.1060160664e+08
2020-03-22 03:30:00,2.8368135822e+08,2.8368135822e+08,4.6244348812e+08,4.6244348812e+08
2020-03-22 03:35:00,2.3080470967e+08,2.3080470967e+08,4.6319332317e+08,4.6319332317e+08
2020-03-22 03:40:00,2.2603123881e+08,2.2603123881e+08,5.2411818372e+08,5.2411818372e+08
2020-03-22 03:45:00,2.3267121231e+08,2.3267121231e+08,4.1075101591e+08,4.1075101591e+08
2020-03-22 03:50:00,2.0753329575e+08,2.0753329575e+08,4.7380673244e+08,4.7380673244e+08
2020-03-22 03:55:00,2.2530766849e+08,2.2530766849e+08,4.6638105914e+08,4.6638105914e+08
2020-03-22 04:00:00,2.2137135445e+08,2.2137135445e+08,3.8380011261e+08,3.8380011261e+08
