DATE,CHFN,CHFN_peak,FNCH,CHFN_peak
2020-03-22 13:10:00,1.3265416077e+10,1.3265416077e+10,6.0648042524e+09,6.0648042524e+09
2020-03-22 13:15:00,2.1599970908e+10,2.1599970908e+10,5.8161672712e+09,5.8161672712e+09
2020-03-22 13:20:00,1.8072157132e+10,1.8072157132e+10,6.4024962390e+09,6.4024962390e+09
2020-03-22 13:25:00,1.5369923073e+10,1.5369923073e+10,6.7476315040e+09,6.7476315040e+09
2020-03-22 13:30:00,1.2974281798e+10,1.2974281798e+10,6.4422063403e+09,6.4422063403e+09
2020-03-22 13:35:00,1.4383840190e+10,1.4383840190e+10,6.0322006609e+09,6.0322006609e+09
2020-03-22 13:40:00,1.4943051277e+10,1.4943051277e+10,5.2863309946e+09,5.2863309946e+09
2020-03-22 13:45:00,1.4289067191e+10,1.4289067191e+10,6.5712117548e+09,6.5712117548e+09
2020-03-22 13:50:00,1.8456647049e+10,1.8456647049e+10,9.2890347223e+09,9.2890347223e+09
2020-03-22 13:55:00,1.7385869308e+10,1.7385869308e+10,1.1020431437e+10,1.1020431437e+10
2020-03-22 14:00:00,1.7763648971e+10,1.7763648971e+10,1.0809540312e+10,1.0809540312e+10
2020-03-22 14:05:00,1.6083266507e+10,1.6083266507e+10,1.2486161433e+10,1.2486161433e+10
2020-03-22 14:10:00,1.5125922700e+10,1.5125922700e+10,1.1299015485e+10,1.1299015485e+10
2020-03-22 14:15:00,1.4315060142e+10,1.4315060142e+10,8.3634794019e+09,8.3634794019e+09
2020-03-22 14:20:00,1.5331835797e+10,1.5331835797e+10,7.9149751718e+09,7.9149751718e+09
2020-03-22 14:25:00,1.5802868320e+10,1.5802868320e+10,6.3080513789e+09,6.3080513789e+09
2020-03-22 14:30:00,1.4012018816e+10,1.4012018816e+10,7.7107185601e+09,7.7107185601e+09
2020-03-22 14:35:00,1.3488409113e+10,1.3488409113e+10,6.3814484601e+09,6.3814484601e+09
2020-03-22 14:40:00,1.6147882781e+10,1.6147882781e+10,6.4207727565e+09,6.4207727565e+09
2020-03-22 14:45:00,1.3115333112e+10,1.3115333112e+10,6.1449901614e+09,6.1449901614e+09
2020-03-22 14:50:00,1.1759837956e+10,1.1759837956e+10,6.5119806037e+09,6.5119806037e+09
2020-03-22 14:55:00,1.2981616734e+10,1.2981616734e+10,6.5517078611e+09,6.5517078611e+09
2020-03-22 15:00:00,1.3118429388e+10,1.3118429388e+10,5.9190067618e+09,5.9190067618e+09
2020-03-22 15:05:00,1.5989210864e+10,1.5989210864e+10,6.5305029642e+09,6.5305029642e+09
2020-03-22 15:10:00,1.4170650363e+10,1.4170650363e+10,5.6297035690e+09,5.6297035690e+09
2020-03-22 15:15:00,1.5909638411e+10,1.5909638411e+10,5.2603162423e+09,5.2603162423e+09
2020-03-22 15:20:00,1.5932182483e+10,1.5932182483e+10,4.7676423582e+09,4.7676423582e+09
2020-03-22 15:25:00,1.6451212586e+10,1.6451212586e+10,5.5161221200e+09,5.5161221200e+09
2020-03-22 15:30:00,1.1462794265e+10,1.1462794265e+10,5.1177265671e+09,5.1177265671e+09
2020-03-22 15:35:00,1.4710641138e+10,1.4710641138e+10,4.8107580997e+09,4.8107580997e+09
2020-03-22 15:40:00,1.4898694738e+10,1.4898694738e+10,4.7497618881e+09,4.7497618881e+09
2020-03-22 15:45:00,1.7544754560e+10,1.7544754560e+10,6.1230906605e+09,6.1230906605e+09
2020-03-22 15:50:00,1.4535884302e+10,1.4535884302e+10,6.6140099335e+09,6.6140099335e+09
2020-03-22 15:55:00,1.4607137370e+10,1.4607137370e+10,7.5178112492e+09,7.5178112492e+09
2020-03-22 16:00:00,1.9383470110e+10,1.9383470110e+10,6.8191189414e+09,6.8191189414e+09
2020-03-22 16:05:00,2.0166763407e+10,2.0166763407e+10,5.2292044205e+09,5.2292044205e+09
2020-03-22 16:10:00,1.4322569537e+10,1.4322569537e+10,3.9416079259e+09,3.9416079259e+09
2020-03-22 16:15:00,1.3138327823e+10,1.3138327823e+10,3.5290091242e+09,3.5290091242e+09
2020-03-22 16:20:00,1.2802139191e+10,1.2802139191e+10,4.2191493823e+09,4.2191493823e+09
2020-03-22 16:25:00,1.9494869518e+10,1.9494869518e+10,4.8025165999e+09,4.8025165999e+09
2020-03-22 16:30:00,1.8427507731e+10,1.8427507731e+10,4.4701268169e+09,4.4701268169e+09
2020-03-22 16:35:00,1.6079392070e+10,1.6079392070e+10,5.1046555771e+09,5.1046555771e+09
2020-03-22 16:40:00,1.4644454763e+10,1.4644454763e+10,4.4297839344e+09,4.4297839344e+09
2020-03-22 16:45:00,1.6557032580e+10,1.6557032580e+10,5.2490454624e+09,5.2490454624e+09
2020-03-22 16:50:00,1.3399397757e+10,1.3399397757e+10,5.2305584597e+09,5.2305584597e+09
2020-03-22 16:55:00,1.3925557693e+10,1.3925557693e+10,4.9367543951e+09,4.9367543951e+09
2020-03-22 17:00:00,1.4832845016e+10,1.4832845016e+10,6.5722460523e+09,6.5722460523e+09
2020-03-22 17:05:00,1.1552648821e+10,1.1552648821e+10,6.2794046505e+09,6.2794046505e+09
2020-03-22 17:10:00,1.1268632006e+10,1.1268632006e+10,5.9479679058e+09,5.9479679058e+09
2020-03-22 17:15:00,1.6866906905e+10,1.6866906905e+10,6.0154670970e+09,6.0154670970e+09
2020-03-22 17:20:00,1.6770672987e+10,1.6770672987e+10,6.2817006137e+09,6.2817006137e+09
2020-03-22 17:25:00,1.3664856317e+10,1.3664856317e+10,4.0866512547e+09,4.0866512547e+09
2020-03-22 17:30:00,1.3407408915e+10,1.3407408915e+10,3.4904074340e+09,3.4904074340e+09
2020-03-22 17:35:00,1.2787347719e+10,1.2787347719e+10,3.9230599966e+09,3.9230599966e+09
2020-03-22 17:40:00,1.2622864530e+10,1.2622864530e+10,6.0409344954e+09,6.0409344954e+09
2020-03-22 17:45:00,1.3170111148e+10,1.3170111148e+10,3.7342626762e+09,3.7342626762e+09
2020-03-22 17:50:00,1.3779039487e+10,1.3779039487e+10,4.5452121917e+09,4.5452121917e+09
2020-03-22 17:55:00,1.4939879960e+10,1.4939879960e+10,5.8676050475e+09,5.8676050475e+09
2020-03-22 18:00:00,2.3167295221e+10,2.3167295221e+10,5.6449281363e+09,5.6449281363e+09
2020-03-22 18:05:00,2.1891654649e+10,2.1891654649e+10,4.5421268860e+09,4.5421268860e+09
2020-03-22 18:10:00,1.5856067609e+10,1.5856067609e+10,4.7106338648e+09,4.7106338648e+09
2020-03-22 18:15:00,1.8106625235e+10,1.8106625235e+10,4.0111280195e+09,4.0111280195e+09
2020-03-22 18:20:00,1.9012740524e+10,1.9012740524e+10,4.7448217926e+09,4.7448217926e+09
2020-03-22 18:25:00,1.6537706363e+10,1.6537706363e+10,4.8040179580e+09,4.8040179580e+09
2020-03-22 18:30:00,1.9336124721e+10,1.9336124721e+10,4.8395795633e+09,4.8395795633e+09
2020-03-22 18:35:00,1.6231740790e+10,1.6231740790e+10,4.4176218764e+09,4.4176218764e+09
2020-03-22 18:40:00,1.5860550178e+10,1.5860550178e+10,4.0021655825e+09,4.0021655825e+09
2020-03-22 18:45:00,1.6935145738e+10,1.6935145738e+10,4.4535420735e+09,4.4535420735e+09
2020-03-22 18:50:00,1.7098463108e+10,1.7098463108e+10,5.0196921150e+09,5.0196921150e+09
2020-03-22 18:55:00,1.4857971372e+10,1.4857971372e+10,5.5705629045e+09,5.5705629045e+09
2020-03-22 19:00:00,1.4108048554e+10,1.4108048554e+10,7.8865553244e+09,7.8865553244e+09
2020-03-22 19:05:00,1.4672987191e+10,1.4672987191e+10,5.8703215900e+09,5.8703215900e+09
2020-03-22 19:10:00,1.4657789558e+10,1.4657789558e+10,5.2046903912e+09,5.2046903912e+09
2020-03-22 19:15:00,1.4600469060e+10,1.4600469060e+10,3.9558844873e+09,3.9558844873e+09
2020-03-22 19:20:00,1.4898791723e+10,1.4898791723e+10,5.0330683661e+09,5.0330683661e+09
2020-03-22 19:25:00,1.2454240173e+10,1.2454240173e+10,4.5770732398e+09,4.5770732398e+09
2020-03-22 19:30:00,1.1707446215e+10,1.1707446215e+10,6.9933337790e+09,6.9933337790e+09
2020-03-22 19:35:00,1.1524780632e+10,1.1524780632e+10,8.0177545500e+09,8.0177545500e+09
2020-03-22 19:40:00,1.0777921060e+10,1.0777921060e+10,7.9092838833e+09,7.9092838833e+09
2020-03-22 19:45:00,9.5737343272e+09,9.5737343272e+09,6.6407388807e+09,6.6407388807e+09
2020-03-22 19:50:00,9.0899717225e+09,9.0899717225e+09,8.2853723326e+09,8.2853723326e+09
2020-03-22 19:55:00,1.1792890986e+10,1.1792890986e+10,7.0648685287e+09,7.0648685287e+09
2020-03-22 20:00:00,1.3365299946e+10,1.3365299946e+10,7.2269706914e+09,7.2269706914e+09
2020-03-22 20:05:00,1.3614540650e+10,1.3614540650e+10,7.1431359008e+09,7.1431359008e+09
2020-03-22 20:10:00,9.5488276461e+09,9.5488276461e+09,9.4576986752e+09,9.4576986752e+09
2020-03-22 20:15:00,8.5700130013e+09,8.5700130013e+09,1.0617559366e+10,1.0617559366e+10
2020-03-22 20:20:00,1.0247485204e+10,1.0247485204e+10,9.3468591150e+09,9.3468591150e+09
2020-03-22 20:25:00,1.1626287928e+10,1.1626287928e+10,7.9497216048e+09,7.9497216048e+09
2020-03-22 20:30:00,1.2878015908e+10,1.2878015908e+10,8.0190928727e+09,8.0190928727e+09
2020-03-22 20:35:00,1.3893323251e+10,1.3893323251e+10,6.2740450674e+09,6.2740450674e+09
2020-03-22 20:40:00,9.7403702628e+09,9.7403702628e+09,5.0475403996e+09,5.0475403996e+09
2020-03-22 20:45:00,1.1191142936e+10,1.1191142936e+10,4.4851057990e+09,4.4851057990e+09
2020-03-22 20:50:00,1.0054974275e+10,1.0054974275e+10,5.1555475530e+09,5.1555475530e+09
2020-03-22 20:55:00,1.3519295613e+10,1.3519295613e+10,5.3474768322e+09,5.3474768322e+09
2020-03-22 21:00:00,1.3500777630e+10,1.3500777630e+10,5.0856710921e+09,5.0856710921e+09
2020-03-22 21:05:00,1.0364603324e+10,1.0364603324e+10,4.5056829548e+09,4.5056829548e+09
2020-03-22 21:10:00,1.1497337035e+10,1.1497337035e+10,4.7178333607e+09,4.7178333607e+09
2020-03-22 21:15:00,1.0894297378e+10,1.0894297378e+10,4.6473766757e+09,4.6473766757e+09
2020-03-22 21:20:00,9.6379818144e+09,9.6379818144e+09,4.6564919087e+09,4.6564919087e+09
2020-03-22 21:25:00,9.8821899116e+09,9.8821899116e+09,5.1486193028e+09,5.1486193028e+09
2020-03-22 21:30:00,8.7977908111e+09,8.7977908111e+09,4.0943704500e+09,4.0943704500e+09
2020-03-22 21:35:00,9.6269078117e+09,9.6269078117e+09,4.4401317196e+09,4.4401317196e+09
2020-03-22 21:40:00,1.0918106129e+10,1.0918106129e+10,5.2094328522e+09,5.2094328522e+09
2020-03-22 21:45:00,9.9533871454e+09,9.9533871454e+09,4.7311130378e+09,4.7311130378e+09
2020-03-22 21:50:00,9.9022323210e+09,9.9022323210e+09,4.4119736569e+09,4.4119736569e+09
2020-03-22 21:55:00,1.4724944294e+10,1.4724944294e+10,6.0321227305e+09,6.0321227305e+09
2020-03-22 22:00:00,1.5845736107e+10,1.5845736107e+10,5.0194861474e+09,5.0194861474e+09
2020-03-22 22:05:00,1.0924378021e+10,1.0924378021e+10,4.5046846397e+09,4.5046846397e+09
2020-03-22 22:10:00,1.0860779074e+10,1.0860779074e+10,5.0514097606e+09,5.0514097606e+09
2020-03-22 22:15:00,1.1153635447e+10,1.1153635447e+10,5.2522773222e+09,5.2522773222e+09
