DATE,HUAT,HUAT_peak,ATHU,ATHU_peak
2020-03-22 02:25:00,5.6362847103e+09,5.6362847103e+09,3.1500264169e+09,3.1500264169e+09
2020-03-22 02:30:00,5.3504899853e+09,5.3504899853e+09,3.4393324706e+09,3.4393324706e+09
2020-03-22 02:35:00,5.5883515786e+09,5.5883515786e+09,2.7960206657e+09,2.7960206657e+09
2020-03-22 02:40:00,5.4905118175e+09,5.4905118175e+09,3.5932978897e+09,3.5932978897e+09
2020-03-22 02:45:00,5.4225482162e+09,5.4225482162e+09,1.5257905288e+09,1.5257905288e+09
2020-03-22 02:50:00,5.4782937236e+09,5.4782937236e+09,3.0569798245e+09,3.0569798245e+09
2020-03-22 02:55:00,5.3731574719e+09,5.3731574719e+09,1.9676380225e+09,1.9676380225e+09
2020-03-22 03:00:00,5.2035185838e+09,5.2035185838e+09,2.4269349754e+09,2.4269349754e+09
2020-03-22 03:05:00,5.0625859268e+09,5.0625859268e+09,3.3280779205e+09,3.3280779205e+09
2020-03-22 03:10:00,5.3964834333e+09,5.3964834333e+09,1.7418564143e+09,1.7418564143e+09
2020-03-22 03:15:00,5.1217054088e+09,5.1217054088e+09,1.5548100103e+09,1.5548100103e+09
2020-03-22 03:20:00,5.8372079987e+09,5.8372079987e+09,1.5211426443e+09,1.5211426443e+09
2020-03-22 03:25:00,5.3430071730e+09,5.3430071730e+09,3.2525542187e+09,3.2525542187e+09
2020-03-22 03:30:00,5.4797712238e+09,5.4797712238e+09,2.7409923041e+09,2.7409923041e+09
2020-03-22 03:35:00,5.7351155637e+09,5.7351155637e+09,1.8137294542e+09,1.8137294542e+09
2020-03-22 03:40:00,6.2144785245e+09,6.2144785245e+09,1.2286606078e+09,1.2286606078e+09
2020-03-22 03:45:00,5.3421648468e+09,5.3421648468e+09,1.0533017071e+09,1.0533017071e+09
2020-03-22 03:50:00,5.3716517103e+09,5.3716517103e+09,1.1602475058e+09,1.1602475058e+09
2020-03-22 03:55:00,5.2084336910e+09,5.2084336910e+09,1.0273257195e+09,1.0273257195e+09
2020-03-22 04:00:00,4.9036811182e+09,4.9036811182e+09,7.6512107478e+08,7.6512107478e+08
2020-03-22 04:05:00,5.2743178672e+09,5.2743178672e+09,9.8580919082e+08,9.8580919082e+08
2020-03-22 04:10:00,5.3128779780e+09,5.3128779780e+09,9.1875981574e+08,9.1875981574e+08
2020-03-22 04:15:00,5.4872068930e+09,5.4872068930e+09,1.1948969433e+09,1.1948969433e+09
2020-03-22 04:20:00,5.1530881547e+09,5.1530881547e+09,1.1418214512e+09,1.1418214512e+09
2020-03-22 04:25:00,5.4267037798e+09,5.4267037798e+09,1.4748476090e+09,1.4748476090e+09
2020-03-22 04:30:00,5.4174589343e+09,5.4174589343e+09,1.7675060125e+09,1.7675060125e+09
2020-03-22 04:35:00,5.1908201693e+09,5.1908201693e+09,2.0419766223e+09,2.0419766223e+09
2020-03-22 04:40:00,5.3356227600e+09,5.3356227600e+09,4.1466497277e+09,4.1466497277e+09
2020-03-22 04:45:00,5.5052453325e+09,5.5052453325e+09,5.0482714347e+09,5.0482714347e+09
2020-03-22 04:50:00,4.8432079024e+09,4.8432079024e+09,2.9127421500e+09,2.9127421500e+09
2020-03-22 04:55:00,5.0371503966e+09,5.0371503966e+09,1.1133803366e+09,1.1133803366e+09
2020-03-22 05:00:00,5.0823888341e+09,5.0823888341e+09,1.1384466290e+09,1.1384466290e+09
2020-03-22 05:05:00,5.5286703187e+09,5.5286703187e+09,3.6823216501e+09,3.6823216501e+09
2020-03-22 05:10:00,5.2686030335e+09,5.2686030335e+09,9.3246327352e+08,9.3246327352e+08
2020-03-22 05:15:00,5.5018642350e+09,5.5018642350e+09,9.5884745074e+08,9.5884745074e+08
2020-03-22 05:20:00,5.4414211552e+09,5.4414211552e+09,1.0794438778e+09,1.0794438778e+09
2020-03-22 05:25:00,5.4486349148e+09,5.4486349148e+09,1.2290704575e+09,1.2290704575e+09
2020-03-22 05:30:00,5.6689864847e+09,5.6689864847e+09,9.6326665658e+08,9.6326665658e+08
2020-03-22 05:35:00,5.4854673253e+09,5.4854673253e+09,9.4698816129e+08,9.4698816129e+08
2020-03-22 05:40:00,5.5194199023e+09,5.5194199023e+09,2.2606124855e+09,2.2606124855e+09
2020-03-22 05:45:00,6.5675794520e+09,6.5675794520e+09,7.8369948109e+09,7.8369948109e+09
2020-03-22 05:50:00,5.9526289003e+09,5.9526289003e+09,4.2087254285e+09,4.2087254285e+09
2020-03-22 05:55:00,5.9897207534e+09,5.9897207534e+09,1.4075602452e+09,1.4075602452e+09
2020-03-22 06:00:00,6.0659568233e+09,6.0659568233e+09,4.0106430900e+09,4.0106430900e+09
2020-03-22 06:05:00,6.2378639027e+09,6.2378639027e+09,1.4214136243e+09,1.4214136243e+09
2020-03-22 06:10:00,5.8976677793e+09,5.8976677793e+09,8.1144670822e+08,8.1144670822e+08
2020-03-22 06:15:00,5.9826001501e+09,5.9826001501e+09,1.0116077743e+09,1.0116077743e+09
2020-03-22 06:20:00,5.7165790559e+09,5.7165790559e+09,2.4753244249e+09,2.4753244249e+09
2020-03-22 06:25:00,5.9946695892e+09,5.9946695892e+09,2.1520674576e+09,2.1520674576e+09
2020-03-22 06:30:00,5.2960459908e+09,5.2960459908e+09,2.3071437974e+09,2.3071437974e+09
2020-03-22 06:35:00,5.6611772540e+09,5.6611772540e+09,2.5761560495e+09,2.5761560495e+09
2020-03-22 06:40:00,5.2021588369e+09,5.2021588369e+09,1.2808768998e+09,1.2808768998e+09
2020-03-22 06:45:00,5.1116661934e+09,5.1116661934e+09,1.1768369676e+09,1.1768369676e+09
2020-03-22 06:50:00,5.3699448636e+09,5.3699448636e+09,4.0244638653e+09,4.0244638653e+09
2020-03-22 06:55:00,5.1227912021e+09,5.1227912021e+09,1.9650761130e+09,1.9650761130e+09
2020-03-22 07:00:00,5.0519450392e+09,5.0519450392e+09,1.3018924555e+09,1.3018924555e+09
2020-03-22 07:05:00,5.4130438738e+09,5.4130438738e+09,9.7987542655e+08,9.7987542655e+08
2020-03-22 07:10:00,5.6389655779e+09,5.6389655779e+09,9.3881220413e+09,9.3881220413e+09
2020-03-22 07:15:00,5.7637862527e+09,5.7637862527e+09,7.4414005213e+09,7.4414005213e+09
2020-03-22 07:20:00,5.2502542358e+09,5.2502542358e+09,5.2761659332e+09,5.2761659332e+09
2020-03-22 07:25:00,5.6717097294e+09,5.6717097294e+09,4.0469133284e+09,4.0469133284e+09
2020-03-22 07:30:00,5.7025131796e+09,5.7025131796e+09,3.0486770849e+09,3.0486770849e+09
2020-03-22 07:35:00,5.3067483294e+09,5.3067483294e+09,3.0121982377e+09,3.0121982377e+09
2020-03-22 07:40:00,5.2569570145e+09,5.2569570145e+09,2.8569065582e+09,2.8569065582e+09
2020-03-22 07:45:00,5.5077448683e+09,5.5077448683e+09,3.4128060397e+09,3.4128060397e+09
2020-03-22 07:50:00,5.2212114046e+09,5.2212114046e+09,7.0489618975e+09,7.0489618975e+09
2020-03-22 07:55:00,6.1333960961e+09,6.1333960961e+09,3.6405769917e+09,3.6405769917e+09
2020-03-22 08:00:00,5.9227596552e+09,5.9227596552e+09,6.0616139702e+09,6.0616139702e+09
2020-03-22 08:05:00,5.3593005345e+09,5.3593005345e+09,4.0293784967e+09,4.0293784967e+09
2020-03-22 08:10:00,5.7015803544e+09,5.7015803544e+09,3.6178895172e+09,3.6178895172e+09
2020-03-22 08:15:00,5.7610034089e+09,5.7610034089e+09,3.7197941417e+09,3.7197941417e+09
2020-03-22 08:20:00,5.5370932128e+09,5.5370932128e+09,4.9936763916e+09,4.9936763916e+09
2020-03-22 08:25:00,5.5717116716e+09,5.5717116716e+09,4.1650086741e+09,4.1650086741e+09
2020-03-22 08:30:00,5.7524439248e+09,5.7524439248e+09,2.9643878397e+09,2.9643878397e+09
2020-03-22 08:35:00,5.8662979218e+09,5.8662979218e+09,2.3222325931e+09,2.3222325931e+09
2020-03-22 08:40:00,5.9791203069e+09,5.9791203069e+09,2.2423362083e+09,2.2423362083e+09
2020-03-22 08:45:00,6.6985915684e+09,6.6985915684e+09,2.5441003374e+09,2.5441003374e+09
2020-03-22 08:50:00,6.6429260263e+09,6.6429260263e+09,2.0514190955e+09,2.0514190955e+09
2020-03-22 08:55:00,8.3640417732e+09,8.3640417732e+09,1.4104642032e+09,1.4104642032e+09
2020-03-22 09:00:00,8.4286330395e+09,8.4286330395e+09,1.5971068704e+09,1.5971068704e+09
2020-03-22 09:05:00,9.0174014279e+09,9.0174014279e+09,1.6820393917e+09,1.6820393917e+09
2020-03-22 09:10:00,1.1650532367e+10,1.1650532367e+10,1.2296590790e+09,1.2296590790e+09
2020-03-22 09:15:00,1.1554080172e+10,1.1554080172e+10,2.7622637694e+09,2.7622637694e+09
2020-03-22 09:20:00,1.1195504441e+10,1.1195504441e+10,2.4067111474e+09,2.4067111474e+09
2020-03-22 09:25:00,1.0874818904e+10,1.0874818904e+10,1.3036329996e+09,1.3036329996e+09
2020-03-22 09:30:00,1.1043137231e+10,1.1043137231e+10,2.4511153126e+09,2.4511153126e+09
2020-03-22 09:35:00,1.1677024822e+10,1.1677024822e+10,5.0404571201e+09,5.0404571201e+09
2020-03-22 09:40:00,1.1834022081e+10,1.1834022081e+10,2.7760109470e+09,2.7760109470e+09
2020-03-22 09:45:00,1.1837950754e+10,1.1837950754e+10,2.0876666995e+09,2.0876666995e+09
2020-03-22 09:50:00,1.1143779891e+10,1.1143779891e+10,1.9760021899e+09,1.9760021899e+09
2020-03-22 09:55:00,1.0718930237e+10,1.0718930237e+10,1.5266315275e+09,1.5266315275e+09
2020-03-22 10:00:00,1.1607131824e+10,1.1607131824e+10,1.8271910220e+09,1.8271910220e+09
2020-03-22 10:05:00,1.1962224607e+10,1.1962224607e+10,1.7668045706e+09,1.7668045706e+09
2020-03-22 10:10:00,1.0616707769e+10,1.0616707769e+10,1.9155459320e+09,1.9155459320e+09
2020-03-22 10:15:00,1.1527735473e+10,1.1527735473e+10,2.2955379755e+09,2.2955379755e+09
2020-03-22 10:20:00,1.1243642633e+10,1.1243642633e+10,1.5616722494e+09,1.5616722494e+09
2020-03-22 10:25:00,1.1789633770e+10,1.1789633770e+10,1.7831382331e+09,1.7831382331e+09
2020-03-22 10:30:00,1.2425645783e+10,1.2425645783e+10,1.8293356481e+09,1.8293356481e+09
2020-03-22 10:35:00,1.1342580492e+10,1.1342580492e+10,1.6436217179e+09,1.6436217179e+09
2020-03-22 10:40:00,1.0026945025e+10,1.0026945025e+10,1.8674597897e+09,1.8674597897e+09
