DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-30 15:55:00,1.0910127817e+09,1.0910127817e+09,4.4807989190e+08,4.4807989190e+08
2020-03-30 16:00:00,1.1140794373e+09,1.1140794373e+09,5.9194857395e+08,5.9194857395e+08
2020-03-30 16:05:00,1.0235338647e+09,1.0235338647e+09,4.2711099413e+08,4.2711099413e+08
2020-03-30 16:10:00,1.1236048385e+09,1.1236048385e+09,3.8806282481e+08,3.8806282481e+08
2020-03-30 16:15:00,1.0506592569e+09,1.0506592569e+09,4.3584648779e+08,4.3584648779e+08
2020-03-30 16:20:00,1.0337184495e+09,1.0337184495e+09,4.0327609908e+08,4.0327609908e+08
2020-03-30 16:25:00,1.1158217154e+09,1.1158217154e+09,4.8967833785e+08,4.8967833785e+08
2020-03-30 16:30:00,1.1075290870e+09,1.1075290870e+09,5.1001081829e+08,5.1001081829e+08
2020-03-30 16:35:00,1.1221490620e+09,1.1221490620e+09,5.5338137394e+08,5.5338137394e+08
2020-03-30 16:40:00,8.5407663183e+08,8.5407663183e+08,5.3030522071e+08,5.3030522071e+08
2020-03-30 16:45:00,1.0491444875e+09,1.0491444875e+09,5.0281432444e+08,5.0281432444e+08
2020-03-30 16:50:00,1.0765478076e+09,1.0765478076e+09,4.2460931734e+08,4.2460931734e+08
2020-03-30 16:55:00,1.0797380331e+09,1.0797380331e+09,3.4399116538e+08,3.4399116538e+08
2020-03-30 17:00:00,8.6247798031e+08,8.6247798031e+08,6.1716794265e+08,6.1716794265e+08
2020-03-30 17:05:00,2.7863975697e+08,2.7863975697e+08,5.7067256760e+08,5.7067256760e+08
2020-03-30 17:10:00,3.0710464182e+08,3.0710464182e+08,6.1041885058e+08,6.1041885058e+08
2020-03-30 17:15:00,2.6279772844e+08,2.6279772844e+08,4.3993479610e+08,4.3993479610e+08
2020-03-30 17:20:00,9.9003841044e+08,9.9003841044e+08,3.5774563327e+08,3.5774563327e+08
2020-03-30 17:25:00,9.5969600615e+08,9.5969600615e+08,4.0877210098e+08,4.0877210098e+08
2020-03-30 17:30:00,1.0535297739e+09,1.0535297739e+09,4.0215921759e+08,4.0215921759e+08
2020-03-30 17:35:00,3.5086015218e+09,3.5086015218e+09,3.7073128194e+08,3.7073128194e+08
2020-03-30 17:40:00,1.9236361145e+09,1.9236361145e+09,4.2155048253e+08,4.2155048253e+08
2020-03-30 17:45:00,9.2826318497e+08,9.2826318497e+08,3.8504578825e+08,3.8504578825e+08
2020-03-30 17:50:00,1.3416123056e+09,1.3416123056e+09,3.4787120912e+08,3.4787120912e+08
2020-03-30 17:55:00,1.1503768228e+09,1.1503768228e+09,3.6605976917e+08,3.6605976917e+08
2020-03-30 18:00:00,1.4857026558e+09,1.4857026558e+09,3.6284858806e+08,3.6284858806e+08
2020-03-30 18:05:00,1.1824126294e+09,1.1824126294e+09,2.9729201118e+08,2.9729201118e+08
2020-03-30 18:10:00,7.5786563338e+08,7.5786563338e+08,3.1862194859e+08,3.1862194859e+08
2020-03-30 18:15:00,8.8939266688e+08,8.8939266688e+08,3.3005637829e+08,3.3005637829e+08
2020-03-30 18:20:00,7.4875600717e+08,7.4875600717e+08,4.0267494525e+08,4.0267494525e+08
2020-03-30 18:25:00,9.0687086300e+08,9.0687086300e+08,3.7237321288e+08,3.7237321288e+08
2020-03-30 18:30:00,9.1558066038e+08,9.1558066038e+08,2.7321594717e+08,2.7321594717e+08
2020-03-30 18:35:00,7.8264833758e+08,7.8264833758e+08,3.1755960241e+08,3.1755960241e+08
2020-03-30 18:40:00,8.4699689427e+08,8.4699689427e+08,3.7347146332e+08,3.7347146332e+08
2020-03-30 18:45:00,7.5462116653e+08,7.5462116653e+08,2.7576794470e+08,2.7576794470e+08
2020-03-30 18:50:00,8.6175507575e+08,8.6175507575e+08,2.8787825053e+08,2.8787825053e+08
2020-03-30 18:55:00,7.8938595190e+08,7.8938595190e+08,2.7525582209e+08,2.7525582209e+08
2020-03-30 19:00:00,7.7871671006e+08,7.7871671006e+08,2.2495910030e+08,2.2495910030e+08
2020-03-30 19:05:00,7.2238177569e+08,7.2238177569e+08,2.1640985437e+08,2.1640985437e+08
2020-03-30 19:10:00,7.5344996128e+08,7.5344996128e+08,2.2787116879e+08,2.2787116879e+08
2020-03-30 19:15:00,8.2121186761e+08,8.2121186761e+08,2.1359475204e+08,2.1359475204e+08
2020-03-30 19:20:00,7.9892622652e+08,7.9892622652e+08,2.7922332659e+08,2.7922332659e+08
2020-03-30 19:25:00,7.8014102656e+08,7.8014102656e+08,3.2204730286e+08,3.2204730286e+08
2020-03-30 19:30:00,7.8886075480e+08,7.8886075480e+08,3.8520798773e+08,3.8520798773e+08
2020-03-30 19:35:00,7.9710326937e+08,7.9710326937e+08,4.0704784943e+08,4.0704784943e+08
2020-03-30 19:40:00,2.4747081670e+09,2.4747081670e+09,4.0970467454e+08,4.0970467454e+08
2020-03-30 19:45:00,2.0939957533e+09,2.0939957533e+09,4.0365862504e+08,4.0365862504e+08
2020-03-30 19:50:00,1.5585516573e+09,1.5585516573e+09,3.5230270979e+08,3.5230270979e+08
2020-03-30 19:55:00,9.5759797788e+08,9.5759797788e+08,3.6481096034e+08,3.6481096034e+08
