DATE,CZAT,CZAT_peak,ATCZ,ATCZ_peak
2020-03-15 02:25:00,1.9572912198e+09,1.9572912198e+09,1.6780002860e+10,1.6780002860e+10
2020-03-15 02:30:00,2.6025224408e+09,2.6025224408e+09,1.6949200590e+10,1.6949200590e+10
2020-03-15 02:35:00,3.0878000655e+09,3.0878000655e+09,1.8306994119e+10,1.8306994119e+10
2020-03-15 02:40:00,3.4207081941e+09,3.4207081941e+09,1.6143721425e+10,1.6143721425e+10
2020-03-15 02:45:00,2.4221956060e+09,2.4221956060e+09,1.4477722967e+10,1.4477722967e+10
2020-03-15 02:50:00,2.7146806029e+09,2.7146806029e+09,1.3127942097e+10,1.3127942097e+10
2020-03-15 02:55:00,1.9908965820e+09,1.9908965820e+09,1.6092443980e+10,1.6092443980e+10
2020-03-15 03:00:00,2.1509848998e+09,2.1509848998e+09,1.4993948160e+10,1.4993948160e+10
2020-03-15 03:05:00,2.5843328210e+09,2.5843328210e+09,1.4192590431e+10,1.4192590431e+10
2020-03-15 03:10:00,2.2365087116e+09,2.2365087116e+09,1.6981498868e+10,1.6981498868e+10
2020-03-15 03:15:00,2.6010132016e+09,2.6010132016e+09,1.3541356312e+10,1.3541356312e+10
2020-03-15 03:20:00,8.2140109960e+09,8.2140109960e+09,1.5517702646e+10,1.5517702646e+10
2020-03-15 03:25:00,3.8157114138e+09,3.8157114138e+09,1.4084618644e+10,1.4084618644e+10
2020-03-15 03:30:00,3.3949595588e+09,3.3949595588e+09,1.1724197120e+10,1.1724197120e+10
2020-03-15 03:35:00,5.4056427967e+09,5.4056427967e+09,1.5606113382e+10,1.5606113382e+10
2020-03-15 03:40:00,7.0385850481e+09,7.0385850481e+09,1.3488986100e+10,1.3488986100e+10
2020-03-15 03:45:00,8.1799301855e+09,8.1799301855e+09,1.2278670699e+10,1.2278670699e+10
2020-03-15 03:50:00,7.9035535956e+09,7.9035535956e+09,1.0556964791e+10,1.0556964791e+10
2020-03-15 03:55:00,5.2182451404e+09,5.2182451404e+09,1.0574378872e+10,1.0574378872e+10
2020-03-15 04:00:00,4.8951619410e+09,4.8951619410e+09,8.7302086452e+09,8.7302086452e+09
2020-03-15 04:05:00,4.5504611267e+09,4.5504611267e+09,1.1611242744e+10,1.1611242744e+10
2020-03-15 04:10:00,2.2980141825e+09,2.2980141825e+09,9.9529371969e+09,9.9529371969e+09
2020-03-15 04:15:00,1.8585020391e+09,1.8585020391e+09,8.6603018381e+09,8.6603018381e+09
2020-03-15 04:20:00,3.5822264858e+09,3.5822264858e+09,6.0973376152e+09,6.0973376152e+09
2020-03-15 04:25:00,2.0967053279e+09,2.0967053279e+09,7.6593098266e+09,7.6593098266e+09
2020-03-15 04:30:00,2.0513283784e+09,2.0513283784e+09,7.3500118439e+09,7.3500118439e+09
2020-03-15 04:35:00,4.1266037872e+09,4.1266037872e+09,1.4163291315e+10,1.4163291315e+10
2020-03-15 04:40:00,2.9037821323e+09,2.9037821323e+09,9.3941905722e+09,9.3941905722e+09
2020-03-15 04:45:00,2.3510933746e+09,2.3510933746e+09,1.3618931533e+10,1.3618931533e+10
2020-03-15 04:50:00,2.7046002385e+09,2.7046002385e+09,1.3021298588e+10,1.3021298588e+10
2020-03-15 04:55:00,2.1187575003e+09,2.1187575003e+09,1.0914766087e+10,1.0914766087e+10
2020-03-15 05:00:00,1.6618181830e+09,1.6618181830e+09,1.2178811181e+10,1.2178811181e+10
2020-03-15 05:05:00,3.3081375198e+09,3.3081375198e+09,1.3518305853e+10,1.3518305853e+10
2020-03-15 05:10:00,2.4580825505e+09,2.4580825505e+09,1.1793091709e+10,1.1793091709e+10
2020-03-15 05:15:00,3.0782760315e+09,3.0782760315e+09,9.7829837169e+09,9.7829837169e+09
2020-03-15 05:20:00,4.2154494233e+09,4.2154494233e+09,1.0364710815e+10,1.0364710815e+10
2020-03-15 05:25:00,3.5081901169e+09,3.5081901169e+09,8.9285775478e+09,8.9285775478e+09
2020-03-15 05:30:00,5.2412715685e+09,5.2412715685e+09,8.3280530898e+09,8.3280530898e+09
2020-03-15 05:35:00,5.1043904742e+09,5.1043904742e+09,1.3758145970e+10,1.3758145970e+10
2020-03-15 05:40:00,2.7248171870e+09,2.7248171870e+09,9.6861113865e+09,9.6861113865e+09
2020-03-15 05:45:00,3.5548811149e+09,3.5548811149e+09,1.1754150954e+10,1.1754150954e+10
2020-03-15 05:50:00,5.5121827190e+09,5.5121827190e+09,9.4868843195e+09,9.4868843195e+09
2020-03-15 05:55:00,4.1137011288e+09,4.1137011288e+09,1.1022085454e+10,1.1022085454e+10
2020-03-15 06:00:00,3.2678761082e+09,3.2678761082e+09,9.9531049883e+09,9.9531049883e+09
2020-03-15 06:05:00,2.7635786263e+09,2.7635786263e+09,1.2047951750e+10,1.2047951750e+10
2020-03-15 06:10:00,3.3734833283e+09,3.3734833283e+09,1.0734063317e+10,1.0734063317e+10
2020-03-15 06:15:00,1.8471348676e+09,1.8471348676e+09,9.5833617832e+09,9.5833617832e+09
2020-03-15 06:20:00,2.2233459083e+09,2.2233459083e+09,1.1637936758e+10,1.1637936758e+10
2020-03-15 06:25:00,1.6293395797e+09,1.6293395797e+09,1.0974372962e+10,1.0974372962e+10
2020-03-15 06:30:00,1.6129458725e+09,1.6129458725e+09,1.0609763789e+10,1.0609763789e+10
2020-03-15 06:35:00,3.6241110357e+09,3.6241110357e+09,1.4798014835e+10,1.4798014835e+10
2020-03-15 06:40:00,2.8599192683e+09,2.8599192683e+09,1.5220577275e+10,1.5220577275e+10
2020-03-15 06:45:00,2.3358706973e+09,2.3358706973e+09,1.0803552415e+10,1.0803552415e+10
2020-03-15 06:50:00,3.2756715589e+09,3.2756715589e+09,1.1966706993e+10,1.1966706993e+10
2020-03-15 06:55:00,3.6678253450e+09,3.6678253450e+09,1.2141801572e+10,1.2141801572e+10
2020-03-15 07:00:00,2.7095770245e+09,2.7095770245e+09,1.2536400287e+10,1.2536400287e+10
2020-03-15 07:05:00,2.9935876746e+09,2.9935876746e+09,1.5308425719e+10,1.5308425719e+10
2020-03-15 07:10:00,3.9700099786e+09,3.9700099786e+09,1.1146787854e+10,1.1146787854e+10
2020-03-15 07:15:00,6.3204885959e+09,6.3204885959e+09,1.1050677748e+10,1.1050677748e+10
2020-03-15 07:20:00,5.3840288521e+09,5.3840288521e+09,1.3126884456e+10,1.3126884456e+10
2020-03-15 07:25:00,3.4868935924e+09,3.4868935924e+09,1.2975002247e+10,1.2975002247e+10
2020-03-15 07:30:00,2.3482689649e+09,2.3482689649e+09,1.4166531126e+10,1.4166531126e+10
2020-03-15 07:35:00,4.2821795048e+09,4.2821795048e+09,1.7047362906e+10,1.7047362906e+10
2020-03-15 07:40:00,2.4244035988e+09,2.4244035988e+09,1.3032506713e+10,1.3032506713e+10
2020-03-15 07:45:00,2.6812224622e+09,2.6812224622e+09,9.8543401069e+09,9.8543401069e+09
