DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-15 02:25:00,8.3551548393e+08,8.3551548393e+08,1.1633343100e+09,1.1633343100e+09
2020-03-15 02:30:00,7.9271162454e+08,7.9271162454e+08,1.3795951353e+09,1.3795951353e+09
2020-03-15 02:35:00,9.2254446078e+08,9.2254446078e+08,1.3600617832e+09,1.3600617832e+09
2020-03-15 02:40:00,5.2635219365e+08,5.2635219365e+08,1.5245821857e+09,1.5245821857e+09
2020-03-15 02:45:00,7.2843013197e+08,7.2843013197e+08,1.3055606886e+09,1.3055606886e+09
2020-03-15 02:50:00,9.4265005989e+08,9.4265005989e+08,2.1943185568e+09,2.1943185568e+09
2020-03-15 02:55:00,1.0949988575e+09,1.0949988575e+09,9.2269449933e+08,9.2269449933e+08
2020-03-15 03:00:00,1.1708218655e+09,1.1708218655e+09,7.7892758577e+08,7.7892758577e+08
2020-03-15 03:05:00,7.8318479622e+08,7.8318479622e+08,9.2507677304e+08,9.2507677304e+08
2020-03-15 03:10:00,9.3060019204e+08,9.3060019204e+08,1.1241040029e+09,1.1241040029e+09
2020-03-15 03:15:00,5.8839474641e+08,5.8839474641e+08,9.8758921354e+08,9.8758921354e+08
2020-03-15 03:20:00,8.5558110605e+08,8.5558110605e+08,9.5404538571e+08,9.5404538571e+08
2020-03-15 03:25:00,1.1372816749e+09,1.1372816749e+09,1.9575235185e+09,1.9575235185e+09
2020-03-15 03:30:00,9.1993530124e+08,9.1993530124e+08,1.3946443892e+09,1.3946443892e+09
2020-03-15 03:35:00,6.6192248298e+08,6.6192248298e+08,1.2317487454e+09,1.2317487454e+09
2020-03-15 03:40:00,5.0891787330e+08,5.0891787330e+08,1.0193934791e+09,1.0193934791e+09
2020-03-15 03:45:00,7.4396820438e+08,7.4396820438e+08,1.0373530557e+09,1.0373530557e+09
2020-03-15 03:50:00,5.1629417597e+08,5.1629417597e+08,1.3226542072e+09,1.3226542072e+09
2020-03-15 03:55:00,4.3628373883e+08,4.3628373883e+08,8.9264748017e+08,8.9264748017e+08
2020-03-15 04:00:00,3.5317613250e+08,3.5317613250e+08,7.7647705945e+08,7.7647705945e+08
2020-03-15 04:05:00,3.1850453829e+08,3.1850453829e+08,7.1104327082e+08,7.1104327082e+08
2020-03-15 04:10:00,6.6648343701e+08,6.6648343701e+08,1.0157341297e+09,1.0157341297e+09
2020-03-15 04:15:00,8.2909356795e+08,8.2909356795e+08,7.9446716281e+08,7.9446716281e+08
2020-03-15 04:20:00,7.1328290920e+08,7.1328290920e+08,7.6696796440e+08,7.6696796440e+08
