DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-15 02:25:00,1.5189749304e+07,1.5189749304e+07,5.6500543382e+07,5.6500543382e+07
2020-03-15 02:30:00,1.6162119096e+07,1.6162119096e+07,4.8139581489e+07,4.8139581489e+07
2020-03-15 02:35:00,1.6283494084e+07,1.6283494084e+07,4.5859333626e+07,4.5859333626e+07
2020-03-15 02:40:00,1.3792071053e+07,1.3792071053e+07,5.5320419999e+07,5.5320419999e+07
2020-03-15 02:45:00,1.6155912423e+07,1.6155912423e+07,7.0995290091e+07,7.0995290091e+07
2020-03-15 02:50:00,2.1246783146e+07,2.1246783146e+07,5.5303310518e+07,5.5303310518e+07
2020-03-15 02:55:00,2.9176480521e+07,2.9176480521e+07,1.2754739004e+08,1.2754739004e+08
2020-03-15 03:00:00,3.2638000562e+07,3.2638000562e+07,4.9460017006e+07,4.9460017006e+07
2020-03-15 03:05:00,4.6547678730e+07,4.6547678730e+07,5.9103136885e+07,5.9103136885e+07
2020-03-15 03:10:00,4.9085111466e+07,4.9085111466e+07,9.9608455098e+07,9.9608455098e+07
2020-03-15 03:15:00,3.3769134742e+07,3.3769134742e+07,8.5378930047e+07,8.5378930047e+07
2020-03-15 03:20:00,2.3393812635e+07,2.3393812635e+07,7.2813366899e+07,7.2813366899e+07
2020-03-15 03:25:00,4.2867748997e+07,4.2867748997e+07,5.6413799692e+07,5.6413799692e+07
2020-03-15 03:30:00,5.8333890079e+07,5.8333890079e+07,5.0049092317e+07,5.0049092317e+07
2020-03-15 03:35:00,5.1691831166e+07,5.1691831166e+07,4.8555855552e+07,4.8555855552e+07
2020-03-15 03:40:00,4.3785904514e+07,4.3785904514e+07,4.4087853465e+07,4.4087853465e+07
2020-03-15 03:45:00,1.9541716012e+07,1.9541716012e+07,5.8554689923e+07,5.8554689923e+07
2020-03-15 03:50:00,2.1545846268e+07,2.1545846268e+07,5.8219529037e+07,5.8219529037e+07
2020-03-15 03:55:00,1.7324305786e+07,1.7324305786e+07,5.6557371571e+07,5.6557371571e+07
2020-03-15 04:00:00,1.4831993747e+07,1.4831993747e+07,4.0764130038e+07,4.0764130038e+07
2020-03-15 04:05:00,1.2127365156e+07,1.2127365156e+07,3.9956321778e+07,3.9956321778e+07
2020-03-15 04:10:00,1.0262711296e+07,1.0262711296e+07,4.5016415623e+07,4.5016415623e+07
2020-03-15 04:15:00,1.2622114701e+07,1.2622114701e+07,6.0711976638e+07,6.0711976638e+07
2020-03-15 04:20:00,1.3200405752e+07,1.3200405752e+07,5.6131471597e+07,5.6131471597e+07
2020-03-15 04:25:00,1.3440736787e+07,1.3440736787e+07,1.3926181003e+08,1.3926181003e+08
2020-03-15 04:30:00,1.1244636731e+07,1.1244636731e+07,5.2722127323e+07,5.2722127323e+07
2020-03-15 04:35:00,2.3714697927e+07,2.3714697927e+07,5.2587174168e+07,5.2587174168e+07
2020-03-15 04:40:00,1.5461152518e+07,1.5461152518e+07,4.6846629939e+07,4.6846629939e+07
2020-03-15 04:45:00,1.4193306296e+07,1.4193306296e+07,5.5917549294e+07,5.5917549294e+07
2020-03-15 04:50:00,1.9666668042e+07,1.9666668042e+07,5.0889681172e+07,5.0889681172e+07
2020-03-15 04:55:00,1.7041741434e+07,1.7041741434e+07,4.4717426663e+07,4.4717426663e+07
2020-03-15 05:00:00,1.4252957473e+07,1.4252957473e+07,4.5184402337e+07,4.5184402337e+07
2020-03-15 05:05:00,1.2009758843e+07,1.2009758843e+07,4.3925012136e+07,4.3925012136e+07
2020-03-15 05:10:00,3.5075243379e+07,3.5075243379e+07,4.4922507656e+07,4.4922507656e+07
2020-03-15 05:15:00,2.3162163835e+07,2.3162163835e+07,6.1476492411e+07,6.1476492411e+07
2020-03-15 05:20:00,1.3521086711e+07,1.3521086711e+07,4.9778651423e+07,4.9778651423e+07
2020-03-15 05:25:00,2.0816123013e+07,2.0816123013e+07,4.8467097003e+07,4.8467097003e+07
2020-03-15 05:30:00,1.5155585133e+07,1.5155585133e+07,5.1049543926e+07,5.1049543926e+07
2020-03-15 05:35:00,1.9493634268e+07,1.9493634268e+07,4.5588752043e+07,4.5588752043e+07
2020-03-15 05:40:00,2.2853666747e+07,2.2853666747e+07,5.1539145596e+07,5.1539145596e+07
2020-03-15 05:45:00,2.2017868901e+07,2.2017868901e+07,6.1985169389e+07,6.1985169389e+07
2020-03-15 05:50:00,3.4740957120e+07,3.4740957120e+07,7.0523898410e+07,7.0523898410e+07
2020-03-15 05:55:00,1.8020692514e+07,1.8020692514e+07,5.2247600019e+07,5.2247600019e+07
2020-03-15 06:00:00,2.5228360139e+07,2.5228360139e+07,1.3657096778e+08,1.3657096778e+08
2020-03-15 06:05:00,4.1914890255e+07,4.1914890255e+07,5.2982951321e+07,5.2982951321e+07
2020-03-15 06:10:00,3.1447728318e+07,3.1447728318e+07,5.5839092026e+07,5.5839092026e+07
2020-03-15 06:15:00,2.5965616269e+07,2.5965616269e+07,6.8889750121e+07,6.8889750121e+07
2020-03-15 06:20:00,2.8285062766e+07,2.8285062766e+07,6.2636768487e+07,6.2636768487e+07
