DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-24 14:30:00,2.2334472809e+09,2.2334472809e+09,1.3421769999e+10,1.3421769999e+10
2020-03-24 14:35:00,1.7556179678e+09,1.7556179678e+09,1.3938015866e+10,1.3938015866e+10
2020-03-24 14:40:00,1.5145434371e+09,1.5145434371e+09,1.2288501884e+10,1.2288501884e+10
2020-03-24 14:45:00,1.1659764900e+09,1.1659764900e+09,1.2809306579e+10,1.2809306579e+10
2020-03-24 14:50:00,1.1583001381e+09,1.1583001381e+09,1.3520800229e+10,1.3520800229e+10
2020-03-24 14:55:00,1.0064793906e+09,1.0064793906e+09,1.4203123975e+10,1.4203123975e+10
2020-03-24 15:00:00,1.6503357157e+09,1.6503357157e+09,1.4242487645e+10,1.4242487645e+10
2020-03-24 15:05:00,1.2227108896e+09,1.2227108896e+09,1.4587149519e+10,1.4587149519e+10
2020-03-24 15:10:00,1.4461246954e+09,1.4461246954e+09,1.3641343939e+10,1.3641343939e+10
2020-03-24 15:15:00,3.2921306809e+09,3.2921306809e+09,1.2655636403e+10,1.2655636403e+10
2020-03-24 15:20:00,2.9487547999e+09,2.9487547999e+09,9.1144406700e+09,9.1144406700e+09
2020-03-24 15:25:00,3.6214673858e+09,3.6214673858e+09,8.4469870528e+09,8.4469870528e+09
2020-03-24 15:30:00,4.3571589162e+09,4.3571589162e+09,9.0690981651e+09,9.0690981651e+09
2020-03-24 15:35:00,5.2283711497e+09,5.2283711497e+09,9.5516014258e+09,9.5516014258e+09
2020-03-24 15:40:00,3.4357743475e+09,3.4357743475e+09,8.6596542334e+09,8.6596542334e+09
2020-03-24 15:45:00,1.5719270257e+09,1.5719270257e+09,1.1123707836e+10,1.1123707836e+10
2020-03-24 15:50:00,3.7168542520e+09,3.7168542520e+09,7.8376475733e+09,7.8376475733e+09
2020-03-24 15:55:00,2.7322307606e+09,2.7322307606e+09,4.1899121670e+09,4.1899121670e+09
2020-03-24 16:00:00,1.6314727354e+09,1.6314727354e+09,4.8689517150e+09,4.8689517150e+09
2020-03-24 16:05:00,7.0383655053e+08,7.0383655053e+08,4.2904128159e+09,4.2904128159e+09
2020-03-24 16:10:00,8.9367170244e+08,8.9367170244e+08,3.9208507768e+09,3.9208507768e+09
2020-03-24 16:15:00,2.3727642975e+09,2.3727642975e+09,3.8798470669e+09,3.8798470669e+09
2020-03-24 16:20:00,1.8869266007e+09,1.8869266007e+09,4.0356402663e+09,4.0356402663e+09
2020-03-24 16:25:00,1.2699968209e+09,1.2699968209e+09,5.1405113270e+09,5.1405113270e+09
2020-03-24 16:30:00,1.8826693907e+09,1.8826693907e+09,6.4595484639e+09,6.4595484639e+09
2020-03-24 16:35:00,1.4532672427e+09,1.4532672427e+09,3.9372154891e+09,3.9372154891e+09
2020-03-24 16:40:00,2.4435225935e+09,2.4435225935e+09,4.7468386573e+09,4.7468386573e+09
2020-03-24 16:45:00,3.3513812560e+09,3.3513812560e+09,1.0011178993e+10,1.0011178993e+10
2020-03-24 16:50:00,2.1655108000e+09,2.1655108000e+09,1.0848736488e+10,1.0848736488e+10
2020-03-24 16:55:00,1.8640723553e+09,1.8640723553e+09,9.7619802588e+09,9.7619802588e+09
2020-03-24 17:00:00,1.6683687394e+09,1.6683687394e+09,9.6894760390e+09,9.6894760390e+09
2020-03-24 17:05:00,2.0958241873e+09,2.0958241873e+09,1.1576554170e+10,1.1576554170e+10
2020-03-24 17:10:00,1.4579607864e+09,1.4579607864e+09,9.6697116265e+09,9.6697116265e+09
2020-03-24 17:15:00,1.6454163775e+09,1.6454163775e+09,1.2104523887e+10,1.2104523887e+10
