DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-22 02:25:00,1.7413539481e+06,1.7413539481e+06,1.4773804552e+06,1.4773804552e+06
2020-03-22 02:30:00,1.6885720652e+06,1.6885720652e+06,1.4448749411e+06,1.4448749411e+06
2020-03-22 02:35:00,1.6184519202e+06,1.6184519202e+06,1.4249612268e+06,1.4249612268e+06
2020-03-22 02:40:00,1.5541527773e+06,1.5541527773e+06,1.3686779245e+06,1.3686779245e+06
2020-03-22 02:45:00,1.6668463271e+06,1.6668463271e+06,1.4200063777e+06,1.4200063777e+06
2020-03-22 02:50:00,1.6409229159e+06,1.6409229159e+06,1.4663295583e+06,1.4663295583e+06
2020-03-22 02:55:00,1.5858902497e+06,1.5858902497e+06,1.3839198810e+06,1.3839198810e+06
2020-03-22 03:00:00,1.6781379861e+06,1.6781379861e+06,1.4197542884e+06,1.4197542884e+06
2020-03-22 03:05:00,1.7190861412e+06,1.7190861412e+06,1.4792411941e+06,1.4792411941e+06
2020-03-22 03:10:00,1.8429848329e+06,1.8429848329e+06,1.4073400007e+06,1.4073400007e+06
2020-03-22 03:15:00,1.7426628012e+06,1.7426628012e+06,1.3651637012e+06,1.3651637012e+06
2020-03-22 03:20:00,1.6845494600e+06,1.6845494600e+06,1.4622443558e+06,1.4622443558e+06
2020-03-22 03:25:00,1.7955705867e+06,1.7955705867e+06,1.4285890928e+06,1.4285890928e+06
2020-03-22 03:30:00,1.6674509150e+06,1.6674509150e+06,1.3622199652e+06,1.3622199652e+06
2020-03-22 03:35:00,1.8352382051e+06,1.8352382051e+06,1.4277607904e+06,1.4277607904e+06
2020-03-22 03:40:00,1.7065606642e+06,1.7065606642e+06,1.4605085736e+06,1.4605085736e+06
2020-03-22 03:45:00,1.6851046854e+06,1.6851046854e+06,1.3848514252e+06,1.3848514252e+06
2020-03-22 03:50:00,1.8383675414e+06,1.8383675414e+06,1.5143043122e+06,1.5143043122e+06
2020-03-22 03:55:00,1.9374485202e+06,1.9374485202e+06,1.3907330464e+06,1.3907330464e+06
2020-03-22 04:00:00,1.7956031191e+06,1.7956031191e+06,1.3814234619e+06,1.3814234619e+06
