DATE,ESFR,ESFR_peak,FRES,ESFR_peak
2020-03-15 02:25:00,2.3673719900e+09,2.3673719900e+09,1.6612028272e+09,1.6612028272e+09
2020-03-15 02:30:00,3.0257315799e+09,3.0257315799e+09,3.2560155718e+09,3.2560155718e+09
2020-03-15 02:35:00,3.9194073651e+09,3.9194073651e+09,3.1213134991e+08,3.1213134991e+08
2020-03-15 02:40:00,3.7757961227e+09,3.7757961227e+09,5.2916963043e+08,5.2916963043e+08
2020-03-15 02:45:00,2.3236619716e+09,2.3236619716e+09,3.9281052613e+09,3.9281052613e+09
2020-03-15 02:50:00,1.4104383134e+09,1.4104383134e+09,4.8958095327e+08,4.8958095327e+08
2020-03-15 02:55:00,1.5493112895e+09,1.5493112895e+09,5.0964749620e+08,5.0964749620e+08
2020-03-15 03:00:00,2.0096787564e+09,2.0096787564e+09,2.8778640809e+08,2.8778640809e+08
2020-03-15 03:05:00,3.5628704146e+09,3.5628704146e+09,4.7193922548e+08,4.7193922548e+08
2020-03-15 03:10:00,3.3363535525e+09,3.3363535525e+09,3.7702824284e+08,3.7702824284e+08
2020-03-15 03:15:00,2.7690733291e+09,2.7690733291e+09,5.9342123195e+08,5.9342123195e+08
2020-03-15 03:20:00,2.5306436119e+09,2.5306436119e+09,4.4742363554e+09,4.4742363554e+09
2020-03-15 03:25:00,3.5666533548e+09,3.5666533548e+09,7.9946565939e+08,7.9946565939e+08
2020-03-15 03:30:00,2.8709879941e+09,2.8709879941e+09,6.7981889744e+08,6.7981889744e+08
2020-03-15 03:35:00,2.7265238495e+09,2.7265238495e+09,4.7001602946e+09,4.7001602946e+09
2020-03-15 03:40:00,3.4841321659e+09,3.4841321659e+09,2.9726426093e+08,2.9726426093e+08
2020-03-15 03:45:00,3.6568551549e+09,3.6568551549e+09,1.0386336166e+09,1.0386336166e+09
2020-03-15 03:50:00,3.2219258009e+09,3.2219258009e+09,3.5920539456e+08,3.5920539456e+08
2020-03-15 03:55:00,2.1061178666e+09,2.1061178666e+09,5.9154578117e+08,5.9154578117e+08
2020-03-15 04:00:00,3.6190321659e+09,3.6190321659e+09,3.4868342137e+08,3.4868342137e+08
2020-03-15 04:05:00,4.0672156015e+09,4.0672156015e+09,3.0680148967e+08,3.0680148967e+08
2020-03-15 04:10:00,3.9037384436e+09,3.9037384436e+09,3.5896492012e+09,3.5896492012e+09
2020-03-15 04:15:00,4.7057421415e+09,4.7057421415e+09,1.9548432824e+08,1.9548432824e+08
2020-03-15 04:20:00,7.0278883421e+09,7.0278883421e+09,8.7933010094e+08,8.7933010094e+08
2020-03-15 04:25:00,8.1809155965e+09,8.1809155965e+09,2.3170281509e+09,2.3170281509e+09
2020-03-15 04:30:00,8.6080270466e+09,8.6080270466e+09,5.8896472935e+08,5.8896472935e+08
2020-03-15 04:35:00,5.9044293789e+09,5.9044293789e+09,9.7249074841e+08,9.7249074841e+08
2020-03-15 04:40:00,5.0018465367e+09,5.0018465367e+09,1.9562482300e+08,1.9562482300e+08
2020-03-15 04:45:00,4.3559729566e+09,4.3559729566e+09,1.2935041608e+08,1.2935041608e+08
2020-03-15 04:50:00,5.8005915981e+09,5.8005915981e+09,1.3779857487e+08,1.3779857487e+08
2020-03-15 04:55:00,5.3879077379e+09,5.3879077379e+09,1.4283849977e+09,1.4283849977e+09
2020-03-15 05:00:00,4.8315125499e+09,4.8315125499e+09,6.1687625275e+09,6.1687625275e+09
2020-03-15 05:05:00,5.7153979437e+09,5.7153979437e+09,2.6073522213e+08,2.6073522213e+08
2020-03-15 05:10:00,5.8565005943e+09,5.8565005943e+09,1.6655614662e+08,1.6655614662e+08
2020-03-15 05:15:00,6.8858304034e+09,6.8858304034e+09,8.3409406836e+07,8.3409406836e+07
2020-03-15 05:20:00,6.7529809516e+09,6.7529809516e+09,1.9600001486e+08,1.9600001486e+08
2020-03-15 05:25:00,6.3032910601e+09,6.3032910601e+09,1.6474173247e+08,1.6474173247e+08
2020-03-15 05:30:00,5.8156452812e+09,5.8156452812e+09,7.3788992636e+07,7.3788992636e+07
2020-03-15 05:35:00,5.2055001707e+09,5.2055001707e+09,2.8653284269e+08,2.8653284269e+08
