DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-15 02:25:00,6.3912699035e+07,6.3912699035e+07,5.6784016219e+07,5.6784016219e+07
2020-03-15 02:30:00,6.7243560723e+07,6.7243560723e+07,3.7523771127e+07,3.7523771127e+07
2020-03-15 02:35:00,6.9416171161e+07,6.9416171161e+07,4.9989034134e+07,4.9989034134e+07
2020-03-15 02:40:00,7.6615335741e+07,7.6615335741e+07,2.9535394965e+07,2.9535394965e+07
2020-03-15 02:45:00,6.4035751698e+07,6.4035751698e+07,4.9771275692e+07,4.9771275692e+07
2020-03-15 02:50:00,7.2738279674e+07,7.2738279674e+07,2.5655656970e+07,2.5655656970e+07
2020-03-15 02:55:00,7.8564310337e+07,7.8564310337e+07,4.3048832178e+07,4.3048832178e+07
2020-03-15 03:00:00,6.4678512483e+07,6.4678512483e+07,3.1486257047e+07,3.1486257047e+07
2020-03-15 03:05:00,6.4116373039e+07,6.4116373039e+07,5.3100867412e+07,5.3100867412e+07
2020-03-15 03:10:00,5.1724308522e+07,5.1724308522e+07,2.2713109346e+07,2.2713109346e+07
2020-03-15 03:15:00,4.6174683917e+07,4.6174683917e+07,3.7846771546e+07,3.7846771546e+07
2020-03-15 03:20:00,4.1843181924e+07,4.1843181924e+07,5.1327344624e+07,5.1327344624e+07
2020-03-15 03:25:00,4.8903239121e+07,4.8903239121e+07,2.8993794726e+07,2.8993794726e+07
2020-03-15 03:30:00,5.2745961949e+07,5.2745961949e+07,9.3947956801e+07,9.3947956801e+07
2020-03-15 03:35:00,5.2275046191e+07,5.2275046191e+07,3.2277154149e+07,3.2277154149e+07
2020-03-15 03:40:00,4.7501610958e+07,4.7501610958e+07,5.3642841817e+07,5.3642841817e+07
2020-03-15 03:45:00,4.6537003028e+07,4.6537003028e+07,2.0917530436e+07,2.0917530436e+07
2020-03-15 03:50:00,5.1977465737e+07,5.1977465737e+07,5.0422462132e+07,5.0422462132e+07
2020-03-15 03:55:00,6.2926906379e+07,6.2926906379e+07,2.4284095796e+07,2.4284095796e+07
2020-03-15 04:00:00,6.6592925361e+07,6.6592925361e+07,5.6766147160e+07,5.6766147160e+07
2020-03-15 04:05:00,1.0651005359e+08,1.0651005359e+08,2.8921132659e+07,2.8921132659e+07
2020-03-15 04:10:00,5.7234841566e+07,5.7234841566e+07,5.8576228818e+07,5.8576228818e+07
2020-03-15 04:15:00,4.4086913020e+07,4.4086913020e+07,2.6214134341e+07,2.6214134341e+07
2020-03-15 04:20:00,6.4145400001e+07,6.4145400001e+07,5.8862201220e+07,5.8862201220e+07
2020-03-15 04:25:00,5.0540561792e+07,5.0540561792e+07,2.7276134667e+07,2.7276134667e+07
2020-03-15 04:30:00,6.9750658037e+07,6.9750658037e+07,4.9207824925e+07,4.9207824925e+07
2020-03-15 04:35:00,4.8504436172e+07,4.8504436172e+07,3.0338102839e+07,3.0338102839e+07
2020-03-15 04:40:00,5.2762753057e+07,5.2762753057e+07,9.4024871037e+07,9.4024871037e+07
2020-03-15 04:45:00,4.8130866503e+07,4.8130866503e+07,2.3009602370e+08,2.3009602370e+08
2020-03-15 04:50:00,6.9967946510e+07,6.9967946510e+07,7.7805806278e+08,7.7805806278e+08
2020-03-15 04:55:00,4.9325389588e+07,4.9325389588e+07,5.6861471565e+08,5.6861471565e+08
2020-03-15 05:00:00,6.0399438618e+07,6.0399438618e+07,1.0332100039e+09,1.0332100039e+09
2020-03-15 05:05:00,9.4174640440e+07,9.4174640440e+07,7.4727116208e+08,7.4727116208e+08
2020-03-15 05:10:00,6.8300521026e+07,6.8300521026e+07,7.7291267237e+08,7.7291267237e+08
2020-03-15 05:15:00,5.2130175766e+07,5.2130175766e+07,8.4006119624e+08,8.4006119624e+08
2020-03-15 05:20:00,5.8982958964e+07,5.8982958964e+07,1.0510623964e+09,1.0510623964e+09
2020-03-15 05:25:00,5.4409724757e+07,5.4409724757e+07,8.8722986633e+08,8.8722986633e+08
2020-03-15 05:30:00,6.0505245385e+07,6.0505245385e+07,9.8754947206e+08,9.8754947206e+08
2020-03-15 05:35:00,6.1876163660e+07,6.1876163660e+07,1.0288319589e+09,1.0288319589e+09
2020-03-15 05:40:00,5.4585021000e+07,5.4585021000e+07,1.1105418756e+09,1.1105418756e+09
2020-03-15 05:45:00,6.2758715979e+07,6.2758715979e+07,8.7510328816e+08,8.7510328816e+08
2020-03-15 05:50:00,6.1096089383e+07,6.1096089383e+07,7.5867794525e+08,7.5867794525e+08
2020-03-15 05:55:00,6.6216450922e+07,6.6216450922e+07,8.3432122606e+08,8.3432122606e+08
2020-03-15 06:00:00,6.4730302949e+07,6.4730302949e+07,8.1180860854e+08,8.1180860854e+08
2020-03-15 06:05:00,7.9722243810e+07,7.9722243810e+07,6.8899065277e+08,6.8899065277e+08
2020-03-15 06:10:00,6.5394983050e+07,6.5394983050e+07,8.4093690343e+07,8.4093690343e+07
2020-03-15 06:15:00,5.6986304006e+07,5.6986304006e+07,5.5748220407e+07,5.5748220407e+07
2020-03-15 06:20:00,7.1389600918e+07,7.1389600918e+07,4.4403376846e+07,4.4403376846e+07
2020-03-15 06:25:00,7.1140324548e+07,7.1140324548e+07,2.8781691447e+07,2.8781691447e+07
2020-03-15 06:30:00,4.9650190359e+07,4.9650190359e+07,6.6648233671e+07,6.6648233671e+07
2020-03-15 06:35:00,7.1865673969e+07,7.1865673969e+07,4.0558003072e+07,4.0558003072e+07
2020-03-15 06:40:00,5.8812490709e+07,5.8812490709e+07,7.9332499165e+07,7.9332499165e+07
2020-03-15 06:45:00,5.6682250582e+07,5.6682250582e+07,5.6976208949e+07,5.6976208949e+07
2020-03-15 06:50:00,5.8094293790e+07,5.8094293790e+07,4.4777078517e+07,4.4777078517e+07
2020-03-15 06:55:00,6.7425278408e+07,6.7425278408e+07,5.6504518912e+07,5.6504518912e+07
2020-03-15 07:00:00,6.1489694298e+07,6.1489694298e+07,4.6987250316e+07,4.6987250316e+07
2020-03-15 07:05:00,8.2935339203e+07,8.2935339203e+07,4.3960868885e+07,4.3960868885e+07
2020-03-15 07:10:00,8.7956310248e+07,8.7956310248e+07,4.6395021617e+07,4.6395021617e+07
2020-03-15 07:15:00,7.3286088194e+07,7.3286088194e+07,6.4881155770e+07,6.4881155770e+07
2020-03-15 07:20:00,6.7457344169e+07,6.7457344169e+07,6.2439189737e+07,6.2439189737e+07
2020-03-15 07:25:00,7.8288101588e+07,7.8288101588e+07,6.7951900290e+07,6.7951900290e+07
2020-03-15 07:30:00,6.9638567705e+07,6.9638567705e+07,5.4044283234e+07,5.4044283234e+07
2020-03-15 07:35:00,8.1748835347e+07,8.1748835347e+07,5.2569334559e+07,5.2569334559e+07
2020-03-15 07:40:00,7.9272417048e+07,7.9272417048e+07,6.2108027500e+07,6.2108027500e+07
2020-03-15 07:45:00,6.3050507252e+07,6.3050507252e+07,4.4358210292e+07,4.4358210292e+07
2020-03-15 07:50:00,7.8384068820e+07,7.8384068820e+07,4.5864728088e+07,4.5864728088e+07
2020-03-15 07:55:00,7.1485820103e+07,7.1485820103e+07,1.0399921316e+08,1.0399921316e+08
2020-03-15 08:00:00,6.3403764411e+07,6.3403764411e+07,5.8638193250e+07,5.8638193250e+07
2020-03-15 08:05:00,7.0134572778e+07,7.0134572778e+07,6.3808557269e+07,6.3808557269e+07
2020-03-15 08:10:00,7.5353725164e+07,7.5353725164e+07,7.5343310698e+07,7.5343310698e+07
2020-03-15 08:15:00,8.2684931756e+07,8.2684931756e+07,5.6975493457e+07,5.6975493457e+07
2020-03-15 08:20:00,7.5067508214e+07,7.5067508214e+07,8.0377458995e+07,8.0377458995e+07
2020-03-15 08:25:00,6.8586289549e+07,6.8586289549e+07,6.1524161867e+07,6.1524161867e+07
