DATE,GRIT,GRIT_peak,ITGR,GRIT_peak
2020-03-22 02:25:00,3.4439411082e+09,3.4439411082e+09,4.3196138697e+09,4.3196138697e+09
2020-03-22 02:30:00,3.8141282035e+09,3.8141282035e+09,5.4961747690e+09,5.4961747690e+09
2020-03-22 02:35:00,3.0682924566e+09,3.0682924566e+09,5.2276247365e+09,5.2276247365e+09
2020-03-22 02:40:00,3.4775977491e+09,3.4775977491e+09,5.7923279706e+09,5.7923279706e+09
2020-03-22 02:45:00,2.5793513114e+09,2.5793513114e+09,4.7755414162e+09,4.7755414162e+09
2020-03-22 02:50:00,3.3903489818e+09,3.3903489818e+09,5.0437487406e+09,5.0437487406e+09
2020-03-22 02:55:00,3.6080095414e+09,3.6080095414e+09,5.5614292590e+09,5.5614292590e+09
2020-03-22 03:00:00,3.7166269069e+09,3.7166269069e+09,6.9740924728e+09,6.9740924728e+09
2020-03-22 03:05:00,4.2122570915e+09,4.2122570915e+09,6.2909788381e+09,6.2909788381e+09
2020-03-22 03:10:00,3.4511139732e+09,3.4511139732e+09,7.0149961413e+09,7.0149961413e+09
2020-03-22 03:15:00,3.9236051793e+09,3.9236051793e+09,5.2236645758e+09,5.2236645758e+09
2020-03-22 03:20:00,3.8425343499e+09,3.8425343499e+09,5.5411218764e+09,5.5411218764e+09
2020-03-22 03:25:00,3.4744794857e+09,3.4744794857e+09,5.4539422845e+09,5.4539422845e+09
2020-03-22 03:30:00,3.9559769158e+09,3.9559769158e+09,5.2603318186e+09,5.2603318186e+09
2020-03-22 03:35:00,3.1021550029e+09,3.1021550029e+09,5.6416519108e+09,5.6416519108e+09
2020-03-22 03:40:00,3.0800954090e+09,3.0800954090e+09,5.6221495603e+09,5.6221495603e+09
2020-03-22 03:45:00,3.1355276522e+09,3.1355276522e+09,6.4925818571e+09,6.4925818571e+09
2020-03-22 03:50:00,3.2179928385e+09,3.2179928385e+09,6.5086123908e+09,6.5086123908e+09
2020-03-22 03:55:00,3.5980657639e+09,3.5980657639e+09,5.1090511208e+09,5.1090511208e+09
2020-03-22 04:00:00,3.8310481460e+09,3.8310481460e+09,6.0869237116e+09,6.0869237116e+09
2020-03-22 04:05:00,5.2690948056e+09,5.2690948056e+09,4.7304791495e+09,4.7304791495e+09
2020-03-22 04:10:00,4.9732006267e+09,4.9732006267e+09,4.3817055047e+09,4.3817055047e+09
2020-03-22 04:15:00,4.8200235749e+09,4.8200235749e+09,4.9118421160e+09,4.9118421160e+09
2020-03-22 04:20:00,4.4064356447e+09,4.4064356447e+09,5.0136613562e+09,5.0136613562e+09
2020-03-22 04:25:00,4.6042195310e+09,4.6042195310e+09,5.3423064241e+09,5.3423064241e+09
2020-03-22 04:30:00,4.1977451809e+09,4.1977451809e+09,6.0928803440e+09,6.0928803440e+09
2020-03-22 04:35:00,4.3948068692e+09,4.3948068692e+09,4.2152490084e+09,4.2152490084e+09
