DATE,DEDU,DEDU_peak,DUDE,DEDU_peak
2020-03-15 02:25:00,1.7235548730e+10,1.7235548730e+10,3.4667938315e+09,3.4667938315e+09
2020-03-15 02:30:00,1.6622473920e+10,1.6622473920e+10,3.4749228074e+09,3.4749228074e+09
2020-03-15 02:35:00,2.0954988436e+10,2.0954988436e+10,4.6071441013e+09,4.6071441013e+09
2020-03-15 02:40:00,1.4500721249e+10,1.4500721249e+10,4.2462102752e+09,4.2462102752e+09
2020-03-15 02:45:00,1.1302756504e+10,1.1302756504e+10,7.4401434195e+09,7.4401434195e+09
2020-03-15 02:50:00,1.2749444521e+10,1.2749444521e+10,1.0078110529e+10,1.0078110529e+10
2020-03-15 02:55:00,1.6070932219e+10,1.6070932219e+10,7.5109420212e+09,7.5109420212e+09
2020-03-15 03:00:00,1.0428155438e+10,1.0428155438e+10,4.4824863641e+09,4.4824863641e+09
2020-03-15 03:05:00,1.0567670289e+10,1.0567670289e+10,2.5813168350e+09,2.5813168350e+09
2020-03-15 03:10:00,1.5636419877e+10,1.5636419877e+10,1.3773126246e+09,1.3773126246e+09
2020-03-15 03:15:00,1.5818133329e+10,1.5818133329e+10,1.6702374823e+09,1.6702374823e+09
2020-03-15 03:20:00,1.2943073775e+10,1.2943073775e+10,1.7686546396e+09,1.7686546396e+09
2020-03-15 03:25:00,1.3697685740e+10,1.3697685740e+10,3.0211440767e+09,3.0211440767e+09
2020-03-15 03:30:00,1.3923273114e+10,1.3923273114e+10,3.6334368290e+09,3.6334368290e+09
2020-03-15 03:35:00,1.7284047163e+10,1.7284047163e+10,3.2024786378e+09,3.2024786378e+09
2020-03-15 03:40:00,1.2079860579e+10,1.2079860579e+10,3.3752610522e+09,3.3752610522e+09
2020-03-15 03:45:00,1.0455194567e+10,1.0455194567e+10,3.5524977521e+09,3.5524977521e+09
2020-03-15 03:50:00,1.3710728685e+10,1.3710728685e+10,3.1866942665e+09,3.1866942665e+09
2020-03-15 03:55:00,1.0834907052e+10,1.0834907052e+10,2.9295722712e+09,2.9295722712e+09
2020-03-15 04:00:00,1.1867195567e+10,1.1867195567e+10,2.7997378360e+09,2.7997378360e+09
2020-03-15 04:05:00,1.2050610873e+10,1.2050610873e+10,5.1496331838e+09,5.1496331838e+09
2020-03-15 04:10:00,9.8930048002e+09,9.8930048002e+09,6.0096642698e+09,6.0096642698e+09
2020-03-15 04:15:00,1.0863315209e+10,1.0863315209e+10,8.3081701168e+09,8.3081701168e+09
2020-03-15 04:20:00,9.5146038086e+09,9.5146038086e+09,9.5436900425e+09,9.5436900425e+09
2020-03-15 04:25:00,1.2402728741e+10,1.2402728741e+10,5.7520572001e+09,5.7520572001e+09
2020-03-15 04:30:00,1.1888981769e+10,1.1888981769e+10,3.1628824308e+09,3.1628824308e+09
2020-03-15 04:35:00,1.7006982484e+10,1.7006982484e+10,5.0902052293e+09,5.0902052293e+09
2020-03-15 04:40:00,1.1536340545e+10,1.1536340545e+10,3.7460504770e+09,3.7460504770e+09
2020-03-15 04:45:00,1.4232813991e+10,1.4232813991e+10,1.8905154626e+09,1.8905154626e+09
2020-03-15 04:50:00,1.0669518506e+10,1.0669518506e+10,3.7336759040e+09,3.7336759040e+09
2020-03-15 04:55:00,1.1073801422e+10,1.1073801422e+10,2.4801638556e+09,2.4801638556e+09
2020-03-15 05:00:00,1.7201028410e+10,1.7201028410e+10,2.9586704230e+09,2.9586704230e+09
2020-03-15 05:05:00,1.3955495354e+10,1.3955495354e+10,2.4004659584e+09,2.4004659584e+09
2020-03-15 05:10:00,1.4063395709e+10,1.4063395709e+10,6.6242656219e+09,6.6242656219e+09
2020-03-15 05:15:00,1.3139508867e+10,1.3139508867e+10,3.8431504400e+09,3.8431504400e+09
2020-03-15 05:20:00,1.5642501388e+10,1.5642501388e+10,3.4825051647e+09,3.4825051647e+09
2020-03-15 05:25:00,1.3256051607e+10,1.3256051607e+10,3.2730640958e+09,3.2730640958e+09
2020-03-15 05:30:00,1.3723868574e+10,1.3723868574e+10,3.8478540752e+09,3.8478540752e+09
2020-03-15 05:35:00,1.7235283274e+10,1.7235283274e+10,4.8990392031e+09,4.8990392031e+09
2020-03-15 05:40:00,1.3911668442e+10,1.3911668442e+10,4.0163218734e+09,4.0163218734e+09
