Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (Mean),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Mean Premium SLA violations,Mean Assured SLA violations
EAR,105101,0,0.0,2,2,0,0,-,-
EAR,118532,0,0.0,2,2,0,0,-,-
EAR,108172,0,0.0,2,2,0,0,-,-
EAR,19775,0,0.0,2,2,0,0,-,-
EAR,64531,0,0.0,2,2,0,0,-,-
EAR,95678,0,0.0,2,2,0,0,-,-
EAR,63128,0,0.0,2,2,0,0,-,-
EAR,95391,0,0.0,2,2,0,0,-,-
EAR,84207,0,0.0,2,2,0,0,-,-
EAR,57475,0,0.0,2,2,0,0,-,-
EAR,86454,0,0.0,2,2,0,0,-,-
EAR,80133,0,0.0,2,2,0,0,-,-
EAR,74466,0,0.0,2,2,0,0,-,-
